x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-75.70433,0.79759556,0,0.8759821,0.124017894,0.1624729,-327.2092,563.8742,-75.70433
-126976,-131072,426.805,0.81383306,0,0,1,0.39178726,150.73103,792.1587,426.805
-122880,-131072,416.29132,0.8305642,0,0,1,0.09915618,124.43105,786.49023,416.29132
-118784,-131072,-21.940887,0.84728646,0.0016380782,0.8692676,0.12909436,0.10432079,-281.54422,656.1982,-21.940887
-114688,-131072,184.62328,0.8635422,0.1803151,0.81968486,0,0.13787684,-333.9102,1812.3954,184.62328
-110592,-131072,58.20915,0.8789289,0.32826975,0.6717303,0,0.011085292,-390.12497,1671.9152,58.20915
-106496,-131072,1229.3877,0.89311016,0.5882643,0.40918198,0.0025537312,1.134959,-321.45084,3135.298,1229.3877
-102400,-131072,1419.8292,0.90581834,0.89934087,0.10058025,7.88793E-05,0.3381636,-258.47653,3037.5815,1419.8292
-98304,-131072,1401.3115,0.9168545,0.92623866,0.073761344,0,0.5735141,-152.41411,2974.6787,1401.3115
-94208,-131072,435.3654,0.926081,0.94089407,0.059105933,0,0.70465416,-205.74072,2235.5276,435.3654
-90112,-131072,2245.2205,0.93340796,0.94183445,0.05816555,0,1.58905,345.71838,3095.6392,2245.2205
-86016,-131072,46.143906,0.9387698,2.467898E-08,1,0,0.020216651,-15.92718,97.70289,46.143906
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-13.114498,93.37296,47.255806
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-2.0910053,104.176834,58.253387
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-8.96998,96.67456,51.02249
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-7.370315,98.22492,52.607883
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-9.919491,101.40371,50.590908
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-25.1734,164.26979,46.787598
-57344,-131072,227.16646,0.9447433,0,0.44029444,0.55970556,0.25413823,-159.19804,827.81616,227.16646
-53248,-131072,779.7285,0.9452955,0,0,1,0.63520145,434.6475,1107.961,779.7285
-49152,-131072,880.84094,0.94589764,0,0,1,0.059865557,496.34488,1109.7765,880.84094
-45056,-131072,615.05853,0.9465338,0,0,1,0.2165953,373.91342,974.91675,615.05853
-40960,-131072,705.76324,0.94718903,0,0,1,0.21917158,363.7138,1013.7399,705.76324
-36864,-131072,500.37048,0.94784814,0,0.30054057,0.69945943,0.41907343,-122.15247,1054.7769,500.37048
-32768,-131072,51.889336,0.94849646,0,1,0,0.019047147,-7.7704463,111.601456,51.889336
-28672,-131072,67.62068,0.94911957,0,1,0,0.026523288,3.390467,146.86795,67.62068
-24576,-131072,197.86848,0.94970363,0.14605698,0.7561243,0.09781867,0.25021738,-289.5151,2092.0867,197.86848
-20480,-131072,2539.0032,0.9502348,0.9709162,0.01587391,0.013209878,0.4280861,540.41034,3490.8674,2539.0032
-16384,-131072,1666.4355,0.9506995,0.9466971,0.047411412,0.005891472,0.59087294,-182.43277,3468.6274,1666.4355
-12288,-131072,128.10881,0.9510843,0.035684485,0.9639299,0.00038564205,0.12802409,-118.11219,977.272,128.10881
-8192,-131072,73.4247,0.9513758,0,0.999502,0.0004979968,0.038830463,-16.680393,272.61185,73.4247
-4096,-131072,111.69263,0.95156085,0,0.9414089,0.058591127,0.03639373,-89.66928,689.6074,111.69263
0,-131072,189.92905,0.95162547,0,0.7982907,0.20170927,0.008974977,-136.9402,982.25415,189.92905
4096,-131072,68.40985,0.9520864,0,0.99987763,0.00012236834,0.042926084,-13.254223,244.65103,68.40985
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,7.2291136,104.52294,63.191513
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,12.655303,108.31072,67.841705
16384,-131072,365.4343,0.9580065,0,0.50693655,0.49306345,0.44382992,-137.656,1141.2407,365.4343
20480,-131072,515.7129,0.9610362,0,0,1,0.76370674,267.184,840.5263,515.7129
24576,-131072,548.91064,0.96435857,0,0,1,0.58955634,239.85857,931.62964,548.91064
28672,-131072,250.68788,0.9678392,0,0.7093414,0.2906586,0.21577911,-126.59336,1043.4734,250.68788
32768,-131072,168.26927,0.97135353,0.024466932,0.92452925,0.051003814,0.13165556,-127.80397,1232.2426,168.26927
36864,-131072,747.8412,0.9747917,0.41628236,0.57496053,0.008757114,0.05504969,-306.867,3311.7156,747.8412
40960,-131072,131.32779,0.9780596,0.0368125,0.9607961,0.002391398,0.037276752,-79.69275,918.16797,131.32779
45056,-131072,148.82794,0.9810813,0,0.93243,0.06756997,0.22396627,-46.747074,753.77954,148.82794
49152,-131072,540.4993,0.9838,0,0.13212258,0.8678774,0.18646799,-20.735685,1032.0452,540.4993
53248,-131072,462.0446,0.9861772,0,0,1,0.17090906,71.40093,862.70184,462.0446
57344,-131072,284.94968,0.98819107,0,0.0033031702,0.9966968,0.28108612,-2.7964003,682.52423,284.94968
61440,-131072,638.70996,0.98983395,0,0.0447371,0.9552629,0.23336409,66.54192,1123.346,638.70996
65536,-131072,522.8199,0.9911078,0,0.24694157,0.75305843,0.35485566,-35.008377,1079.9637,522.8199
69632,-131072,133.2312,0.9920186,0,0.92561626,0.074383736,0.109751426,-36.366333,614.4613,133.2312
73728,-131072,109.17541,0.99256927,0,0.9978059,0.0021941066,0.0140601,34.05528,310.3263,109.17541
77824,-131072,145.94684,0.99275154,0,0.978472,0.021528006,0.038009413,14.2342825,573.3726,145.94684
81920,-131072,177.37177,0.99272394,0,0.8914253,0.10857469,0.019867146,-42.747795,809.9153,177.37177
86016,-131072,229.42683,0.9926475,1.1176179E-06,0.8166576,0.18334126,0.042218782,-67.901566,991.33057,229.42683
90112,-131072,691.5808,0.99252725,0.21748327,0.37388322,0.4086335,0.77968925,-267.05066,3177.5461,691.5808
94208,-131072,369.2885,0.9923681,0.5322948,0.11001145,0.35769373,0.5714384,-284.85733,1380.3317,369.2885
98304,-131072,515.3025,0.99217474,0.19260357,0.267293,0.54010344,0.75885713,-254.2294,2508.344,515.3025
102400,-131072,417.3419,0.99195224,0.0031180962,0.48665714,0.51022476,0.5009043,-103.42506,1308.4691,417.3419
106496,-131072,324.1142,0.99170554,0,0.44627124,0.55372876,0.25141165,-86.730675,847.3161,324.1142
110592,-131072,466.55243,0.9914399,0,0.04196644,0.95803356,0.09328743,16.666052,880.0458,466.55243
114688,-131072,487.3033,0.991161,0,0,1,0.5474076,98.46742,784.89465,487.3033
118784,-131072,406.6247,0.99087477,0,0,1,0.2485012,161.16678,723.47504,406.6247
122880,-131072,356.24066,0.9905878,0,0,1,0.47956932,189.11371,697.4423,356.24066
126976,-131072,575.50366,0.9903067,0,0,1,0.23159605,332.60153,919.4425,575.50366
131072,-131072,496.94138,0.9900385,0,0,1,0.061754934,246.99332,848.44965,496.94138
-131072,-126976,406.79706,0.9877388,0,0.3790918,0.6209082,0.21161617,-77.26578,1046.0599,406.79706
-126976,-126976,760.844,0.9809746,0,0,1,0.06976319,513.16315,1127.8402,760.844
-122880,-126976,766.0053,0.9722831,0,0,1,0.23214404,407.17456,1031.117,766.0053
-118784,-126976,89.08146,0.96171635,3.3716796E-07,0.98348695,0.016512692,0.056556057,-44.816803,455.16394,89.08146
-114688,-126976,90.53985,0.94947493,0.018545024,0.98145497,0,0.0123453755,-58.419025,583.64197,90.53985
-110592,-126976,134.8526,0.93590033,0.04848346,0.94998145,0.001535058,0.061764583,-165.2637,1181.1732,134.8526
-106496,-126976,631.5809,0.9214599,0.13753971,0.081963204,0.7804971,0.24699019,-303.48383,2568.6848,631.5809
-102400,-126976,1085.3208,0.90672415,0.41100028,0.10413572,0.48486403,0.7749722,-397.6392,3431.4792,1085.3208
-98304,-126976,1682.551,0.89234066,0.72948796,0.27051094,1.1026859E-06,1.1707346,-166.56621,2964.8723,1682.551
-94208,-126976,1417.3025,0.8790062,0.82508856,0.17491144,0,1.1383183,-292.48938,2775.6929,1417.3025
-90112,-126976,732.2638,0.86743873,0.36102942,0.6389706,0,1.345159,-368.00516,2447.309,732.2638
-86016,-126976,-46.71531,0.8583488,0,0.99502045,0.004979551,0.026269032,-176.03366,255.64685,-46.71531
-81920,-126976,-46.799263,0.85241246,0,0.9859858,0.0140141845,0.023960257,-200.77483,357.712,-46.799263
-77824,-126976,-52.13189,0.850243,0,1,0,0.034886096,-146.40587,79.63751,-52.13189
-73728,-126976,-54.79097,0.8530346,0,1,0,0.03338724,-141.07523,21.503506,-54.79097
-69632,-126976,-36.87735,0.86116177,0,0.9836324,0.016367614,0.034606177,-192.13748,357.02078,-36.87735
-65536,-126976,560.8768,0.87366647,0,0,1,0.2989161,83.99852,903.3864,560.8768
-61440,-126976,560.1802,0.8894492,0,0,1,0.062148992,273.76422,937.48584,560.1802
-57344,-126976,597.35785,0.9073234,0,0,1,0.053991433,295.09302,954.393,597.35785
-53248,-126976,418.86816,0.9260671,0,0,1,0.6740552,77.75721,717.71375,418.86816
-49152,-126976,574.5091,0.94448084,0,0,1,0.073286824,187.16624,825.3755,574.5091
-45056,-126976,653.0295,0.9614515,0,0,1,0.19240108,320.12064,952.549,653.0295
-40960,-126976,628.8535,0.97601753,0,0,1,0.3678113,280.57953,892.1373,628.8535
-36864,-126976,907.10034,0.9874359,0,0,1,0.21354522,530.77924,1116.493,907.10034
-32768,-126976,601.6832,0.9952418,0,0,1,0.1577236,247.39807,817.7147,601.6832
-28672,-126976,490.53635,0.99929434,0,0.053746402,0.9462536,0.54958147,50.32152,957.688,490.53635
-24576,-126976,159.78366,1,0.05810882,0.9418912,0,0.026781123,-10.683557,741.8615,159.78366
-20480,-126976,1065.115,1,0.7167599,0.28324008,0,1.8944631,-213.06477,2980.7927,1065.115
-16384,-126976,943.0127,1,0.61821556,0.38178444,0,1.6810416,-228.62854,2970.107,943.0127
-12288,-126976,129.14163,1,0.0060272203,0.9939728,0,0.026040597,74.87208,380.51785,129.14163
-8192,-126976,124.8786,1,0,1,0,0.005173899,117.80326,131.95396,124.8786
-4096,-126976,136.07878,1,0,1,0,0.0017853538,128.9482,143.50716,136.07878
0,-126976,169.83505,1,0,0.96791804,0.03208196,0.0084157465,36.591164,707.1076,169.83505
4096,-126976,130.10098,1,0,1,0,0.0032716813,123.02564,137.17635,130.10098
8192,-126976,129.35333,1,0,1,0,0.002853067,122.277985,136.4287,129.35333
12288,-126976,128.54144,1,0,1,0,0.00245111,121.46609,135.61679,128.54144
16384,-126976,124.03203,1,0,1,0,0.0032101693,115.95204,137.11429,124.03203
20480,-126976,510.49078,1,0,0.00318712,0.9968129,0.28925973,97.01418,915.8499,510.49078
24576,-126976,622.3414,1,0,0,1,0.2808884,146.10262,899.57794,622.3414
28672,-126976,501.53394,1,0,0,1,0.57333094,201.11656,847.6887,501.53394
32768,-126976,476.46426,1,0.0064424686,0,0.9935575,0.41441935,145.6153,949.09674,476.46426
36864,-126976,867.4541,0.9997906,0.25049275,0,0.74950725,0.42542958,-115.67682,3140.4949,867.4541
40960,-126976,730.67816,0.9982161,0.013323519,0,0.98667645,0.1504413,363.7359,1345.9606,730.67816
45056,-126976,747.81647,0.9951861,0,0,1,0.32688212,472.7856,1048.6041,747.81647
49152,-126976,684.3148,0.9909145,0,0,1,0.06445057,365.3847,918.05597,684.3148
53248,-126976,746.2372,0.98572546,0,0,1,0.24117489,481.83566,1074.7815,746.2372
57344,-126976,631.4248,0.98003054,0,0,1,0.8642504,365.08487,974.4977,631.4248
61440,-126976,828.1599,0.974302,0,0,1,0.2090638,554.8194,1148.101,828.1599
65536,-126976,733.9306,0.96904445,0,0,1,0.13808069,283.27316,993.9912,733.9306
69632,-126976,75.55332,0.96476275,0,1,0,0.01022812,24.768723,111.65777,75.55332
73728,-126976,89.93075,0.96192974,0,1,0,0.008021483,37.156063,127.61651,89.93075
77824,-126976,99.58026,0.96094775,0,1,0,0.012322055,45.920097,137.52888,99.58026
81920,-126976,269.09415,0.96159077,0,0.65801835,0.34198165,0.114803,-139.57751,1080.8282,269.09415
86016,-126976,295.5164,0.9633437,0,0.60143924,0.39856076,0.101296455,-137.9862,1083.1194,295.5164
90112,-126976,231.10089,0.9660083,0.12572515,0.8717339,0.002540946,0.24938442,-193.20775,1967.9581,231.10089
94208,-126976,253.11824,0.96936446,0.3936362,0.6063638,0,0.025676977,-292.47238,2168.6196,253.11824
98304,-126976,246.29457,0.9731824,0.10797252,0.8920275,0,0.1609381,-136.17911,1588.7025,246.29457
102400,-126976,109.833084,0.9772356,0.00031012011,0.9996899,0,0.006057438,57.429207,199.41565,109.833084
106496,-126976,116.02396,0.9813112,0,1,0,0.0030298105,74.15399,142.06557,116.02396
110592,-126976,396.4129,0.9852193,0,0.4730475,0.5269525,0.46594778,-92.0113,1102.9497,396.4129
