x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,263.27264,0.96612424,0.9868512,0.009043819,0.0041049654,0.035895523,187.22623,388.26886,263.27264
-57312,-57344,263.91937,0.9668288,0.9873801,0.008898016,0.0037218966,0.036471494,189.39369,384.95825,263.91937
-57280,-57344,264.58426,0.9675274,0.9878942,0.008739043,0.0033667795,0.036991477,191.53375,381.7082,264.58426
-57248,-57344,265.26593,0.9682199,0.98839384,0.008567879,0.0030382778,0.037465066,193.64655,378.52292,265.26593
-57216,-57344,265.96307,0.9689061,0.988879,0.008385814,0.0027351612,0.037878685,195.73145,375.40714,265.96307
-57184,-57344,266.67453,0.9695863,0.9893502,0.008193741,0.0024560597,0.03824283,197.78993,372.3628,266.67453
-57152,-57344,267.39853,0.97025996,0.98980725,0.007992969,0.002199783,0.038558878,199.82045,369.39508,267.39853
-57120,-57344,268.13446,0.9709276,0.9902507,0.007784363,0.0019649304,0.03881832,201.82497,366.50443,268.13446
-57088,-57344,268.88077,0.9715889,0.9906807,0.0075690057,0.0017502997,0.03906042,203.80298,363.69415,268.88077
-57056,-57344,269.63712,0.9722437,0.9910972,0.007348092,0.0015546964,0.039378848,205.75447,360.9665,269.63712
-57024,-57344,270.40363,0.97289234,0.9915008,0.007122344,0.0013768612,0.039606504,207.68044,358.32233,270.40363
-56992,-57344,271.17642,0.9735342,0.9918914,0.0068929605,0.0012156554,0.039706893,209.57997,355.76398,271.17642
-56960,-57344,271.95374,0.9741698,0.99226934,0.0066607217,0.0010699411,0.039699405,211.45451,353.29147,271.95374
-56928,-57344,272.73364,0.9747988,0.9926349,0.006426523,0.00093858456,0.039635304,213.30388,350.90558,272.73364
-56896,-57344,273.51523,0.97542125,0.99298817,0.0061912816,0.0008205492,0.03952525,215.12836,348.60672,273.51523
-56864,-57344,274.29868,0.97603685,0.99332935,0.005955828,0.00071482593,0.039401535,216.92778,346.3953,274.29868
-56832,-57344,275.08386,0.97664595,0.99365884,0.0057207453,0.00062041404,0.03923709,218.70335,344.2703,275.08386
-56800,-57344,275.8694,0.9772483,0.9939768,0.005486831,0.0005363971,0.039032813,220.45468,342.23166,275.8694
-56768,-57344,276.65424,0.97784394,0.9942833,0.0052547795,0.000461902,0.038781967,222.18251,340.27844,276.65424
-56736,-57344,277.43732,0.9784328,0.9945787,0.005025205,0.00039607566,0.038516082,223.88669,338.4097,277.43732
-56704,-57344,278.21738,0.97901464,0.9948633,0.004798598,0.00033813016,0.03819094,225.56752,336.6243,278.21738
-56672,-57344,278.99387,0.9795897,0.99513704,0.0045756297,0.00028733443,0.037863106,227.22589,334.92044,278.99387
-56640,-57344,279.76584,0.9801578,0.9954005,0.0043565356,0.000242976,0.037491906,228.8613,333.29703,279.76584
-56608,-57344,280.53268,0.98071903,0.9956536,0.0041419524,0.00020441832,0.0371084,230.4748,331.75183,280.53268
-56576,-57344,281.29333,0.98127306,0.9958967,0.0039322455,0.00017105741,0.036706112,232.06589,330.28348,281.29333
