x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-74.75018,0.79759556,0.002782786,0.87354445,0.12367278,0.16245337,-297.3372,580.24976,-74.75018
-126976,-131072,447.72812,0.81383306,0.03454481,0,0.9654552,0.24748468,71.902145,1003.531,447.72812
-122880,-131072,364.2235,0.8305642,0.54565805,0,0.45434195,0.16760007,-203.12093,1618.4615,364.2235
-118784,-131072,87.2563,0.84728646,0.7771269,0.19405422,0.028818876,0.047284912,-208.76216,711.09985,87.2563
-114688,-131072,143.97333,0.8635422,0.8172063,0.18279368,0,0.087101325,-158.59615,644.65485,143.97333
-110592,-131072,151.66002,0.8789289,0.85249645,0.14750355,0,0.08059907,-113.0545,537.59534,151.66002
-106496,-131072,391.68686,0.89311016,0.8824349,0.116835915,0.0007291809,0.12454581,-14.165899,1009.25934,391.68686
-102400,-131072,239.5588,0.90581834,0.9069243,0.09300276,7.293373E-05,0.07882537,-17.097818,699.67194,239.5588
-98304,-131072,195.97133,0.9168545,0.92623866,0.073761344,0,0.0094456095,16.621767,476.91013,195.97133
-94208,-131072,197.96262,0.926081,0.94089407,0.059105933,0,0.03396572,49.85081,374.3895,197.96262
-90112,-131072,210.16183,0.93340796,0.95151085,0.048489153,0,0.019271946,77.02462,373.17728,210.16183
-86016,-131072,225.52794,0.9387698,0.9586833,0.041316688,0,0.015049821,10.016768,504.73364,225.52794
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-13.129433,93.43442,47.255806
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-2.0910053,104.176834,58.253387
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-8.96998,96.67456,51.02249
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-7.370315,98.22492,52.607883
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-9.892241,101.37646,50.590908
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-22.82639,161.92279,46.787598
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.918846,761.537,224.67989
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,500.95465,1041.6539,757.5354
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,562.6819,1043.4395,883.5139
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,440.28146,908.5487,620.4164
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,430.11307,947.34064,705.1041
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.722836,988.3514,499.12967
-32768,-131072,52.170074,0.94849646,0.0014159082,0.9985841,0,0.018835291,-12.619823,130.6783,52.170074
-28672,-131072,657.3977,0.94911957,0.8388752,0.16112483,0,0.8160336,-226.64409,2077.917,657.3977
-24576,-131072,546.51263,0.94970363,0.9716791,0.025076766,0.003244143,0.11456975,295.2803,905.6487,546.51263
-20480,-131072,737.1822,0.9502348,0.972253,0.01514428,0.012602695,0.3084753,351.3559,1212.7181,737.1822
-16384,-131072,732.00336,0.9506995,0.9727508,0.02423741,0.0030118078,0.11174883,431.58878,1081.5802,732.00336
-12288,-131072,422.877,0.9510843,0.97315973,0.026829537,1.0732561E-05,0.12978998,248.06348,616.4431,422.877
-8192,-131072,224.99904,0.9513758,0.37528077,0.6244081,0.00031113625,0.16475882,-78.60682,1152.5234,224.99904
-4096,-131072,111.68722,0.95156085,0,0.9414089,0.058591127,0.03643791,-50.37541,650.6436,111.68722
0,-131072,190.63441,0.95162547,0,0.7982907,0.20170927,0.02539083,-79.83316,925.14716,190.63441
4096,-131072,68.40985,0.9520864,0,0.99987763,0.00012236834,0.042926084,-5.45857,236.85538,68.40985
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,7.2291136,104.52294,63.191513
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,12.655303,108.31072,67.841705
16384,-131072,368.73642,0.9580065,0,0.50693655,0.49306345,0.4105642,-70.837456,1074.4221,368.73642
20480,-131072,502.8361,0.9610362,0,0,1,0.3827082,334.08875,773.6216,502.8361
24576,-131072,578.6688,0.96435857,4.9406473E-05,0,0.9999506,0.44528672,301.2817,876.4361,578.6688
28672,-131072,407.09418,0.9678392,0.66982853,0.23420429,0.09596717,0.13018657,-73.25158,1947.0415,407.09418
32768,-131072,370.19464,0.97135353,0.9905287,0.008976109,0.00049518794,0.112011276,42.064342,3027.144,370.19464
36864,-131072,710.43396,0.9747917,0.99263084,0.007258606,0.00011055451,0.2049428,465.05972,992.8074,710.43396
40960,-131072,622.5133,0.9780596,0.9943924,0.0055936826,1.3922341E-05,0.11371492,447.67368,818.43964,622.5133
45056,-131072,277.5034,0.9810813,0.31339568,0.6402105,0.04639381,0.23458028,-32.47347,1524.0571,277.5034
49152,-131072,519.48004,0.9838,0,0.13212258,0.8678774,0.142305,46.458286,964.85114,519.48004
53248,-131072,465.16772,0.9861772,0,0,1,0.023340108,138.5988,795.50397,465.16772
57344,-131072,281.75003,0.98819107,0,0.0033031702,0.9966968,0.24152799,64.403,615.3248,281.75003
61440,-131072,656.78174,0.98983395,0,0.0447371,0.9552629,0.111404695,133.74179,1056.1461,656.78174
65536,-131072,536.5351,0.9911078,0,0.24694157,0.75305843,0.12279191,32.191612,1012.7637,536.5351
69632,-131072,132.91483,0.9920186,0,0.92561626,0.074383736,0.108309016,6.370937,571.724,132.91483
73728,-131072,109.175934,0.99256927,0,0.9978059,0.0021941066,0.014069372,50.19368,294.18796,109.175934
77824,-131072,145.97794,0.99275154,0,0.978472,0.021528006,0.038199764,43.49816,545.0104,145.97794
81920,-131072,223.98016,0.99272394,0.10979836,0.7935483,0.09665334,0.062941045,-7.9027386,1118.5555,223.98016
86016,-131072,593.1446,0.9926475,0.99935764,0.00052458816,0.000117771095,0.28065205,344.01123,931.3654,593.1446
90112,-131072,1345.1125,0.99252725,0.99933654,0.0003169981,0.0003464612,0.5535612,879.2136,1820.1083,1345.1125
94208,-131072,1177.6711,0.9923681,0.99930817,0.00016272931,0.0005291018,0.11053317,882.85846,1443.7966,1177.6711
98304,-131072,747.76154,0.99217474,0.9992728,0.00024073581,0.00048644084,0.14185813,481.633,1066.766,747.76154
