x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,261.67706,0.96612424,0.9868512,0.009043819,0.0041049654,0.042931784,187.21474,451.662,261.67706
-57312,-57344,262.4701,0.9668288,0.9873801,0.008898016,0.0037218966,0.043222073,189.38388,451.763,262.4701
-57280,-57344,263.27887,0.9675274,0.9878942,0.008739043,0.0033667795,0.043521423,191.52539,452.21188,263.27887
-57248,-57344,264.10455,0.9682199,0.98839384,0.008567879,0.0030382778,0.043851048,193.63945,453.02615,264.10455
-57216,-57344,264.94827,0.9689061,0.988879,0.008385814,0.0027351612,0.044205707,195.72545,454.22607,264.94827
-57184,-57344,265.81247,0.9695863,0.9893502,0.008193741,0.0024560597,0.044608485,197.7849,455.83136,265.81247
-57152,-57344,266.699,0.97025996,0.98980725,0.007992969,0.002199783,0.045087446,199.81622,457.86536,266.699
-57120,-57344,267.6119,0.9709276,0.9902507,0.007784363,0.0019649304,0.04564066,201.82144,460.35153,267.6119
-57088,-57344,268.555,0.9715889,0.9906807,0.0075690057,0.0017502997,0.046335816,203.80005,463.31607,268.555
-57056,-57344,269.53418,0.9722437,0.9910972,0.007348092,0.0015546964,0.04729255,205.75201,466.78583,269.53418
-57024,-57344,270.55676,0.97289234,0.9915008,0.007122344,0.0013768612,0.048363112,207.57738,470.89038,270.55676
-56992,-57344,271.62714,0.9735342,0.9918914,0.0068929605,0.0012156554,0.049554285,209.16422,475.77176,271.62714
-56960,-57344,272.7527,0.9741698,0.99226934,0.0066607217,0.0010699411,0.05091574,210.48857,481.486,272.7527
-56928,-57344,273.94235,0.9747988,0.9926349,0.006426523,0.00093858456,0.05254542,211.52582,488.093,273.94235
-56896,-57344,275.20697,0.97542125,0.99298817,0.0061912816,0.0008205492,0.05450178,212.25346,495.65045,275.20697
-56864,-57344,276.56006,0.97603685,0.99332935,0.005955828,0.00071482593,0.0568716,212.65027,504.21683,276.56006
-56832,-57344,278.0163,0.97664595,0.99365884,0.0057207453,0.00062041404,0.05967854,212.69832,513.8502,278.0163
-56800,-57344,279.59064,0.9772483,0.9939768,0.005486831,0.0005363971,0.062976375,212.38055,524.6081,279.59064
-56768,-57344,281.29974,0.97784394,0.9942833,0.0052547795,0.000461902,0.066821486,211.68391,536.54517,281.29974
-56736,-57344,283.1626,0.9784328,0.9945787,0.005025205,0.00039607566,0.071309224,210.59612,549.7219,283.1626
-56704,-57344,285.1992,0.97901464,0.9948633,0.004798598,0.00033813016,0.07644612,209.10966,564.1905,285.1992
-56672,-57344,287.4325,0.9795897,0.99513704,0.0045756297,0.00028733443,0.08238071,207.22021,580.00525,287.4325
-56640,-57344,289.8866,0.9801578,0.9954005,0.0043565356,0.000242976,0.0891117,204.92593,597.2175,289.8866
-56608,-57344,292.58813,0.98071903,0.9956536,0.0041419524,0.00020441832,0.09675061,202.23013,615.87726,292.58813
-56576,-57344,295.56488,0.98127306,0.9958967,0.0039322455,0.00017105741,0.10534408,199.13908,636.02997,295.56488
-56544,-57344,298.84845,0.98182,0.99613,0.003727688,0.00014232239,0.11496672,195.66222,657.72736,298.84845
