x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,1370.6227,0.96612424,0.9868512,0.009043819,0.0041049654,1.0153296,331.41223,2906.1228,1370.6227
-57312,-57344,1359.1439,0.9668288,0.9873801,0.008898016,0.0037218966,0.76626056,337.17267,2915.2695,1359.1439
-57280,-57344,1359.2236,0.9675274,0.9878942,0.008739043,0.0033667795,0.9266272,342.90128,2924.4097,1359.2236
-57248,-57344,1359.9246,0.9682199,0.98839384,0.008567879,0.0030382778,1.1377509,348.59726,2933.545,1359.9246
-57216,-57344,1358.5831,0.9689061,0.988879,0.008385814,0.0027351612,1.3512263,354.259,2942.6792,1358.5831
-57184,-57344,1355.0387,0.9695863,0.9893502,0.008193741,0.0024560597,1.5364201,359.888,2951.8142,1355.0387
-57152,-57344,1349.4382,0.97025996,0.98980725,0.007992969,0.002199783,1.6692475,365.48102,2960.9524,1349.4382
-57120,-57344,1342.1794,0.9709276,0.9902507,0.007784363,0.0019649304,1.7319593,371.0403,2970.0947,1342.1794
-57088,-57344,1332.6877,0.9715889,0.9906807,0.0075690057,0.0017502997,1.689832,376.564,2979.242,1332.6877
-57056,-57344,1321.6443,0.9722437,0.9910972,0.007348092,0.0015546964,1.567004,382.05145,2988.3953,1321.6443
-57024,-57344,1310.9882,0.97289234,0.9915008,0.007122344,0.0013768612,1.4182277,387.5033,2997.5552,1310.9882
-56992,-57344,1302.6361,0.9735342,0.9918914,0.0068929605,0.0012156554,1.3006504,392.91745,3006.7222,1302.6361
-56960,-57344,1298.0292,0.9741698,0.99226934,0.0066607217,0.0010699411,1.2629987,398.29498,3015.8948,1298.0292
-56928,-57344,1297.5012,0.9747988,0.9926349,0.006426523,0.00093858456,1.276493,403.6351,3025.0737,1297.5012
-56896,-57344,1298.1943,0.97542125,0.99298817,0.0061912816,0.0008205492,1.2157872,408.9366,3034.2551,1298.1943
-56864,-57344,1311.4751,0.97603685,0.99332935,0.005955828,0.00071482593,1.7637151,414.19962,3043.442,1311.4751
-56832,-57344,1345.483,0.97664595,0.99365884,0.0057207453,0.00062041404,2.075945,419.42453,3052.6304,1345.483
-56800,-57344,1366.7686,0.9772483,0.9939768,0.005486831,0.0005363971,1.8251034,424.60995,3061.8188,1366.7686
-56768,-57344,1396.8047,0.97784394,0.9942833,0.0052547795,0.000461902,1.7163677,429.75607,3071.005,1396.8047
-56736,-57344,1425.2444,0.9784328,0.9945787,0.005025205,0.00039607566,1.7292418,434.8621,3080.1865,1425.2444
-56704,-57344,1442.8046,0.97901464,0.9948633,0.004798598,0.00033813016,1.6350756,439.9273,3089.36,1442.8046
-56672,-57344,1450.0973,0.9795897,0.99513704,0.0045756297,0.00028733443,1.5325994,444.95236,3098.5232,1450.0973
-56640,-57344,1451.2731,0.9801578,0.9954005,0.0043565356,0.000242976,1.4717145,449.93582,3107.673,1451.2731
-56608,-57344,1449.6866,0.98071903,0.9956536,0.0041419524,0.00020441832,1.470938,454.87848,3116.8066,1449.6866
-56576,-57344,1448.561,0.98127306,0.9958967,0.0039322455,0.00017105741,1.4925535,459.77817,3120.8015,1448.561
-56544,-57344,1441.947,0.98182,0.99613,0.003727688,0.00014232239,1.5968537,464.63565,3120.423,1441.947
-56512,-57344,1427.8192,0.98235995,0.99635375,0.0035285568,0.00011769775,1.7602319,469.45084,3120.0674,1427.8192
-56480,-57344,1407.479,0.9828927,0.9965682,0.0033350878,9.6709235E-05,1.9053551,474.2227,3119.7334,1407.479
-56448,-57344,1387.7721,0.9834183,0.99677354,0.0031475388,7.8920275E-05,1.4175497,478.78177,3119.42,1387.7721
-56416,-57344,1408.5342,0.9839365,0.99696994,0.002966126,6.393576E-05,1.1026472,483.09106,3119.125,1408.5342
-56384,-57344,1425.2043,0.98444754,0.99715763,0.0027909726,5.1394105E-05,0.91132396,487.35425,3118.8477,1425.2043
-56352,-57344,1437.9425,0.98495126,0.997337,0.0026220523,4.096399E-05,0.8358954,491.5705,3118.5862,1437.9425
-56320,-57344,1450.4204,0.9854474,0.997508,0.0024596532,3.2357406E-05,0.8904775,495.73914,3118.3408,1450.4204
-56288,-57344,1466.2062,0.9859363,0.997671,0.0023036823,2.5309622E-05,1.023843,499.8612,3118.216,1466.2062
-56256,-57344,1486.8534,0.9864176,0.9978263,0.002154135,1.9586878E-05,1.2007594,503.937,3118.2236,1486.8534
-56224,-57344,1512.4895,0.9868913,0.997974,0.0020110384,1.4983118E-05,1.3575847,507.96582,3118.3054,1512.4895
-56192,-57344,1539.3524,0.98735756,0.99811435,0.0018743366,1.13159185E-05,1.3557503,511.94836,3118.3938,1539.3524
-56160,-57344,1564.0977,0.9878162,0.9982476,0.0017439498,8.426723E-06,1.3498065,515.88403,3118.4688,1564.0977
-56128,-57344,1585.775,0.9882671,0.9983739,0.001619896,6.1782775E-06,1.3534894,519.773,3118.4978,1585.775
-56096,-57344,1603.8365,0.98871034,0.9984935,0.0015020559,4.451489E-06,1.3739469,523.6154,3118.4546,1603.8365
-56064,-57344,1618.1442,0.9891458,0.9986067,0.0013901734,3.144727E-06,1.4136835,527.4112,3118.3198,1618.1442
