x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-75.70433,0.79759556,0,0.8759821,0.124017894,0.1624729,-295.65817,532.3232,-75.70433
-126976,-131072,441.1627,0.81383306,0,0,1,0.24681364,197.0142,745.87555,441.1627
-122880,-131072,408.75467,0.8305642,0,0,1,0.11375252,174.52843,736.3929,408.75467
-118784,-131072,-21.940887,0.84728646,0.0016380782,0.8692676,0.12909436,0.10432079,-227.9994,602.6534,-21.940887
-114688,-131072,186.01605,0.8635422,0.1803151,0.81968486,0,0.13845064,-198.30989,1875.1392,186.01605
-110592,-131072,58.20915,0.8789289,0.32826975,0.6717303,0,0.011085292,-276.71313,2675.9875,58.20915
-106496,-131072,1302.0363,0.89311016,0.5882643,0.40918198,0.0025537312,0.73070014,-321.11432,3339.0913,1302.0363
-102400,-131072,297.7131,0.90581834,0.89934087,0.10058025,7.88793E-05,0.07643865,-161.00063,3151.2185,297.7131
-98304,-131072,331.2038,0.9168545,0.92623866,0.073761344,0,0.0769827,-97.75406,1672.4646,331.2038
-94208,-131072,515.2729,0.926081,0.94089407,0.059105933,0,0.322474,-90.786644,1913.8519,515.2729
-90112,-131072,2407.1145,0.93340796,0.94183445,0.05816555,0,0.9401772,-263.74023,3352.352,2407.1145
-86016,-131072,46.143906,0.9387698,2.467898E-08,1,0,0.020216651,-15.888128,97.66383,46.143906
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-13.114376,93.37284,47.255806
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-2.0910053,104.176834,58.253387
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-8.96998,96.67456,51.02249
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-7.370315,98.22492,52.607883
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-9.892241,101.37646,50.590908
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-22.82639,161.92279,46.787598
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.918846,761.537,224.67989
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,500.95465,1041.6539,757.5354
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,562.6819,1043.4395,883.5139
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,440.28146,908.5487,620.4164
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,430.11307,947.34064,705.1041
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.722477,988.34674,499.12967
-32768,-131072,51.889336,0.94849646,0,1,0,0.019047147,-7.63125,111.46226,51.889336
-28672,-131072,67.62068,0.94911957,0,1,0,0.026523288,4.15605,146.10237,67.62068
-24576,-131072,192.09549,0.94970363,0.14605698,0.7561243,0.09781867,0.2017794,-86.1893,1908.0444,192.09549
-20480,-131072,1018.8126,0.9502348,0.9709162,0.01587391,0.013209878,0.20160264,-218.63228,3354.827,1018.8126
-16384,-131072,619.51984,0.9506995,0.9466971,0.047411412,0.005891472,0.35159284,-257.943,3354.8765,619.51984
-12288,-131072,127.73503,0.9510843,0.035684485,0.9639299,0.00038564205,0.12737438,-30.675367,889.83514,127.73503
-8192,-131072,73.424675,0.9513758,0,0.999502,0.0004979968,0.03883046,-5.7737274,261.70517,73.424675
-4096,-131072,111.68722,0.95156085,0,0.9414089,0.058591127,0.03643791,-50.3536,650.29175,111.68722
0,-131072,190.63441,0.95162547,0,0.7982907,0.20170927,0.02539083,-79.83316,925.14716,190.63441
4096,-131072,68.40985,0.9520864,0,0.99987763,0.00012236834,0.042926084,-5.45857,236.85538,68.40985
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,7.2291136,104.52294,63.191513
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,12.655303,108.31072,67.841705
16384,-131072,368.73642,0.9580065,0,0.50693655,0.49306345,0.4105642,-70.837456,1074.4221,368.73642
20480,-131072,502.8361,0.9610362,0,0,1,0.3827082,334.08875,773.6216,502.8361
24576,-131072,578.66846,0.96435857,0,0,1,0.44530782,306.84308,864.6451,578.66846
28672,-131072,243.19753,0.9678392,0,0.7093414,0.2906586,0.2053506,-63.70909,980.5891,243.19753
32768,-131072,168.72137,0.97135353,0.024466932,0.92452925,0.051003814,0.13481791,-27.744291,1132.1829,168.72137
36864,-131072,754.1879,0.9747917,0.41628236,0.57496053,0.008757114,0.051025495,-83.03637,3229.224,754.1879
40960,-131072,131.16692,0.9780596,0.0368125,0.9607961,0.002391398,0.036751892,14.03075,824.44446,131.16692
45056,-131072,149.3267,0.9810813,0,0.93243,0.06756997,0.22806089,-5.279781,712.31226,149.3267
49152,-131072,519.48004,0.9838,0,0.13212258,0.8678774,0.142305,46.458286,964.85114,519.48004
53248,-131072,465.16772,0.9861772,0,0,1,0.023340108,138.5988,795.50397,465.16772
57344,-131072,281.75003,0.98819107,0,0.0033031702,0.9966968,0.24152799,64.403,615.3248,281.75003
61440,-131072,656.78174,0.98983395,0,0.0447371,0.9552629,0.111404695,133.74179,1056.1461,656.78174
65536,-131072,536.5351,0.9911078,0,0.24694157,0.75305843,0.12279191,32.191612,1012.7637,536.5351
69632,-131072,132.91483,0.9920186,0,0.92561626,0.074383736,0.108309016,6.370937,571.724,132.91483
73728,-131072,109.175934,0.99256927,0,0.9978059,0.0021941066,0.014069372,50.193695,294.18787,109.175934
77824,-131072,145.97794,0.99275154,0,0.978472,0.021528006,0.038199764,43.571968,544.0349,145.97794
81920,-131072,177.5943,0.99272394,0,0.8914253,0.10857469,0.017434087,5.31151,761.856,177.5943
86016,-131072,228.37799,0.9926475,1.1176179E-06,0.8166576,0.18334126,0.045462098,-10.191981,933.621,228.37799
90112,-131072,723.24066,0.99252725,0.21748327,0.37388322,0.4086335,0.15838066,-49.000698,3164.1519,723.24066
94208,-131072,335.39023,0.9923681,0.5322948,0.11001145,0.35769373,0.08260409,-161.26494,2198.5977,335.39023
98304,-131072,530.9446,0.99217474,0.19260357,0.267293,0.54010344,0.3566647,-29.308231,2479.5469,530.9446
102400,-131072,403.19852,0.99195224,0.0031180962,0.48665714,0.51022476,0.49366122,-14.207251,1219.2513,403.19852
106496,-131072,304.43192,0.99170554,0,0.44627124,0.55372876,0.26140243,-19.507467,780.0929,304.43192
110592,-131072,466.08356,0.9914399,0,0.04196644,0.95803356,0.026244352,83.86604,812.8458,466.08356
114688,-131072,481.5259,0.991161,0,0,1,0.5944555,165.6674,717.69464,481.5259
118784,-131072,387.18695,0.99087477,0,0,1,0.18888746,228.36676,656.2751,387.18695
122880,-131072,360.08722,0.9905878,0,0,1,0.058636885,256.31366,630.2424,360.08722
126976,-131072,579.6395,0.9903067,0,0,1,0.054892555,399.80145,852.24255,579.6395
131072,-131072,504.53265,0.9900385,0,0,1,0.032631084,314.1932,781.24976,504.53265
-131072,-126976,421.7862,0.9877388,0,0.3790918,0.6209082,0.19532084,-10.066598,978.8607,421.7862
-126976,-126976,774.37036,0.9809746,0,0,1,0.056288414,580.3484,1060.6549,774.37036
-122880,-126976,737.6841,0.9722831,0,0,1,0.39046234,474.29208,963.9993,737.6841
-118784,-126976,89.0853,0.96171635,3.3716796E-07,0.98348695,0.016512692,0.056573745,-16.472734,426.8199,89.0853
-114688,-126976,90.543236,0.94947493,0.018545024,0.98145497,0,0.012401168,-5.1156907,530.3386,90.543236
-110592,-126976,135.19496,0.93590033,0.04848346,0.94998145,0.001535058,0.06249324,-62.071766,1077.9813,135.19496
-106496,-126976,600.6054,0.9214599,0.13753971,0.081963204,0.7804971,0.20755506,-90.45484,2370.935,600.6054
-102400,-126976,1055.3503,0.90672415,0.41100028,0.10413572,0.48486403,0.8090534,-238.23845,3284.4927,1055.3503
-98304,-126976,1123.2328,0.89234066,0.72948796,0.27051094,1.1026859E-06,0.4677068,-318.33188,3339.0579,1123.2328
-94208,-126976,1169.718,0.8790062,0.82508856,0.17491144,0,0.3822159,-328.21307,3331.9502,1169.718
-90112,-126976,725.2866,0.86743873,0.36102942,0.6389706,0,1.1009347,-291.41077,3295.613,725.2866
-86016,-126976,-46.71531,0.8583488,0,0.99502045,0.004979551,0.026269032,-163.12135,242.73454,-46.71531
-81920,-126976,-46.799263,0.85241246,0,0.9859858,0.0140141845,0.023960257,-179.63945,336.57666,-46.799263
-77824,-126976,-52.13189,0.850243,0,1,0,0.034886096,-146.3678,79.59944,-52.13189
-73728,-126976,-54.79097,0.8530346,0,1,0,0.03338724,-141.07523,21.503506,-54.79097
-69632,-126976,-36.87735,0.86116177,0,0.9836324,0.016367614,0.034606177,-169.40321,334.2865,-36.87735
-65536,-126976,573.5496,0.87366647,0,0,1,0.24598412,142.4821,844.9028,573.5496
-61440,-126976,562.652,0.8894492,0,0,1,0.06868981,334.6835,876.5666,562.652
-57344,-126976,581.4109,0.9073234,0,0,1,0.06895605,358.29956,891.18646,581.4109
-53248,-126976,418.7345,0.9260671,0,0,1,0.62240964,142.796,652.6749,418.7345
-49152,-126976,561.16034,0.94448084,0,0,1,0.10380576,253.43199,759.10974,561.16034
-45056,-126976,673.08673,0.9614515,0,0,1,0.098556116,387.03616,885.6334,673.08673
-40960,-126976,646.3137,0.97601753,0,0,1,0.12175651,347.73483,824.98206,646.3137
-36864,-126976,895.1616,0.9874359,0,0,1,0.06739066,597.9783,1049.2941,895.1616
-32768,-126976,596.2391,0.9952418,0,0,1,0.10206809,314.59805,750.5147,596.2391
-28672,-126976,526.07434,0.99929434,0,0.053746402,0.9462536,0.3052678,117.52209,890.4874,526.07434
-24576,-126976,160.29306,1,0.05810882,0.9418912,0,0.029084122,86.9173,644.2607,160.29306
-20480,-126976,1040.2708,1,0.7167599,0.28324008,0,0.7796828,-162.84045,3356.4675,1040.2708
-16384,-126976,900.67914,1,0.61821556,0.38178444,0,1.0131226,-159.67706,3356.2046,900.67914
-12288,-126976,129.11378,1,0.0060272203,0.9939728,0,0.025792366,105.07328,350.31665,129.11378
-8192,-126976,124.8786,1,0,1,0,0.005173899,117.80326,131.95396,124.8786
-4096,-126976,136.07878,1,0,1,0,0.0017853538,128.95404,143.50131,136.07878
0,-126976,169.81311,1,0,0.96791804,0.03208196,0.008439831,69.58662,674.1121,169.81311
4096,-126976,130.10098,1,0,1,0,0.0032716813,123.02564,137.17635,130.10098
8192,-126976,129.35333,1,0,1,0,0.002853067,122.277985,136.4287,129.35333
12288,-126976,128.54144,1,0,1,0,0.00245111,121.46609,135.61679,128.54144
16384,-126976,124.03203,1,0,1,0,0.0032101693,116.053566,137.01277,124.03203
20480,-126976,521.00665,1,0,0.00318712,0.9968129,0.12946211,164.21417,848.6499,521.00665
24576,-126976,629.2406,1,0,0,1,0.094381295,213.30261,832.3779,629.2406
28672,-126976,499.2143,1,0,0,1,0.18700029,268.31656,780.4887,499.2143
32768,-126976,465.2286,1,0.0064424686,0,0.9935575,0.14028585,244.02133,850.6907,465.2286
36864,-126976,840.3717,0.9997906,0.25049275,0,0.74950725,0.30948842,128.76443,3070.9646,840.3717
40960,-126976,731.49927,0.9982161,0.013323519,0,0.98667645,0.08813,475.89618,1233.8003,731.49927
45056,-126976,725.52405,0.9951861,0,0,1,0.23345764,539.9856,981.40405,725.52405
49152,-126976,688.71027,0.9909145,0,0,1,0.080319546,432.5847,850.856,688.71027
53248,-126976,737.5801,0.98572546,0,0,1,0.07012878,549.03296,1007.5841,737.5801
57344,-126976,667.23914,0.98003054,0,0,1,0.6918823,432.26596,907.3166,667.23914
61440,-126976,822.967,0.974302,0,0,1,0.08127223,621.95917,1080.9612,822.967
65536,-126976,736.13074,0.96904445,0,0,1,0.1280029,350.34558,926.9188,736.13074
69632,-126976,75.55332,0.96476275,0,1,0,0.01022812,24.771288,111.655205,75.55332
73728,-126976,89.93075,0.96192974,0,1,0,0.008021483,37.156063,127.61651,89.93075
77824,-126976,99.58026,0.96094775,0,1,0,0.012322055,45.92048,137.5285,99.58026
81920,-126976,269.53256,0.96159077,0,0.65801835,0.34198165,0.103868246,-74.82991,1016.0806,269.53256
86016,-126976,290.05457,0.9633437,0,0.60143924,0.39856076,0.06836744,-71.61565,1016.7488,290.05457
90112,-126976,233.69064,0.9660083,0.12572515,0.8717339,0.002540946,0.22556743,-28.23205,1802.9829,233.69064
94208,-126976,249.32208,0.96936446,0.3936362,0.6063638,0,0.031792957,-185.03098,3235.137,249.32208
98304,-126976,243.3899,0.9731824,0.10797252,0.8920275,0,0.15428957,-0.022825781,1452.5463,243.3899
102400,-126976,109.832954,0.9772356,0.00031012011,0.9996899,0,0.006057869,61.657307,195.18755,109.832954
106496,-126976,116.02396,0.9813112,0,1,0,0.0030298105,74.15399,142.06555,116.02396
110592,-126976,383.60715,0.9852193,0,0.4730475,0.5269525,0.42077595,-24.814669,1035.753,383.60715
114688,-126976,707.19336,0.9888015,0,0,1,0.039837167,522.67285,983.1952,707.19336
