x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,1297.6343,0.96612424,0.9868512,0.009043819,0.0041049654,1.0160228,263.2466,2820.5557,1297.6343
-57312,-57344,1287.7917,0.9668288,0.9873801,0.008898016,0.0037218966,0.6953532,269.6466,2829.4163,1287.7917
-57280,-57344,1290.5709,0.9675274,0.9878942,0.008739043,0.0033667795,0.8255831,276.03192,2838.2715,1290.5709
-57248,-57344,1293.7605,0.9682199,0.98839384,0.008567879,0.0030382778,0.99556005,282.4007,2847.1233,1293.7605
-57216,-57344,1293.5574,0.9689061,0.988879,0.008385814,0.0027351612,1.1871881,288.75018,2855.975,1293.5574
-57184,-57344,1290.1505,0.9695863,0.9893502,0.008193741,0.0024560597,1.3719065,295.0806,2864.829,1290.1505
-57152,-57344,1284.0089,0.97025996,0.98980725,0.007992969,0.002199783,1.5202798,301.38745,2873.6875,1284.0089
-57120,-57344,1275.7604,0.9709276,0.9902507,0.007784363,0.0019649304,1.6074743,307.67206,2882.5518,1275.7604
-57088,-57344,1265.096,0.9715889,0.9906807,0.0075690057,0.0017502997,1.589368,313.9312,2891.422,1265.096
-57056,-57344,1253.126,0.9722437,0.9910972,0.007348092,0.0015546964,1.4809678,320.163,2900.3005,1253.126
-57024,-57344,1242.0397,0.97289234,0.9915008,0.007122344,0.0013768612,1.3349891,326.3667,2909.1868,1242.0397
-56992,-57344,1234.1584,0.9735342,0.9918914,0.0068929605,0.0012156554,1.2182713,332.53915,2918.0818,1234.1584
-56960,-57344,1230.8086,0.9741698,0.99226934,0.0066607217,0.0010699411,1.1863986,338.67984,2926.9844,1230.8086
-56928,-57344,1232.0896,0.9747988,0.9926349,0.006426523,0.00093858456,1.2183397,344.78708,2935.8948,1232.0896
-56896,-57344,1235.1013,0.97542125,0.99298817,0.0061912816,0.0008205492,1.2334697,350.8584,2944.8093,1235.1013
-56864,-57344,1252.8486,0.97603685,0.99332935,0.005955828,0.00071482593,1.3739554,356.89236,2953.7312,1252.8486
-56832,-57344,1275.9856,0.97664595,0.99365884,0.0057207453,0.00062041404,1.7348484,362.8882,2962.6567,1275.9856
-56800,-57344,1304.2844,0.9772483,0.9939768,0.005486831,0.0005363971,1.67676,368.84332,2971.584,1304.2844
-56768,-57344,1335.3828,0.97784394,0.9942833,0.0052547795,0.000461902,1.6965804,374.7564,2980.5107,1335.3828
-56736,-57344,1361.9501,0.9784328,0.9945787,0.005025205,0.00039607566,1.6880667,380.6258,2989.435,1361.9501
-56704,-57344,1378.0802,0.97901464,0.9948633,0.004798598,0.00033813016,1.582815,386.44937,2998.3535,1378.0802
-56672,-57344,1384.5011,0.9795897,0.99513704,0.0045756297,0.00028733443,1.4739236,392.22653,3007.2637,1384.5011
-56640,-57344,1385.193,0.9801578,0.9954005,0.0043565356,0.000242976,1.4087055,397.9546,3016.1626,1385.193
-56608,-57344,1383.3209,0.98071903,0.9956536,0.0041419524,0.00020441832,1.4068382,403.6332,3025.0476,1383.3209
-56576,-57344,1381.5283,0.98127306,0.9958967,0.0039322455,0.00017105741,1.4326906,407.00662,3028.9165,1381.5283
-56544,-57344,1374.0143,0.98182,0.99613,0.003727688,0.00014232239,1.5441518,410.1302,3028.5164,1374.0143
-56512,-57344,1358.7721,0.98235995,0.99635375,0.0035285568,0.00011769775,1.7163079,413.1667,3028.1401,1358.7721
-56480,-57344,1337.19,0.9828927,0.9965682,0.0033350878,9.6709235E-05,1.8647738,416.11566,3027.7864,1337.19
-56448,-57344,1318.2172,0.9834183,0.99677354,0.0031475388,7.8920275E-05,1.2938727,418.9772,3027.4539,1318.2172
-56416,-57344,1337.9923,0.9839365,0.99696994,0.002966126,6.393576E-05,1.0237925,421.75092,3027.141,1337.9923
-56384,-57344,1353.2233,0.98444754,0.99715763,0.0027909726,5.1394105E-05,0.832229,424.43845,3026.8467,1353.2233
-56352,-57344,1364.1783,0.98495126,0.997337,0.0026220523,4.096399E-05,0.760912,427.03873,3026.5688,1364.1783
-56320,-57344,1374.668,0.9854474,0.997508,0.0024596532,3.2357406E-05,0.81714296,429.55157,3026.3083,1374.668
-56288,-57344,1388.343,0.9859363,0.997671,0.0023036823,2.5309622E-05,0.9480285,431.97824,3026.1692,1388.343
-56256,-57344,1406.7598,0.9864176,0.9978263,0.002154135,1.9586878E-05,1.1336254,434.3192,3026.163,1406.7598
-56224,-57344,1430.4536,0.9868913,0.997974,0.0020110384,1.4983118E-05,1.2948769,436.57434,3026.2324,1430.4536
