x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,1792.0433,0.96612424,0.9868512,0.009043819,0.0041049654,1.0229493,1047.6995,2368.0066,1792.0433
-57312,-57344,1819.8953,0.9668288,0.9873801,0.008898016,0.0037218966,0.9383207,1070.0496,2386.2048,1819.8953
-57280,-57344,1844.1681,0.9675274,0.9878942,0.008739043,0.0033667795,0.89288753,1092.5392,2403.4644,1844.1681
-57248,-57344,1864.3204,0.9682199,0.98839384,0.008567879,0.0030382778,0.93054676,1115.1665,2419.2515,1864.3204
-57216,-57344,1880.2433,0.9689061,0.988879,0.008385814,0.0027351612,1.0654334,1137.9279,2432.7249,1880.2433
-57184,-57344,1892.9144,0.9695863,0.9893502,0.008193741,0.0024560597,1.2267336,1160.8254,2442.6428,1892.9144
-57152,-57344,1906.0568,0.97025996,0.98980725,0.007992969,0.002199783,1.2952017,1183.8522,2448.0068,1906.0568
-57120,-57344,1920.2379,0.9709276,0.9902507,0.007784363,0.0019649304,1.3136189,1207.0118,2450.8594,1920.2379
-57088,-57344,1937.3188,0.9715889,0.9906807,0.0075690057,0.0017502997,1.3177999,1230.3004,2451.344,1937.3188
-57056,-57344,1958.6104,0.9722437,0.9910972,0.007348092,0.0015546964,1.3454894,1253.7153,2450.2104,1958.6104
-57024,-57344,1986.6179,0.97289234,0.9915008,0.007122344,0.0013768612,1.3687198,1277.257,2449.064,1986.6179
-56992,-57344,2017.1626,0.9735342,0.9918914,0.0068929605,0.0012156554,1.4052265,1300.9197,2447.9387,2017.1626
-56960,-57344,2048.4912,0.9741698,0.99226934,0.0066607217,0.0010699411,1.4884552,1324.7051,2446.837,2048.4912
-56928,-57344,2079.8208,0.9747988,0.9926349,0.006426523,0.00093858456,1.6541286,1348.6091,2445.7603,2079.8208
-56896,-57344,2111.9927,0.97542125,0.99298817,0.0061912816,0.0008205492,1.9267538,1372.6295,2444.711,2111.9927
-56864,-57344,2147.551,0.97603685,0.99332935,0.005955828,0.00071482593,1.8356392,1396.762,2443.69,2147.551
-56832,-57344,2181.8838,0.97664595,0.99365884,0.0057207453,0.00062041404,1.0966556,1421.0054,2442.6987,2181.8838
-56800,-57344,2198.751,0.9772483,0.9939768,0.005486831,0.0005363971,0.4795861,1445.3539,2441.7375,2198.751
-56768,-57344,2209.393,0.97784394,0.9942833,0.0052547795,0.000461902,0.94048345,1469.8044,2440.8074,2209.393
-56736,-57344,2211.341,0.9784328,0.9945787,0.005025205,0.00039607566,1.5085388,1494.351,2439.9082,2211.341
-56704,-57344,2198.8984,0.97901464,0.9948633,0.004798598,0.00033813016,2.725157,1518.9874,2439.0403,2198.8984
-56672,-57344,2144.7476,0.9795897,0.99513704,0.0045756297,0.00028733443,3.3714132,1543.709,2438.2031,2144.7476
