x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-73.74333,0.79759556,0.002782786,0.87354445,0.12367278,0.16228484,-297.3372,657.1206,-73.74333
-126976,-131072,427.24484,0.81383306,0.03454481,0,0.9654552,0.23603661,71.63206,851.85614,427.24484
-122880,-131072,936.7167,0.8305642,0.54565805,0,0.45434195,0.64092475,-252.08696,3244.4277,936.7167
-118784,-131072,674.7742,0.84728646,0.7771269,0.19405422,0.028818876,0.37994295,-278.6603,3088.1353,674.7742
-114688,-131072,822.7351,0.8635422,0.8172063,0.18279368,0,0.28748548,-159.93266,2743.6758,822.7351
-110592,-131072,768.4014,0.8789289,0.85249645,0.14750355,0,0.6035847,-71.09209,2409.6125,768.4014
-106496,-131072,1035.6097,0.89311016,0.8824349,0.116835915,0.0007291809,0.4049112,28.445105,2750.0205,1035.6097
-102400,-131072,1380.3885,0.90581834,0.9069243,0.09300276,7.293373E-05,0.11134877,357.435,2874.6155,1380.3885
-98304,-131072,1355.8694,0.9168545,0.92623866,0.073761344,0,0.7609464,446.91568,2708.7175,1355.8694
-94208,-131072,1153.5858,0.926081,0.94089407,0.059105933,0,0.49714118,445.98608,2156.0942,1153.5858
-90112,-131072,641.54016,0.93340796,0.95151085,0.048489153,0,0.24724084,217.54706,1358.2388,641.54016
-86016,-131072,993.706,0.9387698,0.9586833,0.041316688,0,0.49510267,139.6968,2415.4272,993.706
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-13.129433,93.51539,47.255806
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-2.0910053,104.176834,58.253387
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-8.96998,96.67456,51.02249
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-7.370315,98.22492,52.607883
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-9.892241,101.37646,50.590908
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-22.82639,161.92279,46.787598
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.918846,761.537,224.67989
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,500.95465,1041.6539,757.5354
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,562.6819,1043.4395,883.5139
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,440.28146,908.5487,620.4164
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,430.11307,947.34064,705.1041
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.722836,988.3616,499.12967
-32768,-131072,52.19297,0.94849646,0.0014159082,0.9985841,0,0.018842153,-12.619823,144.24495,52.19297
