x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,504.30078,0.96612424,0.9868512,0.009043819,0.0041049654,0.027835393,26.367825,3045.333,504.30078
-57312,-57344,503.83676,0.9668288,0.9873801,0.008898016,0.0037218966,0.02990672,28.504324,3044.552,503.83676
-57280,-57344,503.3603,0.9675274,0.9878942,0.008739043,0.0033667795,0.031970803,30.615028,3043.7527,503.3603
-57248,-57344,502.87152,0.9682199,0.98839384,0.008567879,0.0030382778,0.034009498,32.70003,3042.941,502.87152
-57216,-57344,502.3706,0.9689061,0.988879,0.008385814,0.0027351612,0.036053214,34.758686,3042.1216,502.3706
-57184,-57344,501.8585,0.9695863,0.9893502,0.008193741,0.0024560597,0.03806725,36.79241,3041.2993,501.8585
-57152,-57344,501.335,0.97025996,0.98980725,0.007992969,0.002199783,0.040049247,38.799614,3040.4788,501.335
-57120,-57344,500.8015,0.9709276,0.9902507,0.007784363,0.0019649304,0.04203299,40.782204,3039.6636,500.8015
-57088,-57344,500.25797,0.9715889,0.9906807,0.0075690057,0.0017502997,0.043944634,42.739628,3038.8574,500.25797
-57056,-57344,499.7063,0.9722437,0.9910972,0.007348092,0.0015546964,0.045712218,44.671856,3038.064,499.7063
-57024,-57344,499.14862,0.97289234,0.9915008,0.007122344,0.0013768612,0.047486644,46.579803,3037.2861,499.14862
-56992,-57344,498.5827,0.9735342,0.9918914,0.0068929605,0.0012156554,0.049313724,48.46253,3036.5261,498.5827
-56960,-57344,498.00903,0.9741698,0.99226934,0.0066607217,0.0010699411,0.051166967,50.32142,3035.7866,498.00903
-56928,-57344,497.4278,0.9747988,0.9926349,0.006426523,0.00093858456,0.053018097,52.156246,3035.0693,497.4278
-56896,-57344,496.84003,0.97542125,0.99298817,0.0061912816,0.0008205492,0.05484205,53.967247,3034.3762,496.84003
-56864,-57344,496.2478,0.97603685,0.99332935,0.005955828,0.00071482593,0.056625836,55.75423,3033.708,496.2478
-56832,-57344,495.6537,0.97664595,0.99365884,0.0057207453,0.00062041404,0.058390237,57.51832,3033.0664,495.6537
-56800,-57344,495.05817,0.9772483,0.9939768,0.005486831,0.0005363971,0.060117427,59.259098,3032.4517,495.05817
-56768,-57344,494.46228,0.97784394,0.9942833,0.0052547795,0.000461902,0.061830122,60.977245,3031.8645,494.46228
-56736,-57344,493.86713,0.9784328,0.9945787,0.005025205,0.00039607566,0.06350121,62.67258,3031.305,493.86713
-56704,-57344,493.27356,0.97901464,0.9948633,0.004798598,0.00033813016,0.06515772,64.34536,3030.7732,493.27356
-56672,-57344,492.68335,0.9795897,0.99513704,0.0045756297,0.00028733443,0.06677048,65.99642,3030.269,492.68335
-56640,-57344,492.09747,0.9801578,0.9954005,0.0043565356,0.000242976,0.06836161,67.62522,3029.792,492.09747
-56608,-57344,491.51776,0.98071903,0.9956536,0.0041419524,0.00020441832,0.06992288,69.23277,3029.3413,491.51776
-56576,-57344,490.9449,0.98127306,0.9958967,0.0039322455,0.00017105741,0.07144186,70.81853,3028.9165,490.9449
-56544,-57344,490.38098,0.98182,0.99613,0.003727688,0.00014232239,0.0729288,72.38292,3028.5164,490.38098
-56512,-57344,489.82755,0.98235995,0.99635375,0.0035285568,0.00011769775,0.07438149,73.92675,3028.1401,489.82755
-56480,-57344,489.28644,0.9828927,0.9965682,0.0033350878,9.6709235E-05,0.07580434,75.44967,3027.7864,489.28644
-56448,-57344,488.75903,0.9834183,0.99677354,0.0031475388,7.8920275E-05,0.07721399,76.95209,3027.4539,488.75903
-56416,-57344,488.24698,0.9839365,0.99696994,0.002966126,6.393576E-05,0.07859724,78.43386,3027.141,488.24698
-56384,-57344,487.75223,0.98444754,0.99715763,0.0027909726,5.1394105E-05,0.079944074,79.89593,3026.8467,487.75223
-56352,-57344,487.26746,0.98495126,0.997337,0.0026220523,4.096399E-05,0.0808086,81.33812,3026.5688,487.26746
-56320,-57344,486.7521,0.9854474,0.997508,0.0024596532,3.2357406E-05,0.08130102,82.76014,3026.3083,486.7521
