x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,263.62863,0.96612424,0.9868512,0.009043819,0.0041049654,0.5482106,-114.89882,717.40356,263.62863
-57312,-57344,251.13017,0.9668288,0.9873801,0.008898016,0.0037218966,0.27736273,-113.34711,717.3832,251.13017
-57280,-57344,244.4039,0.9675274,0.9878942,0.008739043,0.0033667795,0.21496533,-111.8232,717.5768,244.4039
-57248,-57344,235.36919,0.9682199,0.98839384,0.008567879,0.0030382778,0.5078825,-110.32719,717.9984,235.36919
-57216,-57344,207.9621,0.9689061,0.988879,0.008385814,0.0027351612,0.7583461,-108.859825,718.6636,207.9621
-57184,-57344,205.90927,0.9695863,0.9893502,0.008193741,0.0024560597,0.5692783,-107.420166,719.5873,205.90927
-57152,-57344,219.26337,0.97025996,0.98980725,0.007992969,0.002199783,0.24501513,-106.00966,720.78674,219.26337
-57120,-57344,221.2124,0.9709276,0.9902507,0.007784363,0.0019649304,0.18769586,-104.627,722.2791,221.2124
-57088,-57344,216.56352,0.9715889,0.9906807,0.0075690057,0.0017502997,0.03454402,-103.272804,724.0831,216.56352
-57056,-57344,221.47137,0.9722437,0.9910972,0.007348092,0.0015546964,0.12976073,-101.94726,726.21765,221.47137
-57024,-57344,220.40765,0.97289234,0.9915008,0.007122344,0.0013768612,0.23980187,-100.64979,728.70276,220.40765
-56992,-57344,214.577,0.9735342,0.9918914,0.0068929605,0.0012156554,0.3528968,-99.38134,731.5598,214.577
-56960,-57344,208.39513,0.9741698,0.99226934,0.0066607217,0.0010699411,0.21566352,-98.140884,734.80994,208.39513
-56928,-57344,207.77087,0.9747988,0.9926349,0.006426523,0.00093858456,0.20242107,-96.928825,738.47705,207.77087
-56896,-57344,213.07028,0.97542125,0.99298817,0.0061912816,0.0008205492,0.19428852,-95.745094,742.58466,213.07028
-56864,-57344,219.7888,0.97603685,0.99332935,0.005955828,0.00071482593,0.22595702,-94.58998,747.15784,219.7888
-56832,-57344,223.39465,0.97664595,0.99365884,0.0057207453,0.00062041404,0.07536418,-93.46269,752.2226,223.39465
-56800,-57344,228.49191,0.9772483,0.9939768,0.005486831,0.0005363971,0.68817455,-92.363686,757.80585,228.49191
-56768,-57344,254.57355,0.97784394,0.9942833,0.0052547795,0.000461902,1.1033102,-91.29245,763.9348,254.57355
-56736,-57344,285.84793,0.9784328,0.9945787,0.005025205,0.00039607566,1.1276947,-90.24939,770.64105,285.84793
-56704,-57344,322.37457,0.97901464,0.9948633,0.004798598,0.00033813016,1.2271888,-89.234314,777.95374,322.37457
-56672,-57344,358.73602,0.9795897,0.99513704,0.0045756297,0.00028733443,1.0077704,-88.24662,785.905,358.73602
-56640,-57344,375.91638,0.9801578,0.9954005,0.0043565356,0.000242976,0.36902493,-87.286865,794.5275,375.91638
-56608,-57344,385.41965,0.98071903,0.9956536,0.0041419524,0.00020441832,0.5318152,-86.354256,803.85516,385.41965
-56576,-57344,396.4481,0.98127306,0.9958967,0.0039322455,0.00017105741,0.65091234,-85.44928,813.92206,396.4481
