x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-57344,-57344,1905.4297,0.96612424,0.9868512,0.009043819,0.0041049654,0.21530375,1608.7379,2156.3506,1905.4297
-57312,-57344,1910.2797,0.9668288,0.9873801,0.008898016,0.0037218966,0.21333203,1617.7878,2155.4182,1910.2797
-57280,-57344,1915.0961,0.9675274,0.9878942,0.008739043,0.0033667795,0.2113047,1626.7441,2154.5151,1915.0961
-57248,-57344,1919.8772,0.9682199,0.98839384,0.008567879,0.0030382778,0.209292,1635.6063,2153.6462,1919.8772
-57216,-57344,1924.6211,0.9689061,0.988879,0.008385814,0.0027351612,0.20719658,1644.3712,2152.8157,1924.6211
-57184,-57344,1929.3289,0.9695863,0.9893502,0.008193741,0.0024560597,0.20506974,1653.043,2152.0269,1929.3289
-57152,-57344,1933.9962,0.97025996,0.98980725,0.007992969,0.002199783,0.20293571,1661.615,2151.2842,1933.9962
-57120,-57344,1938.6252,0.9709276,0.9902507,0.007784363,0.0019649304,0.20075153,1670.0935,2150.5896,1938.6252
-57088,-57344,1943.2141,0.9715889,0.9906807,0.0075690057,0.0017502997,0.19854254,1678.4755,2149.9465,1943.2141
-57056,-57344,1947.7615,0.9722437,0.9910972,0.007348092,0.0015546964,0.19646734,1686.7599,2149.357,1947.7615
-57024,-57344,1952.2694,0.97289234,0.9915008,0.007122344,0.0013768612,0.19428308,1694.9491,2148.8225,1952.2694
-56992,-57344,1956.7319,0.9735342,0.9918914,0.0068929605,0.0012156554,0.19202223,1703.0387,2148.3457,1956.7319
-56960,-57344,1961.1497,0.9741698,0.99226934,0.0066607217,0.0010699411,0.18963702,1711.0327,2147.9268,1961.1497
-56928,-57344,1965.5204,0.9747988,0.9926349,0.006426523,0.00093858456,0.18725052,1718.9298,2147.5674,1965.5204
-56896,-57344,1969.8435,0.97542125,0.99298817,0.0061912816,0.0008205492,0.18482938,1726.7296,2147.268,1969.8435
-56864,-57344,1974.1183,0.97603685,0.99332935,0.005955828,0.00071482593,0.18243939,1734.4305,2147.029,1974.1183
-56832,-57344,1978.3467,0.97664595,0.99365884,0.0057207453,0.00062041404,0.18002646,1742.0372,2146.8503,1978.3467
-56800,-57344,1982.5266,0.9772483,0.9939768,0.005486831,0.0005363971,0.17758065,1749.5562,2146.7317,1982.5266
-56768,-57344,1986.6582,0.97784394,0.9942833,0.0052547795,0.000461902,0.17511612,1756.9905,2146.6726,1986.6582
-56736,-57344,1990.74,0.9784328,0.9945787,0.005025205,0.00039607566,0.17269248,1764.3389,2146.6726,1990.74
-56704,-57344,1994.7708,0.97901464,0.9948633,0.004798598,0.00033813016,0.1701568,1771.6017,2146.7307,1994.7708
-56672,-57344,1998.7511,0.9795897,0.99513704,0.0045756297,0.00028733443,0.16774285,1778.7809,2146.8455,1998.7511
-56640,-57344,2002.6799,0.9801578,0.9954005,0.0043565356,0.000242976,0.16521734,1785.8739,2147.0159,2002.6799
-56608,-57344,2006.5574,0.98071903,0.9956536,0.0041419524,0.00020441832,0.16276185,1792.8839,2147.24,2006.5574
