x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-67.374146,0.79759556,0.002782786,0.87354445,0.12367278,0.16633344,-297.3372,894.5296,-67.374146
-126976,-131072,571.22253,0.81383306,0.03454481,0,0.9654552,0.34097683,71.97739,1690.7107,571.22253
-122880,-131072,1031.5798,0.8305642,0.54565805,0,0.45434195,0.3480611,5.5332656,2711.37,1031.5798
-118784,-131072,939.40955,0.84728646,0.7771269,0.19405422,0.028818876,0.2869799,224.44267,1983.2935,939.40955
-114688,-131072,1130.0607,0.8635422,0.8172063,0.18279368,0,0.26507664,391.9865,2043.4666,1130.0607
-110592,-131072,1214.7441,0.8789289,0.85249645,0.14750355,0,0.17647006,526.398,1983.585,1214.7441
-106496,-131072,1513.7239,0.89311016,0.8824349,0.116835915,0.0007291809,0.16039433,702.9489,2482.1145,1513.7239
-102400,-131072,1433.0576,0.90581834,0.9069243,0.09300276,7.293373E-05,0.05602437,785.4832,2218.293,1433.0576
-98304,-131072,1476.6382,0.9168545,0.92623866,0.073761344,0,0.046427872,913.8922,2065.5771,1476.6382
-94208,-131072,1455.0667,0.926081,0.94089407,0.059105933,0,0.089467555,950.6459,1917.89,1455.0667
-90112,-131072,1309.9645,0.93340796,0.95151085,0.048489153,0,0.09164302,870.5858,1726.3763,1309.9645
-86016,-131072,1110.9182,0.9387698,0.9586833,0.041316688,0,0.06764685,642.31854,1605.2174,1110.9182
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-13.129433,93.43442,47.255806
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-2.0910053,104.176834,58.253387
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-8.96998,96.67456,51.02249
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-7.370315,98.22492,52.607883
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-9.892241,101.37646,50.590908
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-22.82639,161.92279,46.787598
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.918846,761.537,224.67989
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,500.95465,1041.6539,757.5354
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,562.6819,1043.4395,883.5139
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,440.28146,908.5487,620.4164
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,430.11307,947.34064,705.1041
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.722836,988.3514,499.12967
-32768,-131072,52.5803,0.94849646,0.0014159082,0.9985841,0,0.018964956,-12.619823,303.95694,52.5803
-28672,-131072,1160.1685,0.94911957,0.8388752,0.16112483,0,0.8281733,61.9373,2718.5886,1160.1685
-24576,-131072,1010.20355,0.94970363,0.9716791,0.025076766,0.003244143,0.14231122,629.7576,1492.4822,1010.20355
-20480,-131072,1324.5656,0.9502348,0.972253,0.01514428,0.012602695,0.4079584,777.5696,1947.7878,1324.5656
-16384,-131072,1660.7369,0.9506995,0.9727508,0.02423741,0.0030118078,0.21817906,1128.3522,2204.2998,1660.7369
-12288,-131072,1786.849,0.9510843,0.97315973,0.026829537,1.0732561E-05,0.28521988,1315.6272,2199.03,1786.849
-8192,-131072,1480.5305,0.9513758,0.37528077,0.6244081,0.00031113625,0.7644773,313.54764,2928.7034,1480.5305
-4096,-131072,111.68722,0.95156085,0,0.9414089,0.058591127,0.03643791,-50.37541,650.6436,111.68722
0,-131072,190.63441,0.95162547,0,0.7982907,0.20170927,0.02539083,-79.83316,925.14716,190.63441
4096,-131072,68.40985,0.9520864,0,0.99987763,0.00012236834,0.042926084,-5.45857,236.85538,68.40985
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,7.2291136,104.52294,63.191513
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,12.655303,108.31072,67.841705
16384,-131072,368.73642,0.9580065,0,0.50693655,0.49306345,0.4105642,-70.837456,1074.4221,368.73642
20480,-131072,502.8361,0.9610362,0,0,1,0.3827082,334.08875,773.6216,502.8361
24576,-131072,578.6688,0.96435857,4.9406473E-05,0,0.9999506,0.44528672,301.2817,934.6871,578.6688
28672,-131072,1113.7874,0.9678392,0.66982853,0.23420429,0.09596717,0.11313212,275.27954,2837.7507,1113.7874
32768,-131072,1115.1334,0.97135353,0.9905287,0.008976109,0.00049518794,0.12931785,624.4549,3915.2703,1115.1334
36864,-131072,1442.6924,0.9747917,0.99263084,0.007258606,0.00011055451,0.21746476,1042.332,1862.8805,1442.6924
40960,-131072,1339.6072,0.9780596,0.9943924,0.0055936826,1.3922341E-05,0.12260465,1017.37335,1668.1055,1339.6072
45056,-131072,768.9785,0.9810813,0.31339568,0.6402105,0.04639381,0.5558457,91.625595,2324.0042,768.9785
49152,-131072,519.48004,0.9838,0,0.13212258,0.8678774,0.142305,46.458286,964.85114,519.48004
53248,-131072,465.16772,0.9861772,0,0,1,0.023340108,138.5988,795.50397,465.16772
57344,-131072,281.75003,0.98819107,0,0.0033031702,0.9966968,0.24152799,64.403,615.3248,281.75003
61440,-131072,656.78174,0.98983395,0,0.0447371,0.9552629,0.111404695,133.74179,1056.1461,656.78174
65536,-131072,536.5351,0.9911078,0,0.24694157,0.75305843,0.12279191,32.191612,1012.7637,536.5351
