x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-131072,-131072,-119.871,0.79759556,0.002782786,0.99721724,0,0.094529495,-238.83702,326.88788,-119.871,-119.871,0,0,0
-129024,-131072,-88.90686,0.8056196,0.005932758,0.99406725,0,0.098822095,-229.91507,466.89722,-88.90686,-88.90686,0,0,0
-126976,-131072,54.391685,0.81383306,0.03454481,0.9654552,0,0.19127646,-244.14389,960.0853,54.391685,54.391685,0,0,0
-124928,-131072,460.49683,0.8221692,0.18302457,0.8169754,0,0.37841088,-257.13074,1784.9524,460.49683,460.49683,0,0,0
-122880,-131072,818.3384,0.8305642,0.54565805,0.45434195,0,0.40335354,-216.00002,2967.7043,818.3384,818.3384,0,0,0
-120832,-131072,997.4295,0.8389565,0.7556065,0.24439353,0,0.7171387,-216.00002,2857.7278,997.4295,997.4295,0,0,0
-118784,-131072,1106.1956,0.84728646,0.7771269,0.22287309,0,0.5146292,-216.00002,3191.771,1106.1956,1106.1956,0,0,0
-116736,-131072,1430.5027,0.85549915,0.79771,0.20229,0,0.4268,-216.00002,3797.469,1430.5027,1430.5027,0,0,0
-114688,-131072,1652.025,0.8635422,0.8172063,0.18279368,0,0.39504975,-216.00002,4030.9905,1652.025,1652.025,0,0,0
-112640,-131072,1896.0195,0.87136674,0.8354967,0.16450328,0,0.31374946,-216.00002,3948.5771,1896.0195,1896.0195,0,0,0
-110592,-131072,2073.8687,0.8789289,0.85249645,0.14750355,0,0.34901008,-216.00002,3907.7961,2073.8687,2073.8687,0,0,0
-108544,-131072,2182.6357,0.88618875,0.8681511,0.13184887,0,0.20023046,-216.00002,4003.815,2182.6357,2182.6357,0,0,0
-106496,-131072,2343.3696,0.89311016,0.8824349,0.117565095,0,0.10334256,-216.00002,4151.4717,2343.3696,2343.3696,0,0,0
-104448,-131072,2448.5752,0.8996625,0.8953512,0.10464883,0,0.066229105,-216.00002,4134.015,2448.5752,2448.5752,0,0,0
-102400,-131072,2583.1438,0.90581834,0.9069243,0.09307569,0,0.12963979,-216.00002,4135.5767,2583.1438,2583.1438,0,0,0
-100352,-131072,2678.415,0.91155535,0.9172002,0.08279979,0,0.2471698,-216.00002,4312.874,2678.415,2678.415,0,0,0
-98304,-131072,2786.332,0.9168545,0.92623866,0.073761344,0,0.18986762,-216.00002,4388.5186,2786.332,2786.332,0,0,0
-96256,-131072,2800.814,0.9217005,0.9341109,0.06588912,0,0.34527627,-216.00002,4326.014,2800.814,2800.814,0,0,0
-94208,-131072,2818.6829,0.926081,0.94089407,0.059105933,0,0.4593604,-216.00002,4278.596,2818.6829,2818.6829,0,0,0
-92160,-131072,2822.5334,0.9299864,0.9466684,0.053331614,0,0.31474027,-216.00002,4267.277,2822.5334,2822.5334,0,0,0
-90112,-131072,2692.0344,0.93340796,0.95151085,0.048489153,0,0.4024336,-216.00002,4263.3516,2692.0344,2692.0344,0,0,0
-88064,-131072,2602.1584,0.9363384,0.9554946,0.044505417,0,0.2353361,-216.00002,4194.9976,2602.1584,2602.1584,0,0,0
-86016,-131072,2336.7131,0.9387698,0.9586833,0.041316688,0,0.4902914,-216.00002,4187.262,2336.7131,2336.7131,0,0,0
-83968,-131072,406.88245,0.9406935,0.12737174,0.8726283,0,0.6385592,-216.00002,1209.717,406.88245,406.88245,0,0,0
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-216.00002,93.413315,47.255806,47.255806,0,0,0
-79872,-131072,55.85057,0.94296694,0,1,0,0.021948542,-216.00002,101.83552,55.85057,55.85057,0,0,0
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-216.00002,104.176834,58.253387,58.253387,0,0,0
-75776,-131072,54.488113,0.94329786,0,1,0,0.02179832,-216.00002,100.27835,54.488113,54.488113,0,0,0
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-216.00002,96.67456,51.02249,51.02249,0,0,0
-71680,-131072,51.37069,0.9434304,0,1,0,0.020822853,-216.00002,96.99722,51.37069,51.37069,0,0,0
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-216.00002,98.22492,52.607883,52.607883,0,0,0
-67584,-131072,53.107285,0.94368374,0,1,0,0.019350152,-216.00002,98.67741,53.107285,53.107285,0,0,0
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-216.00002,96.00232,50.590908,50.590908,0,0,0
-63488,-131072,47.819717,0.9440426,0,1,0,0.01530399,-216.00002,93.05254,47.819717,47.819717,0,0,0
-61440,-131072,46.78739,0.94425654,0,1,0,0.013573958,-216.00002,91.88966,46.78739,46.78739,0,0,0
-59392,-131072,43.74002,0.94449073,0,1,0,0.011833995,-216.00002,88.636185,43.74002,43.74002,0,0,0
-57344,-131072,42.542236,0.9447433,0,1,0,0.009975722,-216.00002,87.28517,42.542236,42.542236,0,0,0
-55296,-131072,59.30259,0.94501233,0,1,0,0.013762014,-216.00002,104.4731,59.30259,59.30259,0,0,0
-53248,-131072,81.30802,0.9452955,0,1,0,0.008011489,-216.00002,124.91095,81.30802,81.30802,0,0,0
-51200,-131072,84.93339,0.9455913,0,1,0,0.0009979638,-216.00002,125.162605,84.93339,84.93339,0,0,0
-49152,-131072,84.424194,0.94589764,0,1,0,0.0017401956,-216.00002,125.42276,84.424194,84.424194,0,0,0
-47104,-131072,84.252266,0.9462125,0,1,0,0.004425667,-216.00002,125.68964,84.252266,84.252266,0,0,0
-45056,-131072,82.53576,0.9465338,0,1,0,0.0068809623,-216.00002,125.96139,82.53576,82.53576,0,0,0
-43008,-131072,79.532974,0.94686013,0,1,0,0.00886815,-216.00002,124.59566,79.532974,79.532974,0,0,0
-40960,-131072,81.53109,0.94718903,0,0.9935351,0.0064648986,0.012448541,-216.00002,143.0833,81.53109,81.53109,0,0,0
-38912,-131072,108.71145,0.947519,0,0.9027452,0.09725481,0.034392342,-216.00002,235.6303,108.71145,108.71145,0,0,0
-36864,-131072,157.96182,0.94784814,0,0.7472716,0.2527284,0.08698223,-216.00002,456.26126,157.96182,157.96182,0,0,0
-34816,-131072,66.55186,0.94817454,0,0.9846491,0.015350878,0.051139478,-216.00002,353.36148,66.55186,66.55186,0,0,0
-32768,-131072,52.5803,0.94849646,0.0014159082,0.9985841,0,0.018964956,-216.00002,310.16922,52.5803,52.5803,0,0,0
-30720,-131072,332.21436,0.94881195,0.13933158,0.8606684,0,0.259347,-216.00002,1003.1393,332.21436,332.21436,0,0,0
-28672,-131072,848.458,0.94911957,0.8388752,0.16112483,0,0.20503475,-216.00002,2902.8535,848.458,848.458,0,0,0
-26624,-131072,974.74414,0.9494174,0.9713676,0.028515125,0.00011727773,0.17368504,-216.00002,2749.3643,974.74414,974.74414,0,0,0
-24576,-131072,1923.899,0.94970363,0.9716791,0.025076766,0.003244143,0.30362,-216.00002,2602.8389,1923.899,1923.899,0,0,0
-22528,-131072,1705.8854,0.94997674,0.97197485,0.01781893,0.010206221,0.3764758,-216.00002,2606.4573,1705.8854,1705.8854,0,0,0
-20480,-131072,1383.8795,0.9502348,0.972253,0.01514428,0.012602695,0.23787843,-216.00002,2900.5786,1383.8795,1383.8795,0,0,0
