startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-21486.934,-74879.5,0,-21364.629,-74752.086,0,33.50117,39.35526,38.29135,42.548313
-21364.629,-74752.086,0,-21248.482,-74618.164,0,39.35526,45.24922,42.548313,47.718433
-21248.482,-74618.164,0,-21127.086,-74489.62,0,45.24922,51.14491,47.718433,53.485226
-21127.086,-74489.62,0,-20987.457,-74379.97,0,51.14491,56.987995,53.485226,59.43473
-20987.457,-74379.97,0,-20824.072,-74294.96,0,56.987995,62.728962,59.43473,65.09991
-20824.072,-74294.96,0,-20643.943,-74227.336,0,62.728962,68.349625,65.09991,70.01617
-20643.943,-74227.336,0,-20464.557,-74158.96,0,68.349625,73.875565,70.01617,73.87313
-20464.557,-74158.96,0,-20305.547,-74069.46,0,73.875565,79.36413,73.87313,76.65885
-20305.547,-74069.46,0,-20178.752,-73946.55,0,79.36413,84.87149,76.65885,78.51917
-20178.752,-73946.55,0,-20082.213,-73792.29,0,84.87149,90.41678,78.51917,79.41743
-20082.213,-73792.29,0,-20001.594,-73621.6,0,90.41678,95.96737,79.41743,79.1417
-20001.594,-73621.6,0,-19918.088,-73454.04,0,95.96737,101.459854,79.1417,77.68792
-19918.088,-73454.04,0,-19818.332,-73303.54,0,101.459854,106.84415,77.68792,75.49607
-19818.332,-73303.54,0,-19700.691,-73171.79,0,106.84415,112.11949,75.49607,73.24201
-19700.691,-73171.79,0,-19574.502,-73049.14,0,112.11949,117.33412,73.24201,71.443855
-19574.502,-73049.14,0,-19452.988,-72921.85,0,117.33412,122.55372,71.443855,70.29958
-19452.988,-72921.85,0,-19319.021,-72770.945,0,122.55372,131.7655,70.29958,70.427216
-19319.021,-72770.945,0,-19189.422,-72615.79,0,131.7655,140.99506,70.427216,71.564575
-19189.422,-72615.79,0,-19076.223,-72446.016,0,140.99506,150.30101,71.564575,73.079475
-19076.223,-72446.016,0,-18984.166,-72257.66,0,150.30101,159.69693,73.079475,74.320694
-18984.166,-72257.66,0,-18905.59,-72057.44,0,159.69693,169.13985,74.320694,75.12599
-18905.59,-72057.44,0,-18822.752,-71860.88,0,169.13985,178.54625,75.12599,75.88635
-18822.752,-71860.88,0,-18716.445,-71684.78,0,178.54625,187.89949,75.88635,76.99885
-18716.445,-71684.78,0,-18576.09,-71538.414,0,187.89949,197.16364,76.99885,78.37071
-18576.09,-71538.414,0,-18405.525,-71418.56,0,197.16364,206.39272,78.37071,79.08632
-18405.525,-71418.56,0,-18221.102,-71311.125,0,206.39272,215.68553,79.08632,78.05522
-18221.102,-71311.125,0,-18043.086,-71198.65,0,215.68553,225.13708,78.05522,74.859535
-18043.086,-71198.65,0,-17885.215,-71069.28,0,225.13708,234.78833,74.859535,69.88071
-17885.215,-71069.28,0,-17748.25,-70922.5,0,234.78833,244.62836,69.88071,63.918274
-17748.25,-70922.5,0,-17620.998,-70768.1,0,244.62836,254.65175,63.918274,57.854794
