x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-10240,-79872,2220.0107,1,1,0,0,0.43061957,-216.00002,4764.8022,2220.0107,2220.0107,0,0,0
-10208,-79872,2234.6719,1,1,0,0,0.49232453,-216.00002,4764.6953,2234.6719,2234.6719,0,0,0
-10176,-79872,2251.4114,1,1,0,0,0.57033557,-216.00002,4764.5796,2251.4114,2251.4114,0,0,0
-10144,-79872,2270.6685,1,1,0,0,0.6566894,-216.00002,4764.4546,2270.6685,2270.6685,0,0,0
-10112,-79872,2292.4814,1,1,0,0,0.71421874,-216.00002,4764.3203,2292.4814,2292.4814,0,0,0
-10080,-79872,2312.5786,1,1,0,0,0.50305045,-216.00002,4764.1772,2312.5786,2312.5786,0,0,0
-10048,-79872,2322.7424,1,1,0,0,0.4686564,-216.00002,4764.0254,2322.7424,2322.7424,0,0,0
-10016,-79872,2330.4075,1,1,0,0,0.40863386,-216.00002,4763.8647,2330.4075,2330.4075,0,0,0
-9984,-79872,2339.359,1,1,0,0,0.36575264,-216.00002,4763.6953,2339.359,2339.359,0,0,0
-9952,-79872,2346.3484,1,1,0,0,0.3094593,-216.00002,4763.517,2346.3484,2346.3484,0,0,0
-9920,-79872,2353.6387,1,1,0,0,0.31953323,-216.00002,4763.33,2353.6387,2353.6387,0,0,0
-9888,-79872,2360.6172,1,1,0,0,0.32573003,-216.00002,4763.135,2360.6172,2360.6172,0,0,0
-9856,-79872,2367.2615,1,1,0,0,0.3359692,-216.00002,4762.9307,2367.2615,2367.2615,0,0,0
-9824,-79872,2372.436,1,1,0,0,0.3652529,-216.00002,4762.7183,2372.436,2372.436,0,0,0
-9792,-79872,2371.803,1,1,0,0,0.57039547,-216.00002,4762.497,2371.803,2371.803,0,0,0
-9760,-79872,2365.6428,1,1,0,0,0.8957649,-216.00002,4762.268,2365.6428,2365.6428,0,0,0
-9728,-79872,2355.998,1,1,0,0,0.88120854,-216.00002,4762.0303,2355.998,2355.998,0,0,0
-9696,-79872,2368.9045,1,1,0,0,0.73631746,-216.00002,4761.7847,2368.9045,2368.9045,0,0,0
-9664,-79872,2388.287,1,1,0,0,0.5225112,-216.00002,4761.531,2388.287,2388.287,0,0,0
-9632,-79872,2406.339,1,1,0,0,0.70724326,-216.00002,4761.2686,2406.339,2406.339,0,0,0
-9600,-79872,2429.9932,1,1,0,0,0.7587644,-216.00002,4760.9985,2429.9932,2429.9932,0,0,0
-9568,-79872,2454.4336,1,1,0,0,0.7797293,-216.00002,4760.72,2454.4336,2454.4336,0,0,0
-9536,-79872,2479.6487,1,1,0,0,0.8022874,-216.00002,4760.434,2479.6487,2479.6487,0,0,0
-9504,-79872,2505.6138,1,1,0,0,0.82342315,-216.00002,4760.1406,2505.6138,2505.6138,0,0,0
-9472,-79872,2532.2273,1,1,0,0,0.8443587,-216.00002,4759.8384,2532.2273,2532.2273,0,0,0
-9440,-79872,2559.534,1,1,0,0,0.8733555,-216.00002,4759.5293,2559.534,2559.534,0,0,0
-9408,-79872,2588.0093,1,1,0,0,0.9409416,-216.00002,4759.212,2588.0093,2588.0093,0,0,0
-9376,-79872,2621.9468,1,1,0,0,1.2682927,-216.00002,4758.887,2621.9468,2621.9468,0,0,0
