startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-21486.934,-74879.5,0,-21364.6,-74752.12,0,33.50117,39.555668,38.29135,42.56842
-21364.6,-74752.12,0,-21248.385,-74618.266,0,39.555668,45.65254,42.56842,47.76332
-21248.385,-74618.266,0,-21126.943,-74489.766,0,45.65254,51.752853,47.76332,53.5598
-21126.943,-74489.766,0,-20987.363,-74380.06,0,51.752853,57.8012,53.5598,59.544277
-20987.363,-74380.06,0,-20824.152,-74294.875,0,57.8012,63.746773,59.544277,65.248436
-20824.152,-74294.875,0,-20644.285,-74226.984,0,63.746773,69.5704,65.248436,70.20661
-20644.285,-74226.984,0,-20465.158,-74158.336,0,69.5704,75.29743,70.20661,74.10655
-20465.158,-74158.336,0,-20306.303,-74068.68,0,75.29743,80.98575,74.10655,76.933266
-20306.303,-74068.68,0,-20179.492,-73945.77,0,80.98575,86.69235,76.933266,78.829865
-20179.492,-73945.77,0,-20082.783,-73791.695,0,86.69235,92.43682,78.829865,79.758484
-20082.783,-73791.695,0,-20001.912,-73621.27,0,92.43682,98.186165,79.758484,79.50784
-20001.912,-73621.27,0,-19918.182,-73453.945,0,98.186165,103.87588,79.50784,78.07421
-19918.182,-73453.945,0,-19818.297,-73303.57,0,103.87588,109.45491,78.07421,75.89785
-19818.297,-73303.57,0,-19700.633,-73171.85,0,109.45491,114.922455,75.89785,73.65657
-19700.633,-73171.85,0,-19574.479,-73049.164,0,114.922455,120.32759,73.65657,71.870804
-19574.479,-73049.164,0,-19452.988,-72921.85,0,120.32759,125.73745,71.870804,70.741425
-19452.988,-72921.85,0,-19319.021,-72770.945,0,125.73745,134.7424,70.741425,70.83371
-19319.021,-72770.945,0,-19189.422,-72615.79,0,134.7424,143.76749,70.83371,71.9425
-19189.422,-72615.79,0,-19076.223,-72446.016,0,143.76749,152.87187,71.9425,73.43111
-19076.223,-72446.016,0,-18984.166,-72257.66,0,152.87187,162.06847,73.43111,74.64488
-18984.166,-72257.66,0,-18905.59,-72057.44,0,162.06847,171.3131,74.64488,75.421165
-18905.59,-72057.44,0,-18822.752,-71860.88,0,171.3131,180.521,75.421165,76.15274
-18822.752,-71860.88,0,-18716.445,-71684.78,0,180.521,189.67548,76.15274,77.23796
