x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-32768,-32768,227.60602,1,0.05036459,0.9496354,0,0.34705693,-216.00002,966.3703,227.60602,318.3022,0,0,0
-32256,-32768,107.71692,1,0.016128717,0.9838713,0,0.21537174,-216.00002,707.962,107.71692,196.01079,0,0,0
-31744,-32768,60.024307,1,0.0030149203,0.9969851,0,0.12705691,-216.00002,450.6835,60.024307,135.66779,0,0,0
-31232,-32768,28.897455,1,0.00018957713,0.9998104,0,0.09501339,-216.00002,251.93985,28.897455,129.12152,0,0,0
-30720,-32768,0.6243663,1,2.91935E-07,0.9999997,0,0.017534956,-216.00002,151.89514,0.6243663,130.0073,0,0,0
-30208,-32768,2.5518985,1,0,1,0,0.0346932,-216.00002,139.16374,2.5518985,131.91551,0,0,0
-29696,-32768,2.140531,1,0,1,0,0.032053065,-216.00002,141.60138,2.140531,134.52579,0,0,0
-29184,-32768,-65.95825,1,0,1,0,0.47178096,-216.00002,144.662,-65.95825,137.58664,0,-0.67358094,0.7391134
-28672,-32768,5.78095,1,0,1,0,0.051886663,-216.00002,147.9221,5.78095,140.84674,0,0,0
-28160,-32768,22.187464,1,0,1,0,0.09226658,-216.00002,151.13011,22.187464,144.05475,0,0,0
-27648,-32768,50.82457,1,0,1,0,0.12073206,-216.00002,153.90721,50.82457,146.9593,0,0,0
-27136,-32768,93.1285,1,0,1,0,0.12501198,-216.00002,153.90721,93.1285,149.30902,0,0,0
-26624,-32768,134.9062,1,0,1,0,0.083885126,-216.00002,153.90721,134.9062,150.85258,0,0,0
-26112,-32768,151.33543,1,0,1,0,0.0004137507,-216.00002,153.90721,151.33543,151.33543,0,0,0
-25600,-32768,150.23967,1,0,1,0,0.003796402,-216.00002,153.90863,150.23967,150.23967,0,0,0
-25088,-32768,147.59216,1,0,1,0,0.0064742337,-216.00002,153.93329,147.59216,147.59216,0,0,0
-24576,-32768,143.77962,1,0,1,0,0.008428815,-216.00002,150.96185,143.77962,143.77962,0,0,0
-24064,-32768,139.18887,1,0,0.99999994,5.9604645E-08,0.009670241,-216.00002,146.51143,139.18887,139.18887,0,0,0
-23552,-32768,134.20685,1,0,0.9999994,5.9604645E-07,0.010212787,-216.00002,141.7075,134.20685,134.20685,0,0,0
-23040,-32768,129.22052,1,0,0.99999774,2.2649765E-06,0.010075282,-216.00002,136.90845,129.22052,129.22052,0,0,0
-22528,-32768,124.617065,1,0,0.999994,6.020069E-06,0.009294527,-216.00002,132.4766,124.617065,124.617065,0,0,0
-22016,-32768,120.7836,1,0,0.9999872,1.2814999E-05,0.007956057,-216.00002,128.79694,120.7836,120.7836,0,0,0
-21504,-32768,116.069466,1,0,0.99997675,2.3245811E-05,0.033661902,-216.00002,126.28593,116.069466,118.10735,0,0,0
-20992,-32768,79.77759,1,0,0.9999628,3.71933E-05,0.09654715,-216.00002,125.37305,79.77759,116.97544,0,0,0
-20480,-32768,29.113335,1,0,0.99994475,5.5253506E-05,0.089776516,-216.00002,126.25601,29.113335,117.573135,0,0,0
-19968,-32768,0.22949702,1,0,0.99991864,8.136034E-05,0.010376623,-216.00002,128.58846,0.22949702,119.55261,0,0,0
-19456,-32768,-48.901722,1,0,0.9998813,0.00011867285,0.3819373,-216.00002,132.04565,-48.901722,122.58852,0,-0.077589564,0.99698544
-18944,-32768,18.00218,1,0,0.9998289,0.00017112494,0.08044234,-216.00002,136.37166,18.00218,126.36088,0,0,0
-18432,-32768,70.689606,1,0,0.9997562,0.000243783,0.11617167,-216.00002,141.2869,70.689606,130.55121,0,0,0
-17920,-32768,121.783966,1,0,0.9996571,0.00034290552,0.078687415,-216.00002,146.48822,121.783966,134.84201,0,0,0
-17408,-32768,138.91663,1,0,0.9995242,0.00047582388,0.0075599975,-216.00002,151.57379,138.91663,138.91663,0,0,0
-16896,-32768,142.45828,1,0,0.99934864,0.00065135956,0.0063343006,-216.00002,156.16267,142.45828,142.45828,0,0,0
-16384,-32768,145.14752,1,0,0.9991207,0.0008792877,0.0046019997,-216.00002,160.01059,145.14752,145.14752,0,0,0
-15872,-32768,146.65877,1,0,0.99882954,0.0011704564,0.0025438883,-216.00002,162.77144,146.65877,146.65877,0,0,0
-15360,-32768,146.93695,1,0,0.99846345,0.0015365481,0.0017252971,-216.00002,164.38121,146.93695,146.93695,0,0,0
-14848,-32768,136.82768,1,0,0.9980107,0.001989305,0.06766419,-216.00002,165.68564,136.82768,146.77176,0,0,0
-14336,-32768,84.43505,1,0,0.9974596,0.0025404096,0.12425384,-216.00002,166.84982,84.43505,146.30951,0,0,0
-13824,-32768,25.146671,1,0,0.99679935,0.0032006502,0.09732711,-216.00002,167.52708,25.146671,145.63144,0,0,0
-13312,-32768,-40.292904,1,0,0.9960208,0.003979206,0.6809778,-216.00002,167.7704,-40.292904,144.82639,0,0.22771756,0.9737272
-12800,-32768,10.936687,1,0,0.99511695,0.004883051,0.06939473,-216.00002,168.03033,10.936687,143.99748,0,0,0
-12288,-32768,-23.838852,1,0,0.99408394,0.005916059,0.68495625,-216.00002,168.56992,-23.838852,143.27017,0,-0.49475917,0.8690302
-11776,-32768,1.860995,1,0,0.99292177,0.0070782304,0.030763173,-216.00002,169.73839,1.860995,142.80087,0,0,0
-11264,-32768,37.315075,1,0,0.9916351,0.008364916,0.10829183,-216.00002,171.36789,37.315075,142.62444,0,0,0
-10752,-32768,80.84165,1,0,0.9902343,0.009765685,0.11987467,-216.00002,173.06729,80.84165,142.6975,0,0,0
-10240,-32768,71.472046,1,0,0.98874867,0.01125133,0.12300826,-216.00002,174.88976,71.472046,143.01912,0,0,0
-9728,-32768,17.543575,1,0,0.98731047,0.012689531,0.084019594,-216.00002,176.27786,17.543575,143.0129,0,0,0
-9216,-32768,-55.22441,1,0,0.9860117,0.013988316,0.11333446,-216.00002,178.24858,-55.22441,142.62181,0,-0.34936085,0.9369883
-8704,-32768,16.27246,1,0.00015076138,0.98479134,0.015057921,0.0808187,-216.00002,363.138,16.27246,142.0304,0,0,0
-8192,-32768,91.66334,1,0.0077714557,0.9765381,0.015690446,0.29232857,-216.00002,945.05286,91.66334,198.00417,0,0,0
-7680,-32768,352.196,1,0.061459586,0.92336804,0.015172362,0.67850125,-216.00002,1712.1576,352.196,578.8123,0,0,0
-7168,-32768,717.66846,1,0.22090521,0.76658076,0.012514055,0.7161874,-216.00002,2619.3062,717.66846,1214.4817,0,0,0
-6656,-32768,1073.5378,1,0.4987591,0.49347797,0.0077629387,0.68764985,-216.00002,4145.17,1073.5378,1803.7737,0,0,0
-6144,-32768,1422.9,1,0.80732197,0.18988915,0.0027888864,0.67397964,-216.00002,4313.257,1422.9,2165.9177,0,0,0
-5632,-32768,1741.6873,1,0.9902344,0.009637663,0.00012796186,0.5559086,-216.00002,4141.9663,1741.6873,2211.9822,0,0,0
-5120,-32768,1955.4869,1,1,0,0,0.40962362,-216.00002,3588.9702,1955.4869,2147.8252,0,0,0
-4608,-32768,2038.8638,1,1,0,0,0.25612742,-216.00002,3481.9077,2038.8638,2097.483,0,0,0
-4096,-32768,2067.848,1,1,0,0,0.08725747,-216.00002,3492.2952,2067.848,2069.1167,0,0,0
-3584,-32768,2034.2787,1,1,0,0,0.17596202,-216.00002,3505.798,2034.2787,2063.6865,0,0,0
-3072,-32768,1889.4678,1,1,0,0,0.39626548,-216.00002,3522.2075,1889.4678,2069.026,0,0,0
-2560,-32768,1648.2072,1,1,0,0,0.55240905,-216.00002,3541.6797,1648.2072,2073.5427,0,0,0
-2048,-32768,1345.4775,1,1,0,0,0.64303017,-216.00002,3563.775,1345.4775,2077.251,0,0,0
-1536,-32768,1015.5187,1,1,0,0,0.66997236,-216.00002,3588.183,1015.5187,2080.3484,0,0,0
-1024,-32768,690.64575,1,1,0,0,0.6354393,-216.00002,3614.6375,690.64575,2083.0015,0,0,0
-512,-32768,398.5424,1,1,0,0,0.54062295,-216.00002,3642.7415,398.5424,2084.6577,0,0,0
0,-32768,173.85901,1,1,0,0,0.3916568,-216.00002,3672.1033,173.85901,2085.2227,0,0,0
512,-32768,36.459396,1,1,0,0,0.19385467,-216.00002,3704.7175,36.459396,2087.1057,0,0,0
1024,-32768,-33.789757,1,1,0,0,0.64685917,-216.00002,3742.3843,-33.789757,2092.501,0,-0.7106814,-0.70351404
1536,-32768,2.7498685E-05,1,1,0,0,0.45821938,-216.00002,3784.4258,2.7498685E-05,2119.3223,0,0,0
2048,-32768,3.1280305,1,1,0,0,0.058139127,-216.00002,3830.1663,3.1280305,2301.7192,0,0,0
2560,-32768,18.3577,1,1,0,0,0.13710432,-216.00002,3878.922,18.3577,2385.4187,0,0,0
3072,-32768,68.01112,1,1,0,0,0.25826192,-216.00002,3907.4326,68.01112,2149.9883,0,0,0
3584,-32768,150.02464,1,1,0,0,0.36645818,-216.00002,3861.8662,150.02464,2158.8315,0,0,0
4096,-32768,272.77536,1,1,0,0,0.46891502,-216.00002,3805.1292,272.77536,2177.3035,0,0,0
4608,-32768,455.54102,1,1,0,0,0.56483227,-216.00002,3773.5176,455.54102,2196.6228,0,0,0
