startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-127806.24,-101445.27,0,-127691.92,-101317.766,0,35.248257,39.938957,61.030148,60.623646
-127691.92,-101317.766,0,-127559.32,-101199.6,0,39.938957,44.603424,60.623646,59.788208
-127559.32,-101199.6,0,-127424.18,-101079.89,0,44.603424,49.25006,59.788208,58.742916
-127424.18,-101079.89,0,-127303.4,-100946.79,0,49.25006,53.885815,58.742916,57.895206
-127303.4,-100946.79,0,-127205.125,-100795.13,0,53.885815,58.51252,57.895206,57.488953
-127205.125,-100795.13,0,-127123.49,-100630.45,0,58.51252,63.132412,57.488953,57.40813
-127123.49,-100630.45,0,-127041.38,-100466.86,0,63.132412,67.76341,57.40813,57.232098
-127041.38,-100466.86,0,-126939.92,-100319.734,0,67.76341,72.44689,57.232098,56.391945
-126939.92,-100319.734,0,-126809.55,-100197.45,0,72.44689,77.23368,56.391945,54.8062
-126809.55,-100197.45,0,-126656.14,-100096.54,0,77.23368,82.15473,54.8062,52.801872
-126656.14,-100096.54,0,-126499.12,-100003.29,0,82.15473,87.19454,52.801872,51.059032
-126499.12,-100003.29,0,-126362.164,-99900.72,0,87.19454,92.286514,51.059032,49.98053
-126362.164,-99900.72,0,-126262.37,-99776.88,0,92.286514,97.33916,49.98053,49.519615
-126262.37,-99776.88,0,-126203.48,-99629.95,0,97.33916,102.28012,49.519615,49.399837
-126203.48,-99629.95,0,-126177.305,-99467.22,0,102.28012,107.088066,49.399837,49.357582
-126177.305,-99467.22,0,-126171.86,-99298.88,0,107.088066,111.784966,49.357582,49.256603
-52157.05,-113214.445,0,-52289.254,-113458.195,0,303.9696,296.77396,62.29384,67.66199
-52044.11,-112959.97,0,-52157.05,-113214.445,0,311.5958,303.9696,59.62739,62.29384
-51959.105,-112689.98,0,-52044.11,-112959.97,0,319.74103,311.5958,60.269062,59.62739
-51888.863,-112411.76,0,-51959.105,-112689.98,0,328.0297,319.74103,64.677635,60.269062
-51803.613,-112141.89,0,-51888.863,-112411.76,0,335.90778,328.0297,72.34521,64.677635
-51673.22,-111897.13,0,-51803.613,-112141.89,0,343.1178,335.90778,81.41519,72.34521
-51485.023,-111684.52,0,-51673.22,-111897.13,0,349.96872,343.1178,90.07111,81.41519
-52298.066,-111673.82,0,-52445.867,-111809.76,0,563.15717,562.9372,129.86745,125.843285
-52138.703,-111549.89,0,-52298.066,-111673.82,0,563.3467,563.15717,134.15024,129.86745
-51252.766,-111496.42,0,-51485.023,-111684.52,0,356.94098,349.96872,97.5664,90.07111
-51968.168,-111437.55,0,-52138.703,-111549.89,0,563.7453,563.3467,138.01474,134.15024
-51797.465,-111325.38,0,-51968.168,-111437.55,0,564.61816,563.7453,141.6442,138.01474
-51642.406,-111196.98,0,-51797.465,-111325.38,0,566.11975,564.61816,145.59712,141.6442
-51514.258,-111040.65,0,-51642.406,-111196.98,0,568.2255,566.11975,149.77225,145.59712
-51412.38,-110857.055,0,-51514.258,-111040.65,0,570.74335,568.2255,153.00311,149.77225
-53911.14,-109429.08,0,-54162.574,-109408.375,0,303.53925,296.77396,65.96176,74.92296
-53660.008,-109456.805,0,-53911.14,-109429.08,0,310.30457,303.53925,60.272293,65.96176
-53408.035,-109464.945,0,-53660.008,-109456.805,0,317.21027,310.30457,58.5876,60.272293
-53154.316,-109432.305,0,-53408.035,-109464.945,0,324.4784,317.21027,60.220512,58.5876
-52898.848,-109358.98,0,-53154.316,-109432.305,0,332.32626,324.4784,64.16148,60.220512
-52642.727,-109270.195,0,-52898.848,-109358.98,0,340.77722,332.32626,70.01103,64.16148
-52387.617,-109205.14,0,-52642.727,-109270.195,0,349.5402,340.77722,77.38285,70.01103
-52134.945,-109196.97,0,-52387.617,-109205.14,0,358.15335,349.5402,85.83098,77.38285
-51885.113,-109255.06,0,-52134.945,-109196.97,0,366.2735,358.15335,94.96991,85.83098
-51637.28,-109359.82,0,-51885.113,-109255.06,0,373.86438,366.2735,103.405426,94.96991
-51389.8,-109472.89,0,-51637.28,-109359.82,0,381.14294,373.86438,108.50166,103.405426
-51323.23,-110660.25,0,-51412.38,-110857.055,0,573.48175,570.74335,153.90738,153.00311
-51226.53,-110471.27,0,-51323.23,-110660.25,0,576.3846,573.48175,151.8972,153.90738
-51141.09,-109557.13,0,-51389.8,-109472.89,0,388.38217,381.14294,108.61703,108.50166
-51105.336,-110307.72,0,-51226.53,-110471.27,0,579.4519,576.3846,147.15538,151.8972
-51011.22,-111313.49,0,-51252.766,-111496.42,0,364.35507,356.94098,103.560684,97.5664
-50799.23,-111114.11,0,-51011.22,-111313.49,0,372.16446,364.35507,107.137764,103.560684
-50640.555,-110885.08,0,-50799.23,-111114.11,0,380.0725,372.16446,107.37195,107.137764
-50533.223,-110627.484,0,-50640.555,-110885.08,0,387.8265,380.0725,104.39322,107.37195
-50453.117,-110354.766,0,-50533.223,-110627.484,0,395.39487,387.8265,99.13975,104.39322
-50954.223,-110175.23,0,-51105.336,-110307.72,0,582.6111,579.4519,140.1481,147.15538
-50369.336,-110084.08,0,-50453.117,-110354.766,0,402.69424,395.39487,92.83213,99.13975
-50781.234,-110065.44,0,-50954.223,-110175.23,0,585.6614,582.6111,131.52031,140.1481
-50602.527,-109961.57,0,-50781.234,-110065.44,0,588.43,585.6614,122.32181,131.52031
-50262.1,-109826.445,0,-50369.336,-110084.08,0,409.53998,402.69424,87.14397,92.83213
-50432.984,-109848.195,0,-50602.527,-109961.57,0,590.7834,588.43,113.88122,122.32181
-50278.25,-109719.47,0,-50432.984,-109848.195,0,592.56476,590.7834,107.37253,113.88122
-50132.832,-109581.055,0,-50262.1,-109826.445,0,415.48352,409.53998,84.68809,87.14397
-50132.832,-109581.055,0,-50278.25,-109719.47,0,593.5479,592.56476,103.55018,107.37253
-50638.043,-109594.28,0,-50890.383,-109594.82,0,402.86874,395.68912,97.87361,104.39377
-50890.383,-109594.82,0,-51141.09,-109557.13,0,395.68912,388.38217,104.39377,108.61703
-50385.16,-109581.29,0,-50638.043,-109594.28,0,409.55035,402.86874,90.97341,97.87361
-50132.832,-109581.055,0,-50385.16,-109581.29,0,415.48352,409.55035,84.68809,90.97341
-50004.98,-109453.59,0,-50132.832,-109581.055,0,593.56616,593.5479,102.68713,103.55018
-49878.297,-109324.97,0,-50004.98,-109453.59,0,592.645,593.56616,104.22916,102.68713
-49747.19,-109200.65,0,-49878.297,-109324.97,0,590.6795,592.645,107.471375,104.22916
-49608.273,-109083.94,0,-49747.19,-109200.65,0,587.6297,590.6795,111.47823,107.471375
-49463.07,-108973.36,0,-49608.273,-109083.94,0,583.54065,587.6297,115.66048,111.47823
-49317.855,-108862.77,0,-49463.07,-108973.36,0,578.5214,583.54065,120.02919,115.66048
-49180.625,-108744.37,0,-49317.855,-108862.77,0,572.6982,578.5214,124.79557,120.02919
-49056.816,-108612.83,0,-49180.625,-108744.37,0,566.17126,572.6982,129.85242,124.79557
-48946.258,-108468.34,0,-49056.816,-108612.83,0,559.04895,566.17126,134.43884,129.85242
-48843.09,-108316.62,0,-48946.258,-108468.34,0,551.4562,559.04895,137.34859,134.43884
-48738.7,-108166.086,0,-48843.09,-108316.62,0,543.5898,551.4562,137.61417,137.34859
-48626.094,-108023.58,0,-48738.7,-108166.086,0,535.69574,543.5898,135.04443,137.61417
-48503.133,-107891.21,0,-48626.094,-108023.58,0,528.03033,535.69574,130.25941,135.04443
-48372.934,-107765.914,0,-48503.133,-107891.21,0,520.8136,528.03033,124.359856,130.25941
-48241.34,-107642.01,0,-48372.934,-107765.914,0,514.20886,520.8136,118.37122,124.359856
-48112.94,-107514.98,0,-48241.34,-107642.01,0,508.3324,514.20886,113.037186,118.37122
-47984.89,-107388.34,0,-48112.94,-107514.98,0,503.34952,508.3324,108.47472,113.037186
-47849.22,-107269.125,0,-47984.89,-107388.34,0,499.4216,503.34952,104.69056,108.47472
-47706.4,-107156.88,0,-47849.22,-107269.125,0,496.61584,499.4216,101.98832,104.69056
-47563.832,-107044.39,0,-47706.4,-107156.88,0,494.86115,496.61584,100.505455,101.98832
-47431.926,-106921.51,0,-47563.832,-107044.39,0,493.9909,494.86115,99.86013,100.505455
-47317.918,-106781.195,0,-47431.926,-106921.51,0,493.87613,493.9909,99.24018,99.86013
-47221.06,-106624.19,0,-47317.918,-106781.195,0,494.5405,493.87613,97.98035,99.24018
-47132.156,-106459.445,0,-47221.06,-106624.19,0,496.10757,494.5405,96.114555,97.98035
-47037.785,-106300.01,0,-47132.156,-106459.445,0,498.59567,496.10757,94.25915,96.114555
-46926.914,-106156.65,0,-47037.785,-106300.01,0,501.863,498.59567,93.40809,94.25915
-46796.258,-106032.55,0,-46926.914,-106156.65,0,505.67157,501.863,93.78966,93.40809
-46651.426,-105922.26,0,-46796.258,-106032.55,0,509.8164,505.67157,94.90296,93.78966
-46503.176,-105815.3,0,-46651.426,-105922.26,0,514.16693,509.8164,95.89364,94.90296
-46361.25,-105702.18,0,-46503.176,-105815.3,0,518.6661,514.16693,96.14736,95.89364
-46229.17,-105579.47,0,-46361.25,-105702.18,0,523.29266,518.6661,95.62812,96.14736
-46103.09,-105450.914,0,-46229.17,-105579.47,0,527.97723,523.29266,94.677505,95.62812
-45997.973,-105364.93,0,-46103.09,-105450.914,0,531.2548,527.97723,93.90717,94.677505
-45883.457,-105309.766,0,-45997.973,-105364.93,0,533.64575,531.2548,92.97596,93.90717
-45760.164,-105276.9,0,-45883.457,-105309.766,0,535.3011,533.64575,91.54409,92.97596
-45628.523,-105255.51,0,-45760.164,-105276.9,0,536.4582,535.3011,89.45097,91.54409
-45489.21,-105237.79,0,-45628.523,-105255.51,0,537.2708,536.4582,86.59538,89.45097
-45343.344,-105222.875,0,-45489.21,-105237.79,0,537.7156,537.2708,83.09072,86.59538
-45192.535,-105216.79,0,-45343.344,-105222.875,0,537.6218,537.7156,79.21807,83.09072
-45038.58,-105228.53,0,-45192.535,-105216.79,0,536.7954,537.6218,75.41834,79.21807
-44883.08,-105264.08,0,-45038.58,-105228.53,0,535.1713,536.7954,72.281334,75.41834
-44727.133,-105322.164,0,-44883.08,-105264.08,0,532.89215,535.1713,70.41834,72.281334
-44571.305,-105393.61,0,-44727.133,-105322.164,0,530.2736,532.89215,70.123505,70.41834
-44415.887,-105465.09,0,-44571.305,-105393.61,0,527.6683,530.2736,71.192375,70.123505
-44261.246,-105524.88,0,-44415.887,-105465.09,0,525.32983,527.6683,73.087685,71.192375
-44108.2,-105567.24,0,-44261.246,-105524.88,0,523.3674,525.32983,75.33188,73.087685
-43957.99,-105593.25,0,-44108.2,-105567.24,0,521.78186,523.3674,77.71159,75.33188
-43812.14,-105607.53,0,-43957.99,-105593.25,0,520.5387,521.78186,80.22436,77.71159
-43705.45,-105611.25,0,-43812.14,-105607.53,0,519.836,520.5387,82.229065,80.22436
-43657.67,-105599.73,0,-43812.14,-105607.53,0,504.76895,520.5387,81.50615,80.22436
-43598.707,-105610.74,0,-43705.45,-105611.25,0,519.3084,519.836,84.48066,82.229065
-43519.21,-105558.46,0,-43657.67,-105599.73,0,489.9667,504.76895,82.324615,81.50615
-43491.9,-105612.76,0,-43598.707,-105610.74,0,518.8883,519.3084,87.204,84.48066
