x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-131072,-131072,-67.374146,0.79759556,0.002782786,0.87354445,0.12367278,0.16633344,-297.33722,894.5296,-67.374146,-67.374146,0,0,0
-129024,-131072,325.97012,0.8056196,0.005932758,0,0.99406725,0.13520274,-216.00002,1155.5729,325.97012,325.97012,0,0,0
-126976,-131072,571.22253,0.81383306,0.03454481,0,0.9654552,0.34097683,-216.00002,1690.7107,571.22253,571.22253,0,0,0
-124928,-131072,957.7692,0.8221692,0.18302457,0,0.8169754,0.22102351,-216.00002,2545.339,957.7692,957.7692,0,0,0
-122880,-131072,1037.8676,0.8305642,0.54565805,0,0.45434195,0.35830522,-216.00002,3670.1543,1037.8676,1037.8676,0,0,0
-120832,-131072,1100.5613,0.8389565,0.7556065,0.004044889,0.24034864,0.65998346,-216.00002,3308.233,1100.5613,1100.5613,0,0,0
-118784,-131072,1121.4722,0.84728646,0.7771269,0.19405422,0.028818876,0.48901063,-216.00002,3485.634,1121.4722,1121.4722,0,0,0
-116736,-131072,1456.209,0.85549915,0.79771,0.20229,0,0.5165394,-216.00002,3914.026,1456.209,1456.209,0,0,0
-114688,-131072,1629.9429,0.8635422,0.8172063,0.18279368,0,0.23152395,-216.00002,4071.0898,1629.9429,1629.9429,0,0,0
-112640,-131072,1911.5255,0.87136674,0.8354967,0.16450328,0,0.43667853,-216.00002,4004.681,1911.5255,1911.5255,0,0,0
-110592,-131072,2073.012,0.8789289,0.85249645,0.14750355,0,0.34343407,-216.00002,3968.4302,2073.012,2073.012,0,0,0
-108544,-131072,2193.626,0.88618875,0.8681511,0.13175786,9.101629E-05,0.17106622,-216.00002,4086.6182,2193.626,2193.626,0,0,0
-106496,-131072,2348.016,0.89311016,0.8824349,0.116835915,0.0007291809,0.07867473,-216.00002,4260.0254,2348.016,2348.016,0,0,0
-104448,-131072,2449.2712,0.8996625,0.8953512,0.103550434,0.0010983944,0.05499659,-216.00002,4211.7583,2449.2712,2449.2712,0,0,0
-102400,-131072,2566.532,0.90581834,0.9069243,0.09300276,7.293373E-05,0.17162459,-216.00002,4183.6294,2566.532,2566.532,0,0,0
-100352,-131072,2677.817,0.91155535,0.9172002,0.08279979,0,0.24000521,-216.00002,4331.748,2677.817,2677.817,0,0,0
-98304,-131072,2783.6804,0.9168545,0.92623866,0.073761344,0,0.20643438,-216.00002,4432.141,2783.6804,2783.6804,0,0,0
-96256,-131072,2800.5012,0.9217005,0.9341109,0.06588912,0,0.3355126,-216.00002,4369.3794,2800.5012,2800.5012,0,0,0
-94208,-131072,2819.0525,0.926081,0.94089407,0.059105933,0,0.4205599,-216.00002,4322.369,2819.0525,2819.0525,0,0,0
-92160,-131072,2808.6316,0.9299864,0.9466684,0.053331614,0,0.36512724,-216.00002,4314.4556,2808.6316,2808.6316,0,0,0
-90112,-131072,2688.9263,0.93340796,0.95151085,0.048489153,0,0.38641933,-216.00002,4316.8955,2688.9263,2688.9263,0,0,0
-88064,-131072,2588.1843,0.9363384,0.9554946,0.044505417,0,0.2627796,-216.00002,4196.444,2588.1843,2588.1843,0,0,0
-86016,-131072,2341.212,0.9387698,0.9586833,0.041316688,0,0.18811369,-216.00002,4188.581,2341.212,2341.212,0,0,0
-83968,-131072,406.779,0.9406935,0.12737174,0.8726283,0,0.63802046,-216.00002,1129.7107,406.779,406.779,0,0,0
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-216.00002,93.43442,47.255806,47.255806,0,0,0
-79872,-131072,55.85057,0.94296694,0,1,0,0.021948542,-216.00002,101.83552,55.85057,55.85057,0,0,0
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-216.00002,104.176834,58.253387,58.253387,0,0,0
-75776,-131072,54.488113,0.94329786,0,1,0,0.02179832,-216.00002,100.27835,54.488113,54.488113,0,0,0
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-216.00002,96.67456,51.02249,51.02249,0,0,0
-71680,-131072,51.37069,0.9434304,0,1,0,0.020822853,-216.00002,96.99722,51.37069,51.37069,0,0,0
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-216.00002,98.22492,52.607883,52.607883,0,0,0
-67584,-131072,53.107285,0.94368374,0,1,0,0.019350152,-216.00002,98.67741,53.107285,53.107285,0,0,0
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-216.00002,101.37646,50.590908,50.590908,0,0,0
-63488,-131072,47.819717,0.9440426,0,1,0,0.01530399,-216.00002,131.80138,47.819717,47.819717,0,0,0
-61440,-131072,46.787598,0.94425654,0,0.9999992,7.748604E-07,0.01355117,-216.00002,161.92279,46.787598,46.787598,0,0,0
-59392,-131072,52.605843,0.94449073,0,0.95845807,0.041541934,0.03399538,-216.00002,395.56302,52.605843,52.605843,0,0,0
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-216.00002,761.537,224.67989,224.67989,0,0,0
-55296,-131072,624.7995,0.94501233,0,0,1,0.12089366,-216.00002,881.1497,624.7995,624.7995,0,0,0
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,-216.00002,1041.6539,757.5354,757.5354,0,0,0
-51200,-131072,894.63684,0.9455913,0,0,1,0.023137359,-216.00002,1045.3423,894.63684,894.63684,0,0,0
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,-216.00002,1043.4395,883.5139,883.5139,0,0,0
-47104,-131072,645.6349,0.9462125,0,0,1,0.022742532,-216.00002,911.91455,645.6349,645.6349,0,0,0
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,-216.00002,908.5487,620.4164,620.4164,0,0,0
-43008,-131072,684.3751,0.94686013,0,0,1,0.24592842,-216.00002,937.9909,684.3751,684.3751,0,0,0
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,-216.00002,947.34064,705.1041,705.1041,0,0,0
-38912,-131072,595.01166,0.947519,0,0,1,0.78343964,-216.00002,877.653,595.01166,595.01166,0,0,0
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-216.00002,988.3514,499.12967,499.12967,0,0,0
-34816,-131072,73.5115,0.94817454,0,0.9785833,0.021416724,0.09674659,-216.00002,471.00565,73.5115,73.5115,0,0,0
-32768,-131072,52.5803,0.94849646,0.0014159082,0.9985841,0,0.018964956,-216.00002,303.95694,52.5803,52.5803,0,0,0
-30720,-131072,332.21436,0.94881195,0.13933158,0.8606684,0,0.25935254,-216.00002,920.3324,332.21436,332.21436,0,0,0
-28672,-131072,853.33826,0.94911957,0.8388752,0.16112483,0,0.16823485,-216.00002,2937.878,853.33826,853.33826,0,0,0
-26624,-131072,969.96814,0.9494174,0.9713676,0.028515125,0.00011727773,0.13536176,-216.00002,2887.955,969.96814,969.96814,0,0,0
-24576,-131072,1985.5535,0.94970363,0.9716791,0.025076766,0.003244143,0.7880378,-216.00002,2732.0752,1985.5535,2023.0071,0,0,0
-22528,-131072,1135.2184,0.94997674,0.97197485,0.01781893,0.010206221,0.54931027,-216.00002,2725.3203,1135.2184,1695.8768,0,0,0
-20480,-131072,360.6258,0.9502348,0.972253,0.01514428,0.012602695,0.5129114,-216.00002,3013.959,360.6258,1408.5072,0,0,0
-18432,-131072,403.32205,0.9504763,0.9725122,0.018992962,0.008494852,0.48944658,-216.00002,3419.2366,403.32205,1044.0405,0,0,0
-16384,-131072,1265.3207,0.9506995,0.9727508,0.02423741,0.0030118078,0.31964278,-216.00002,3763.8147,1265.3207,1285.8729,0,0,0
-14336,-131072,1726.0557,0.9509027,0.9729671,0.026633382,0.00039952993,0.26715368,-216.00002,4051.686,1726.0557,1726.0557,0,0,0
-12288,-131072,1919.2554,0.9510843,0.97315973,0.026829537,1.0732561E-05,0.3796452,-216.00002,4294.556,1919.2554,1919.2554,0,0,0
-10240,-131072,1909.1459,0.95124257,0.9733271,0.026672443,4.5634806E-07,0.031058328,-216.00002,4696.5107,1909.1459,1909.1459,0,0,0
-8192,-131072,1480.5305,0.9513758,0.37528077,0.6244081,0.00031113625,0.7644773,-216.00002,4277.4517,1480.5305,1480.5305,0,0,0
-6144,-131072,129.86098,0.95148253,0.0068896567,0.9831372,0.009973168,0.21046413,-216.00002,1171.3942,129.86098,129.86098,0,0,0
-4096,-131072,111.68722,0.95156085,0,0.9414089,0.058591127,0.03643791,-216.00002,650.6436,111.68722,111.68722,0,0,0
-2048,-131072,173.3764,0.95160913,0,0.85127103,0.14872897,0.02707466,-216.00002,926.0212,173.3764,173.3764,0,0,0
0,-131072,190.63441,0.95162547,0,0.7982907,0.20170927,0.02539083,-216.00002,925.14716,190.63441,190.63441,0,0,0
2048,-131072,115.37574,0.951743,0,0.9227561,0.077243924,0.049230658,-216.00002,681.9963,115.37574,115.37574,0,0,0
4096,-131072,68.40985,0.9520864,0,0.99987763,0.00012236834,0.042926084,-216.00002,236.85538,68.40985,68.40985,0,0,0
6144,-131072,65.94679,0.95264083,0,1,0,0.042074505,-216.00002,108.07228,65.94679,65.94679,0,0,0
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,-216.00002,104.52294,63.191513,63.191513,0,0,0
10240,-131072,61.511364,0.95431995,0,1,0,0.0389686,-216.00002,102.33762,61.511364,61.511364,0,0,0
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,-216.00002,108.31072,67.841705,67.841705,0,0,0
14336,-131072,79.308266,0.9566454,0,1,0,0.03850855,-216.00002,189.01587,79.308266,79.308266,0,0,0
16384,-131072,368.73642,0.9580065,0,0.50693655,0.49306345,0.4105642,-216.00002,1074.4221,368.73642,368.73642,0,0,0
18432,-131072,617.48566,0.9594762,0,0,1,0.22463243,-216.00002,926.7241,617.48566,617.48566,0,0,0
20480,-131072,502.8361,0.9610362,0,0,1,0.3827082,-216.00002,773.6216,502.8361,502.8361,0,0,0
22528,-131072,520.7085,0.96266943,0,0,1,0.054306965,-216.00002,815.9139,520.7085,520.7085,0,0,0
24576,-131072,578.6688,0.96435857,4.9406473E-05,0,0.9999506,0.44528672,-216.00002,934.6871,578.6688,578.6688,0,0,0
26624,-131072,764.56104,0.9660871,0.06637353,0.1035267,0.83009976,0.8030791,-216.00002,1901.1382,764.56104,764.56104,0,0,0
28672,-131072,1193.4482,0.9678392,0.66982853,0.23420429,0.09596717,0.32261455,-216.00002,4751.58,1193.4482,1193.4482,0,0,0
30720,-131072,1114.4878,0.96959937,0.98935914,0.009924198,0.00071666203,0.16486956,-216.00002,3404.2295,1114.4878,1114.4878,0,0,0
32768,-131072,1120.1385,0.97135353,0.9905287,0.008976109,0.00049518794,0.119738095,-216.00002,3311.903,1120.1385,1120.1385,0,0,0
34816,-131072,1331.7642,0.9730885,0.9916211,0.008103204,0.00027571898,0.22965503,-216.00002,3324.4932,1331.7642,1331.7642,0,0,0
36864,-131072,2211.1772,0.9747917,0.99263084,0.007258606,0.00011055451,0.9112925,-216.00002,3333.4421,2211.1772,2211.1772,0,0,0
38912,-131072,1857.8008,0.97645205,0.99355483,0.006409181,3.5988633E-05,0.5736253,-216.00002,3338.5793,1857.8008,1857.8008,0,0,0
40960,-131072,1596.7961,0.9780596,0.9943924,0.0055936826,1.3922341E-05,0.62794,-216.00002,3340.586,1596.7961,1596.7961,0,0,0
43008,-131072,1298.1371,0.97960514,0.9951443,0.004831938,2.3754314E-05,0.21132141,-216.00002,3617.0305,1298.1371,1298.1371,0,0,0
45056,-131072,768.9785,0.9810813,0.31339568,0.6402105,0.04639381,0.5558457,-216.00002,3247.4153,768.9785,768.9785,0,0,0
47104,-131072,356.60446,0.9824813,0.00012088951,0.6035053,0.3963738,0.51296866,-216.00002,1122.5201,356.60446,356.60446,0,0,0
49152,-131072,519.48004,0.9838,0,0.13212258,0.8678774,0.142305,-216.00002,964.85114,519.48004,519.48004,0,0,0
51200,-131072,484.66162,0.98503304,0,0,1,0.04813198,-216.00002,823.73627,484.66162,484.66162,0,0,0
53248,-131072,465.16772,0.9861772,0,0,1,0.023340108,-216.00002,795.50397,465.16772,465.16772,0,0,0
55296,-131072,488.39618,0.98723024,0,0,1,0.48701116,-216.00002,790.6202,488.39618,488.39618,0,0,0
57344,-131072,281.75003,0.98819107,0,0.0033031702,0.9966968,0.24152799,-216.00002,615.3248,281.75003,281.75003,0,0,0
59392,-131072,530.03577,0.9890589,0,0.022048712,0.9779513,0.12692894,-216.00002,784.14014,530.03577,530.03577,0,0,0
61440,-131072,656.78174,0.98983395,0,0.0447371,0.9552629,0.111404695,-216.00002,1056.1461,656.78174,656.78174,0,0,0
63488,-131072,819.57935,0.99051666,0,0.06130576,0.93869424,0.48091516,-216.00002,1131.9218,819.57935,819.57935,0,0,0
65536,-131072,536.5351,0.9911078,0,0.24694157,0.75305843,0.12279191,-216.00002,1012.7637,536.5351,536.5351,0,0,0
67584,-131072,223.44492,0.9916082,0,0.64340377,0.35659623,0.16640037,-216.00002,801.2349,223.44492,223.44492,0,0,0
69632,-131072,132.91483,0.9920186,0,0.92561626,0.074383736,0.108309016,-216.00002,571.724,132.91483,132.91483,0,0,0
71680,-131072,109.28102,0.9923391,0,0.9932102,0.0067898035,0.028693065,-216.00002,364.91254,109.28102,109.28102,0,0,0
73728,-131072,109.175934,0.99256927,0,0.9978059,0.0021941066,0.014069372,-216.00002,294.18796,109.175934,109.175934,0,0,0
75776,-131072,123.247604,0.99270767,0,0.9941377,0.0058622956,0.025613146,-216.00002,413.56284,123.247604,123.247604,0,0,0
77824,-131072,145.97794,0.99275154,0,0.978472,0.021528006,0.038199764,-216.00002,545.01044,145.97794,145.97794,0,0,0
79872,-131072,169.92105,0.9927442,0.0013469884,0.93952,0.059132993,0.038880456,-216.00002,1126.1703,169.92105,169.92105,0,0,0
81920,-131072,893.4604,0.99272394,0.10979836,0.7935483,0.09665334,0.68484867,-216.00002,2644.0894,893.4604,893.4604,0,0,0
83968,-131072,2685.9497,0.9926916,0.7125095,0.24991049,0.03758,2.0731337,-216.00002,5445.4277,2685.9497,2685.9497,0,0,0
86016,-131072,4286.7095,0.9926475,0.99935764,0.00052458816,0.000117771095,0.092992574,-216.00002,4749.7847,4286.7095,4286.7095,0,0,0
88064,-131072,4260.945,0.9925926,0.99934804,0.00044174353,0.00021021208,0.10210491,-216.00002,4593.4316,4260.945,4260.945,0,0,0
90112,-131072,4114.212,0.99252725,0.99933654,0.0003169981,0.0003464612,0.3816763,-216.00002,4623.876,4114.212,4114.212,0,0,0
92160,-131072,4167.1855,0.9924523,0.99932325,0.00020516852,0.00047158264,0.04795073,-216.00002,4744.205,4167.1855,4167.1855,0,0,0
94208,-131072,4098.7134,0.9923681,0.99930817,0.00016272931,0.0005291018,0.18565106,-216.00002,4775.216,4098.7134,4098.7134,0,0,0
96256,-131072,3887.3552,0.9922754,0.9992913,0.00018638677,0.0005223125,0.37274468,-216.00002,4646.7817,3887.3552,3887.3552,0,0,0
98304,-131072,3149.542,0.99217474,0.9992728,0.00024073581,0.00048644084,0.99405825,-216.00002,4431.64,3149.542,3149.542,0,0,0
100352,-131072,2249.7808,0.99206686,0.99925274,0.0003105078,0.00043675562,0.34687412,-216.00002,4206.247,2249.7808,2249.7808,0,0,0
102400,-131072,2018.0381,0.99195224,0.9992311,0.00037536104,0.00039353888,0.06875326,-216.00002,4039.6257,2018.0381,2018.0381,0,0,0
104448,-131072,2028.3445,0.9918316,0.9992081,0.0004134194,0.00037848792,0.06531853,-216.00002,4038.247,2028.3445,2028.3445,0,0,0
106496,-131072,2177.3528,0.99170554,0.99059045,0.00419921,0.0052103368,0.11100069,-216.00002,4584.723,2177.3528,2177.3528,0,0,0
108544,-131072,2236.2898,0.9915747,0.8159801,0.043612085,0.14040783,0.11938117,-216.00002,4844.4814,2236.2898,2236.2898,0,0,0
110592,-131072,1995.68,0.9914399,0.6378219,0.015199324,0.34697875,0.1397594,-216.00002,4968.1665,1995.68,1995.68,0,0,0
112640,-131072,1853.5537,0.9913017,0.57788545,0,0.42211455,0.09092177,-216.00002,4948.9194,1853.5537,1853.5537,0,0,0
114688,-131072,1532.9712,0.991161,0.30837753,0,0.6916225,0.7121629,-216.00002,3747.068,1532.9712,1532.9712,0,0,0
116736,-131072,603.5719,0.9910184,0.030483793,0,0.9695162,0.46906736,-216.00002,1767.7552,603.5719,603.5719,0,0,0
118784,-131072,387.1869,0.99087477,6.594705E-08,0,0.99999994,0.18888804,-216.00002,670.37714,387.1869,387.1869,0,0,0
120832,-131072,428.63165,0.99073094,0,0,1,0.045798387,-216.00002,693.9377,428.63165,428.63165,0,0,0
122880,-131072,360.08722,0.9905878,0,0,1,0.058636885,-216.00002,630.2424,360.08722,360.08722,0,0,0
124928,-131072,509.847,0.99044603,0,0,1,0.050148234,-216.00002,781.59357,509.847,509.847,0,0,0
126976,-131072,579.6395,0.9903067,0,0,1,0.054892555,-216.00002,852.24255,579.6395,579.6395,0,0,0
129024,-131072,643.03076,0.9901705,0,0,1,0.44854403,-216.00002,851.70557,643.03076,643.03076,0,0,0
131072,-131072,504.53265,0.9900385,0,0,1,0.032631084,-216.00002,781.24976,504.53265,504.53265,0,0,0
-131072,-129024,232.8826,0.91505027,0.0036816057,0.62186545,0.37445295,0.46359468,-216.00002,1519.0901,232.8826,232.8826,0,0,0
-129024,-129024,718.0449,0.9144829,0.0074910047,0,0.992509,0.42442533,-216.00002,1618.5834,718.0449,718.0449,0,0,0
-126976,-129024,983.8331,0.9138922,0.04138311,0,0.9586169,0.20462489,-216.00002,2254.1033,983.8331,983.8331,0,0,0
-124928,-129024,1400.583,0.9132815,0.21249138,0,0.7875086,0.2966381,-216.00002,3357.6643,1400.583,1400.583,0,0,0
-122880,-129024,1680.8171,0.9126542,0.6344871,0,0.3655129,0.2634806,-216.00002,4972.6494,1680.8171,1680.8171,0,0,0
-120832,-129024,2180.076,0.9120139,0.91799974,0.0025757486,0.07942451,0.4239809,-216.00002,4291.6284,2180.076,2180.076,0,0,0
-118784,-129024,2031.9753,0.91136384,0.9168653,0.07924063,0.0038940832,0.24302307,-216.00002,3883.361,2031.9753,2031.9753,0,0,0
-116736,-129024,2449.1128,0.91070825,0.91571456,0.08428544,0,0.97045624,-216.00002,4398.9507,2449.1128,2449.1128,0,0,0
-114688,-129024,2358.8074,0.91005015,0.9145528,0.08544719,0,0.3723657,-216.00002,4580.332,2358.8074,2358.8074,0,0,0
-112640,-129024,2569.1309,0.9093937,0.91338736,0.08661264,0,0.19382147,-216.00002,4523.793,2569.1309,2569.1309,0,0,0
