x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-16384,-16384,85.38629,1,0,0.9842277,0.015772283,0.13083571,-216.00002,209.05566,85.38629,149.74446,0,0,0
-16128,-16384,85.54825,1,0,0.9869127,0.013087273,0.13000101,-216.00002,213.75732,85.54825,148.55806,0,0,0
-15872,-16384,60.288822,1,0,0.9899497,0.010050297,0.12675862,-216.00002,214.85832,60.288822,147.04137,0,0,0
-15616,-16384,35.3194,1,0,0.99296975,0.0070302486,0.109908715,-216.00002,212.2277,35.3194,145.39795,0,0,0
-15360,-16384,14.91727,1,0,0.99562943,0.00437057,0.079245836,-216.00002,206.71112,14.91727,144.0152,0,0,0
-15104,-16384,2.4916353,1,0,0.99768066,0.002319336,0.035432328,-216.00002,199.12534,2.4916353,143.0688,0,0,0
-14848,-16384,-33.93107,1,0,0.99902284,0.0009771585,0.4666257,-216.00002,190.32948,-33.93107,142.59607,0,0.6143158,0.7890602
-14592,-16384,-99.13875,1,0,0.9997187,0.00028127432,0.22030155,-216.00002,181.25002,-99.13875,142.55685,0,0.69595706,0.71808344
-14336,-16384,-116.92152,1,0,0.99996305,3.695488E-05,0.008756898,-216.00002,172.7544,-116.92152,142.84018,0,0.7643655,0.6447833
-14080,-16384,-99.572815,1,0,0.99999976,2.3841858E-07,0.18982583,-216.00002,165.52983,-99.572815,143.30077,0,0.79391825,0.60802454
-13824,-16384,-53.363285,1,0,1,0,0.36642548,-216.00002,159.99663,-53.363285,143.82773,0,0.7797935,0.62603676
-13568,-16384,0.33972248,1,0,1,0,0.013604275,-216.00002,156.27045,0.33972248,144.3878,0,0,0
-13312,-16384,7.21512,1,0,1,0,0.057935588,-216.00002,154.18674,7.21512,144.96951,0,0,0
-13056,-16384,22.108667,1,0,1,0,0.09236687,-216.00002,153.37965,22.108667,145.56146,0,0,0
-12800,-16384,42.84611,1,0,1,0,0.11483376,-216.00002,153.39745,42.84611,146.15231,0,0,0
-12544,-16384,55.996334,1,0,1,0,0.12127216,-216.00002,153.82204,55.996334,146.73068,0,0,0
-12288,-16384,27.9463,1,0,1,0,0.100662515,-216.00002,153.90726,27.9463,147.28523,0,0,0
-12032,-16384,7.908138,1,0,1,0,0.060705364,-216.00002,153.90721,7.908138,147.80458,0,0,0
-11776,-16384,0.0039013084,1,0,1,0,0.15747827,-216.00002,153.90721,0.0039013084,148.27737,0,0,0
-11520,-16384,-80.231895,1,0,1,0,0.1689307,-216.00002,153.90721,-80.231895,148.69223,0,-0.38847378,0.9214598
-11264,-16384,-78.97881,1,0,1,0,0.20256293,-216.00002,153.90721,-78.97881,149.03781,0,-0.371353,0.9284917
-11008,-16384,0.08633912,1,0,1,0,0.0069914237,-216.00002,153.90721,0.08633912,149.30273,0,0,0
-10752,-16384,9.278935,1,0,1,0,0.06565131,-216.00002,153.90721,9.278935,149.47566,0,0,0
-10496,-16384,30.60574,1,0,1,0,0.10535945,-216.00002,153.90721,30.60574,149.54521,0,0,0
-10240,-16384,59.30964,1,0,1,0,0.12527971,-216.00002,153.90721,59.30964,149.52896,0,0,0
-9984,-16384,86.93156,1,0,1,0,0.12400163,-216.00002,153.90721,86.93156,149.4704,0,0,0
-9728,-16384,70.48737,1,0,1,0,0.12308693,-216.00002,153.90721,70.48737,149.37454,0,0,0
-9472,-16384,43.912228,1,0,1,0,0.1165992,-216.00002,153.90721,43.912228,149.24585,0,0,0
-9216,-16384,20.940153,1,0,1,0,0.091396965,-216.00002,153.90721,20.940153,149.0888,0,0,0
-8960,-16384,5.9959464,1,0,1,0,0.053872854,-216.00002,153.93227,5.9959464,148.90787,0,0,0
-8704,-16384,0.18349263,1,0,1,0,0.010135826,-216.00002,154.68245,0.18349263,148.7075,0,0,0
-8448,-16384,-59.212837,1,9.0164275E-07,0.9999991,0,0.43515885,-216.00002,194.67296,-59.212837,148.49297,0,-0.9326941,0.3606684
-8192,-16384,-66.72387,1,0.00014812402,0.9998519,0,0.056692045,-216.00002,367.15002,-66.72387,148.3896,0,-0.9625126,0.2712371
-7936,-16384,-28.269802,1,0.0019238696,0.99807614,0,0.59717107,-216.00002,688.5449,-28.269802,153.61409,0,-0.84604406,0.5331131
-7680,-16384,2.8908854,1,0.010217146,0.98978287,0,0.049635395,-216.00002,1129.6171,2.8908854,241.49666,0,0,0
-7424,-16384,25.956627,1,0.033980314,0.9660197,0,0.1753066,-216.00002,1630.8263,25.956627,459.68958,0,0,0
-7168,-16384,82.215935,1,0.084318615,0.91568136,0,0.3052833,-216.00002,2123.8513,82.215935,797.4322,0,0,0
-6912,-16384,162.12389,1,0.17057236,0.82942766,0,0.38621414,-216.00002,2646.7864,162.12389,1209.5168,0,0,0
-6656,-16384,254.06384,1,0.295893,0.704107,0,0.43880463,-216.00002,3768.6519,254.06384,1634.9359,0,0,0
-6400,-16384,332.21582,1,0.45399788,0.54600215,0,0.47988522,-216.00002,4865.1978,332.21582,2017.1752,0,0,0
-6144,-16384,385.65677,1,0.6283769,0.3716025,2.0593405E-05,0.5094334,-216.00002,5287.4463,385.65677,2359.6392,0,0,0
-5888,-16384,426.7248,1,0.7944676,0.20539835,0.00013402104,0.498057,-216.00002,5303.643,426.7248,2797.4236,0,0,0
-5632,-16384,509.74033,1,0.92443216,0.0753488,0.00021903962,0.72345644,-216.00002,5277.954,509.74033,3227.5203,0,0,0
-5376,-16384,616.9693,1,0.9934175,0.006527512,5.498668E-05,0.75270236,-216.00002,5016.469,616.9693,3315.4946,0,0,0
-5120,-16384,746.5243,1,1,0,0,0.825271,-216.00002,4461.182,746.5243,3425.142,0,0,0
-4864,-16384,890.0726,1,1,0,0,0.9088913,-216.00002,4067.4592,890.0726,3484.4285,0,0,0
-4608,-16384,1027.6917,1,1,0,0,0.86073416,-216.00002,3938.293,1027.6917,3451.0884,0,0,0
-4352,-16384,1171.029,1,1,0,0,0.8297989,-216.00002,3920.5203,1171.029,3418.647,0,0,0
-4096,-16384,1344.2789,1,1,0,0,0.9967024,-216.00002,3913.6624,1344.2789,3446.3906,0,0,0
-3840,-16384,1464.8685,1,1,0,0,1.0712848,-216.00002,3906.9714,1464.8685,3422.1196,0,0,0
-3584,-16384,1430.5359,1,1,0,0,1.0059103,-216.00002,3900.4814,1430.5359,3430.5742,0,0,0
-3328,-16384,1416.8783,1,1,0,0,1.0265046,-216.00002,3894.2258,1416.8783,3447.2712,0,0,0
-3072,-16384,1379.6519,1,1,0,0,0.9645962,-216.00002,3888.2388,1379.6519,3382.2083,0,0,0
-2816,-16384,1342.3359,1,1,0,0,0.7649739,-216.00002,3882.5537,1342.3359,3308.0051,0,0,0
-2560,-16384,1323.6572,1,1,0,0,0.89052397,-216.00002,3877.2043,1323.6572,3279.04,0,0,0
-2304,-16384,1302.4801,1,1,0,0,0.95289063,-216.00002,3872.2246,1302.4801,3211.0032,0,0,0
-2048,-16384,1325.7479,1,1,0,0,0.9988907,-216.00002,3867.6482,1325.7479,3215.2102,0,0,0
-1792,-16384,1334.5732,1,1,0,0,0.9028169,-216.00002,3863.5088,1334.5732,3144.7188,0,0,0
-1536,-16384,1206.1349,1,1,0,0,0.71131927,-216.00002,3859.8398,1206.1349,3056.613,0,0,0
-1280,-16384,1101.6016,1,1,0,0,0.6789256,-216.00002,3856.6755,1101.6016,3025.7593,0,0,0
-1024,-16384,1015.369,1,1,0,0,0.6839914,-216.00002,3854.0496,1015.369,2949.0723,0,0,0
-768,-16384,936.22675,1,1,0,0,0.66750795,-216.00002,3851.9956,936.22675,2840.6812,0,0,0
-512,-16384,824.38135,1,1,0,0,0.6440957,-216.00002,3850.547,824.38135,2784.8772,0,0,0
-256,-16384,705.8303,1,1,0,0,0.6187817,-216.00002,3849.7383,705.8303,2754.323,0,0,0
0,-16384,602.39233,1,1,0,0,0.6016188,-216.00002,3849.6023,602.39233,2709.604,0,0,0
256,-16384,505.64972,1,1,0,0,0.5509934,-216.00002,3850.143,505.64972,2708.8533,0,0,0
512,-16384,427.14563,1,1,0,0,0.53720516,-216.00002,3851.3196,427.14563,2670.0588,0,0,0
768,-16384,368.7995,1,1,0,0,0.5046547,-216.00002,3853.0989,368.7995,2684.1814,0,0,0
1024,-16384,335.26675,1,1,0,0,0.48126453,-216.00002,3855.4478,335.26675,2693.2998,0,0,0
1280,-16384,327.35703,1,1,0,0,0.47867996,-216.00002,3858.3337,327.35703,2700.2512,0,0,0
1536,-16384,345.56516,1,1,0,0,0.48896113,-216.00002,3861.7236,345.56516,2697.6113,0,0,0
1792,-16384,385.9444,1,1,0,0,0.5034499,-216.00002,3865.5845,385.9444,2761.7603,0,0,0
2048,-16384,453.34702,1,1,0,0,0.5415401,-216.00002,3869.8835,453.34702,2750.0198,0,0,0
2304,-16384,539.8513,1,1,0,0,0.57022476,-216.00002,3874.6433,539.8513,2791.007,0,0,0
2560,-16384,645.15796,1,1,0,0,0.60400736,-216.00002,3885.9822,645.15796,2838.2607,0,0,0
2816,-16384,766.7199,1,1,0,0,0.6243214,-216.00002,3909.335,766.7199,2892.1997,0,0,0
3072,-16384,904.52386,1,1,0,0,0.6895203,-216.00002,3946.2512,904.52386,2919.3772,0,0,0
3328,-16384,1056.6788,1,1,0,0,0.681034,-216.00002,3997.8672,1056.6788,2916.2876,0,0,0
3584,-16384,1212.7477,1,1,0,0,0.7096034,-216.00002,4064.8452,1212.7477,2990.4534,0,0,0
3840,-16384,1377.981,1,1,0,0,0.7350311,-216.00002,4147.3193,1377.981,3042.768,0,0,0
4096,-16384,1552.2296,1,1,0,0,0.73449343,-216.00002,4244.8584,1552.2296,3038.5144,0,0,0
4352,-16384,1735.3563,1,1,0,0,0.95947045,-216.00002,4356.436,1735.3563,3086.9944,0,0,0
4608,-16384,1967.2384,1,1,0,0,0.8584713,-216.00002,4479.712,1967.2384,3175.1318,0,0,0
4864,-16384,2149.664,1,1,0,0,0.7585347,-216.00002,4594.598,2149.664,3179.7354,0,0,0
5120,-16384,2344.1694,1,1,0,0,0.7920843,-216.00002,4691.062,2344.1694,3208.0596,0,0,0
5376,-16384,2523.6265,1,1,0,0,0.7738995,-216.00002,4767.0215,2523.6265,3224.2654,0,0,0
5632,-16384,2675.0906,1,1,0,0,0.6141709,-216.00002,4820.563,2675.0906,3218.5654,0,0,0
5888,-16384,2813.2507,1,1,0,0,0.51334125,-216.00002,4849.9556,2813.2507,3214.4644,0,0,0
6144,-16384,2924.5698,1,1,0,0,0.32358336,-216.00002,4853.663,2924.5698,3199.9023,0,0,0
6400,-16384,2970.6536,1,1,0,0,0.2680951,-216.00002,4830.3574,2970.6536,3138.2642,0,0,0
6656,-16384,3024.9854,1,1,0,0,0.22341932,-216.00002,4778.926,3024.9854,3111.4062,0,0,0
6912,-16384,2998.1775,1,1,0,0,0.5197838,-216.00002,4698.481,2998.1775,3074.3367,0,0,0
7168,-16384,2929.6196,1,1,0,0,0.3779548,-216.00002,4588.3667,2929.6196,3011.7131,0,0,0
7424,-16384,2876.775,1,1,0,0,0.48791477,-216.00002,4453.344,2876.775,2969.8064,0,0,0
7680,-16384,2844.9553,1,1,0,0,0.49673396,-216.00002,4325.2046,2844.9553,2961.0942,0,0,0
7936,-16384,2794.6226,1,1,0,0,0.47352412,-216.00002,4213.8384,2794.6226,2914.5852,0,0,0
8192,-16384,2744.9438,1,1,0,0,0.41522086,-216.00002,4124.4683,2744.9438,2862.5994,0,0,0
8448,-16384,2721.2146,1,1,0,0,0.4607639,-216.00002,4062.1245,2721.2146,2852.0393,0,0,0
8704,-16384,2695.6067,1,1,0,0,0.4899771,-216.00002,4031.542,2695.6067,2830.696,0,0,0
8960,-16384,2669.892,1,1,0,0,0.45924267,-216.00002,4031.2827,2669.892,2800.9382,0,0,0
9216,-16384,2660.14,1,1,0,0,0.39943114,-216.00002,4034.4841,2660.14,2793.6982,0,0,0
9472,-16384,2640.8733,1,1,0,0,0.4047835,-216.00002,4037.1692,2640.8733,2760.1306,0,0,0
9728,-16384,2633.6736,1,1,0,0,0.44174984,-216.00002,4039.3047,2633.6736,2742.2407,0,0,0
9984,-16384,2625.5027,1,1,0,0,0.40397593,-216.00002,4040.8577,2625.5027,2716.92,0,0,0
10240,-16384,2618.2527,1,1,0,0,0.39174363,-216.00002,4041.7954,2618.2527,2689.843,0,0,0
10496,-16384,2598.5535,1,1,0,0,0.13645957,-216.00002,4042.0854,2598.5535,2659.5942,0,0,0
10752,-16384,2575.1973,1,1,0,0,0.1440316,-216.00002,4041.7375,2575.1973,2638.5894,0,0,0
11008,-16384,2552.4224,1,1,0,0,0.1418471,-216.00002,4040.7925,2552.4224,2613.7532,0,0,0
11264,-16384,2530.8904,1,1,0,0,0.13304095,-216.00002,4039.3171,2530.8904,2586.274,0,0,0
11520,-16384,2510.7405,1,1,0,0,0.12655784,-216.00002,4037.4316,2510.7405,2557.1038,0,0,0
11776,-16384,2493.543,1,1,0,0,0.10084909,-216.00002,4035.1675,2493.543,2530.2544,0,0,0
12032,-16384,2473.8018,1,1,0,0,0.103244975,-216.00002,4032.5505,2473.8018,2504.0068,0,0,0
12288,-16384,2452.4268,1,1,0,0,0.09361496,-216.00002,4029.607,2452.4268,2479.8696,0,0,0
12544,-16384,2434.5347,1,1,0,0,0.07765991,-216.00002,4026.363,2434.5347,2458.193,0,0,0
12800,-16384,2419.6963,1,1,0,0,0.057938505,-216.00002,4022.8455,2419.6963,2439.0059,0,0,0
13056,-16384,2409.0186,1,1,0,0,0.035222422,-216.00002,4019.0796,2409.0186,2423.4412,0,0,0
13312,-16384,2402.7341,1,1,0,0,0.020220023,-216.00002,4015.0928,2402.7341,2412.3318,0,0,0
13568,-16384,2397.761,1,1,0,0,0.015500453,-216.00002,4010.9104,2397.761,2406.6255,0,0,0
13824,-16384,2398.563,1,1,0,0,0.01996352,-216.00002,4006.559,2398.563,2407.1575,0,0,0
14080,-16384,2406.0784,1,1,0,0,0.044191677,-216.00002,4002.065,2406.0784,2414.5967,0,0,0
14336,-16384,2415.3982,1,1,0,0,0.12056556,-216.00002,3997.4546,2415.3982,2429.7144,0,0,0
14592,-16384,2382.6392,1,1,0,0,0.21944776,-216.00002,3992.754,2382.6392,2451.0322,0,0,0
14848,-16384,2315.4338,1,1,0,0,0.33542243,-216.00002,3987.9893,2315.4338,2474.1711,0,0,0
15104,-16384,2217.8213,1,1,0,0,0.44117412,-216.00002,3983.187,2217.8213,2498.2188,0,0,0
15360,-16384,2094.386,1,1,0,0,0.53784853,-216.00002,3978.3735,2094.386,2522.5234,0,0,0
15616,-16384,1948.7745,1,1,0,0,0.63068557,-216.00002,3973.5745,1948.7745,2538.3262,0,0,0
15872,-16384,1785.1641,1,1,0,0,0.6579391,-216.00002,3968.817,1785.1641,2516.1606,0,0,0
16128,-16384,1613.9957,1,1,0,0,0.68375164,-216.00002,3964.1265,1613.9957,2490.5374,0,0,0
16384,-16384,1438.2041,1,1,0,0,0.69764477,-216.00002,3959.5295,1438.2041,2462.8943,0,0,0
-16384,-16128,117.58428,1,0,0.9794281,0.020571887,0.118305914,-216.00002,216.28268,117.58428,152.50574,0,0,0
-16128,-16128,106.60495,1,0,0.98277473,0.017225266,0.12519155,-216.00002,222.14066,106.60495,150.95877,0,0,0
-15872,-16128,79.310555,1,0,0.9866911,0.013308883,0.13170393,-216.00002,224.51494,79.310555,148.97467,0,0,0
-15616,-16128,51.943226,1,0,0.990662,0.009338021,0.123330235,-216.00002,222.16272,51.943226,146.83104,0,0,0
-15360,-16128,28.209906,1,0,0.9941976,0.005802393,0.101720944,-216.00002,216.06844,28.209906,145.0022,0,0,0
-15104,-16128,10.68625,1,0,0.9969372,0.0030627847,0.06874972,-216.00002,207.24635,10.68625,143.71507,0,0,0
-14848,-16128,1.4639982,1,0,0.99872655,0.0012734532,0.027492538,-216.00002,196.80135,1.4639982,143.03024,0,0,0
-14592,-16128,-35.31852,1,0,0.9996443,0.00035572052,0.45332918,-216.00002,185.9377,-35.31852,142.90237,0,0.7643655,0.6447833
-14336,-16128,-90.49797,1,0,0.9999569,4.3094158E-05,0.24467954,-216.00002,175.78632,-90.49797,143.18695,0,0.79391825,0.60802454
-14080,-16128,-110.93023,1,0,0.9999998,1.7881393E-07,0.051973917,-216.00002,167.23831,-110.93023,143.69003,0,0.7797935,0.62603676
-13824,-16128,-98.86648,1,0,1,0,0.14490275,-216.00002,160.82306,-98.86648,144.26758,0,0.72930795,0.6841856
-13568,-16128,-50.51288,1,0,1,0,0.3380686,-216.00002,156.65756,-50.51288,144.8814,0,0.66565096,0.74626327
-13312,-16128,0.70169026,1,0,1,0,0.019405711,-216.00002,154.48447,0.70169026,145.51889,0,0,0
-13056,-16128,9.206841,1,0,1,0,0.064754896,-216.00002,153.79073,9.206841,146.16762,0,0,0
-12800,-16128,24.55682,1,0,1,0,0.09646673,-216.00002,153.9755,24.55682,146.81512,0,0,0
-12544,-16128,42.474064,1,0,1,0,0.11517107,-216.00002,153.90964,42.474064,147.44899,0,0,0
-12288,-16128,22.818626,1,0,1,0,0.09393956,-216.00002,153.90721,22.818626,148.05673,0,0,0
-12032,-16128,4.4953623,1,0,1,0,0.04720752,-216.00002,153.90721,4.4953623,148.62589,0,0,0
-11776,-16128,-28.461842,1,0,1,0,0.37816432,-216.00002,153.90721,-28.461842,149.14401,0,-0.21757098,0.9760445
-11520,-16128,-82.08761,1,0,1,0,0.0600849,-216.00002,153.90721,-82.08761,149.59866,0,-0.21757098,0.9760445
-11264,-16128,-49.037212,1,0,1,0,0.32416067,-216.00002,153.90721,-49.037212,149.97739,0,-0.33297798,0.94293463
-11008,-16128,2.0421734,1,0,1,0,0.032773692,-216.00002,153.90721,2.0421734,150.26775,0,0,0
-10752,-16128,16.061668,1,0,1,0,0.08297077,-216.00002,153.90721,16.061668,150.45724,0,0,0
-10496,-16128,39.901165,1,0,1,0,0.114891,-216.00002,153.90721,39.901165,150.53346,0,0,0
-10240,-16128,69.15405,1,0,1,0,0.12809318,-216.00002,153.90721,69.15405,150.51431,0,0,0
-9984,-16128,59.685093,1,0,1,0,0.12491689,-216.00002,153.90721,59.685093,150.44554,0,0,0
