x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-131072,-131072,-119.871,0.79759556,0.002782786,0.99721724,0,0.094529495,-231.76799,319.81882,-119.871,-119.871,0,0,0
-129024,-131072,-88.90686,0.8056196,0.005932758,0.99406725,0,0.098822095,-219.14436,456.12653,-88.90686,-88.90686,0,0,0
-126976,-131072,54.391685,0.81383306,0.03454481,0.9654552,0,0.19127646,-216.00002,931.84125,54.391685,54.391685,0,0,0
-124928,-131072,460.53552,0.8221692,0.18302457,0.8169754,0,0.37965277,-216.00002,1736.6094,460.53552,460.53552,0,0,0
-122880,-131072,814.5649,0.8305642,0.54565805,0.45434195,0,0.40744844,-216.00002,3046.1443,814.5649,814.5649,0,0,0
-120832,-131072,986.5013,0.8389565,0.7556065,0.24439353,0,0.7044744,-216.00002,2944.116,986.5013,986.5013,0,0,0
-118784,-131072,1110.4894,0.84728646,0.7771269,0.22287309,0,0.51279724,-216.00002,3285.3918,1110.4894,1110.4894,0,0,0
-116736,-131072,1456.209,0.85549915,0.79771,0.20229,0,0.5165394,-216.00002,3891.2966,1456.209,1456.209,0,0,0
-114688,-131072,1629.9429,0.8635422,0.8172063,0.18279368,0,0.23152395,-216.00002,4065.5703,1629.9429,1629.9429,0,0,0
-112640,-131072,1911.5255,0.87136674,0.8354967,0.16450328,0,0.43667853,-216.00002,3997.2495,1911.5255,1911.5255,0,0,0
-110592,-131072,2073.012,0.8789289,0.85249645,0.14750355,0,0.34343407,-216.00002,3949.6182,2073.012,2073.012,0,0,0
-108544,-131072,2193.589,0.88618875,0.8681511,0.13184887,0,0.17087202,-216.00002,4047.2256,2193.589,2193.589,0,0,0
-106496,-131072,2347.6091,0.89311016,0.8824349,0.117565095,0,0.077547565,-216.00002,4195.813,2347.6091,2347.6091,0,0,0
-104448,-131072,2448.719,0.8996625,0.8953512,0.10464883,0,0.053820413,-216.00002,4148.837,2448.719,2448.719,0,0,0
-102400,-131072,2566.4985,0.90581834,0.9069243,0.09307569,0,0.17181452,-216.00002,4150.254,2566.4985,2566.4985,0,0,0
-100352,-131072,2677.817,0.91155535,0.9172002,0.08279979,0,0.24000521,-216.00002,4327.267,2677.817,2677.817,0,0,0
-98304,-131072,2783.6804,0.9168545,0.92623866,0.073761344,0,0.20643438,-216.00002,4432.141,2783.6804,2783.6804,0,0,0
-96256,-131072,2800.5012,0.9217005,0.9341109,0.06588912,0,0.3355126,-216.00002,4369.3794,2800.5012,2800.5012,0,0,0
-94208,-131072,2819.0525,0.926081,0.94089407,0.059105933,0,0.4205599,-216.00002,4322.369,2819.0525,2819.0525,0,0,0
-92160,-131072,2808.6316,0.9299864,0.9466684,0.053331614,0,0.36512724,-216.00002,4314.4556,2808.6316,2808.6316,0,0,0
-90112,-131072,2688.9263,0.93340796,0.95151085,0.048489153,0,0.38641933,-216.00002,4316.8955,2688.9263,2688.9263,0,0,0
-88064,-131072,2588.1843,0.9363384,0.9554946,0.044505417,0,0.2627796,-216.00002,4196.444,2588.1843,2588.1843,0,0,0
-86016,-131072,2341.212,0.9387698,0.9586833,0.041316688,0,0.18811369,-216.00002,4188.5728,2341.212,2341.212,0,0,0
-83968,-131072,406.779,0.9406935,0.12737174,0.8726283,0,0.63802046,-216.00002,1129.413,406.779,406.779,0,0,0
-81920,-131072,47.255806,0.94209754,0,1,0,0.021937668,-216.00002,93.41244,47.255806,47.255806,0,0,0
-79872,-131072,55.85057,0.94296694,0,1,0,0.021948542,-216.00002,101.83552,55.85057,55.85057,0,0,0
-77824,-131072,58.253387,0.9432812,0,1,0,0.02179108,-216.00002,104.176834,58.253387,58.253387,0,0,0
-75776,-131072,54.488113,0.94329786,0,1,0,0.02179832,-216.00002,100.27835,54.488113,54.488113,0,0,0
-73728,-131072,51.02249,0.94334793,0,1,0,0.021330908,-216.00002,96.67456,51.02249,51.02249,0,0,0
-71680,-131072,51.37069,0.9434304,0,1,0,0.020822853,-216.00002,96.99722,51.37069,51.37069,0,0,0
-69632,-131072,52.607883,0.94354296,0,1,0,0.020357464,-216.00002,98.22492,52.607883,52.607883,0,0,0
-67584,-131072,53.107285,0.94368374,0,1,0,0.019350152,-216.00002,98.67741,53.107285,53.107285,0,0,0
-65536,-131072,50.590908,0.9438512,0,1,0,0.017518481,-216.00002,96.00231,50.590908,50.590908,0,0,0
-63488,-131072,47.819717,0.9440426,0,1,0,0.01530399,-216.00002,93.05254,47.819717,47.819717,0,0,0
-61440,-131072,46.78739,0.94425654,0,1,0,0.013573958,-216.00002,91.88966,46.78739,46.78739,0,0,0
-59392,-131072,43.74002,0.94449073,0,1,0,0.011833995,-216.00002,88.636185,43.74002,43.74002,0,0,0
-57344,-131072,42.542236,0.9447433,0,1,0,0.009975722,-216.00002,87.28517,42.542236,42.542236,0,0,0
-55296,-131072,59.30259,0.94501233,0,1,0,0.013762014,-216.00002,104.4731,59.30259,59.30259,0,0,0
-53248,-131072,81.30802,0.9452955,0,1,0,0.008011489,-216.00002,124.91095,81.30802,81.30802,0,0,0
-51200,-131072,84.93339,0.9455913,0,1,0,0.0009979638,-216.00002,125.162605,84.93339,84.93339,0,0,0
-49152,-131072,84.424194,0.94589764,0,1,0,0.0017401956,-216.00002,125.42276,84.424194,84.424194,0,0,0
-47104,-131072,84.252266,0.9462125,0,1,0,0.004425667,-216.00002,125.68964,84.252266,84.252266,0,0,0
-45056,-131072,82.53576,0.9465338,0,1,0,0.0068809623,-216.00002,125.96139,82.53576,82.53576,0,0,0
-43008,-131072,79.532974,0.94686013,0,1,0,0.00886815,-216.00002,124.595116,79.532974,79.532974,0,0,0
-40960,-131072,81.53108,0.94718903,0,0.9935351,0.0064648986,0.012448541,-216.00002,142.87166,81.53108,81.53108,0,0,0
-38912,-131072,108.71948,0.947519,0,0.9027452,0.09725481,0.034413025,-216.00002,230.62242,108.71948,108.71948,0,0,0
-36864,-131072,157.74184,0.94784814,0,0.7472716,0.2527284,0.08619263,-216.00002,436.36414,157.74184,157.74184,0,0,0
-34816,-131072,66.551865,0.94817454,0,0.9846491,0.015350878,0.05113991,-216.00002,338.51752,66.551865,66.551865,0,0,0
-32768,-131072,52.5803,0.94849646,0.0014159082,0.9985841,0,0.018964956,-216.00002,301.03668,52.5803,52.5803,0,0,0
-30720,-131072,332.21436,0.94881195,0.13933158,0.8606684,0,0.25935254,-216.00002,920.29114,332.21436,332.21436,0,0,0
-28672,-131072,853.33826,0.94911957,0.8388752,0.16112483,0,0.16823485,-216.00002,2939.4143,853.33826,853.33826,0,0,0
-26624,-131072,969.9465,0.9494174,0.9713676,0.028515125,0.00011727773,0.13528506,-216.00002,2884.3342,969.9465,969.9465,0,0,0
-24576,-131072,2022.6519,0.94970363,0.9716791,0.025076766,0.003244143,1.1394556,-216.00002,2722.9094,2022.6519,2022.6519,0,0,0
-22528,-131072,1695.8235,0.94997674,0.97197485,0.01781893,0.010206221,0.33224565,-216.00002,2717.1157,1695.8235,1695.8235,0,0,0
-20480,-131072,1408.5912,0.9502348,0.972253,0.01514428,0.012602695,0.14162938,-216.00002,3007.889,1408.5912,1408.5912,0,0,0
-18432,-131072,1044.2446,0.9504763,0.9725122,0.019000718,0.008487096,0.13571213,-216.00002,3414.5212,1044.2446,1044.2446,0,0,0
-16384,-131072,1285.6096,0.9506995,0.9727508,0.024438215,0.0028110016,0.28049374,-216.00002,3759.419,1285.6096,1285.6096,0,0,0
-14336,-131072,1725.9729,0.9509027,0.9729671,0.02672429,0.00030862167,0.26769575,-216.00002,4045.8428,1725.9729,1725.9729,0,0,0
-12288,-131072,1919.2521,0.9510843,0.97315973,0.026834255,6.014481E-06,0.3796917,-216.00002,4288.2593,1919.2521,1919.2521,0,0,0
-10240,-131072,1909.1458,0.95124257,0.9733271,0.026672738,1.6205013E-07,0.03106659,-216.00002,4677.3843,1909.1458,1909.1458,0,0,0
-8192,-131072,1480.4032,0.9513758,0.37528077,0.62465733,6.1929226E-05,0.7652994,-216.00002,4176.4033,1480.4032,1480.4032,0,0,0
-6144,-131072,124.93936,0.95148253,0.0068896567,0.9920988,0.0010115504,0.22105919,-216.00002,922.7989,124.93936,124.93936,0,0,0
-4096,-131072,77.15254,0.95156085,0,0.9970302,0.0029698014,0.04374588,-216.00002,158.22508,77.15254,77.15254,0,0,0
-2048,-131072,84.04036,0.95160913,0,0.99572283,0.0042771697,0.045132887,-216.00002,164.4934,84.04036,84.04036,0,0,0
0,-131072,88.391525,0.95162547,0,0.99540156,0.0045984387,0.045409918,-216.00002,169.99167,88.391525,88.391525,0,0,0
2048,-131072,80.38254,0.951743,0,0.9974262,0.0025737882,0.044992354,-216.00002,161.06232,80.38254,80.38254,0,0,0
4096,-131072,68.350266,0.9520864,0,0.9999904,9.596348E-06,0.043438252,-216.00002,127.45908,68.350266,68.350266,0,0,0
6144,-131072,65.94679,0.95264083,0,1,0,0.042074505,-216.00002,107.82509,65.94679,65.94679,0,0,0
8192,-131072,63.191513,0.9533909,0,1,0,0.040616207,-216.00002,104.52294,63.191513,63.191513,0,0,0
10240,-131072,61.511364,0.95431995,0,1,0,0.0389686,-216.00002,102.33762,61.511364,61.511364,0,0,0
12288,-131072,67.841705,0.9554106,0,1,0,0.038645446,-216.00002,108.31072,67.841705,67.841705,0,0,0
14336,-131072,79.308266,0.9566454,0,1,0,0.03850855,-216.00002,178.29164,79.308266,79.308266,0,0,0
16384,-131072,331.63153,0.9580065,0,0.50693655,0.49306345,0.3403582,-216.00002,928.1696,331.63153,331.63153,0,0,0
18432,-131072,562.0242,0.9594762,0,0,1,0.19845887,-216.00002,781.9018,562.0242,562.0242,0,0,0
20480,-131072,546.12054,0.9610362,0,0,1,0.17292523,-216.00002,750.0252,546.12054,546.12054,0,0,0
22528,-131072,503.92688,0.96266943,0,0,1,0.04996633,-216.00002,705.69324,503.92688,503.92688,0,0,0
24576,-131072,540.90247,0.96435857,4.9406473E-05,0,0.9999506,0.08969848,-216.00002,831.0521,540.90247,540.90247,0,0,0
26624,-131072,819.8197,0.9660871,0.06637353,0.1035267,0.83009976,0.24409604,-216.00002,1958.9846,819.8197,819.8197,0,0,0
28672,-131072,1197.8944,0.9678392,0.66982853,0.23420429,0.09596717,0.32025763,-216.00002,4718.006,1197.8944,1197.8944,0,0,0
30720,-131072,1114.4829,0.96959937,0.98935914,0.009924198,0.00071666203,0.16493985,-216.00002,3397.534,1114.4829,1114.4829,0,0,0
