x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-1037.3381,0,0,0.23381394,0.76618606,0,-1053.1505,-1021.66565,-1037.3381
-126976,-131072,-1035.702,0,0,0.2253905,0.7746095,0.00078965153,-1051.4995,-1020.04425,-1035.702
-122880,-131072,-1030.9415,0,0,0.20716864,0.79283136,0.0015220642,-1046.6959,-1015.32697,-1030.9415
-118784,-131072,-1023.2903,0,0,0.18941027,0.81058973,0.0021934519,-1038.975,-1007.74536,-1023.2903
-114688,-131072,-1012.9942,0,0,0.18150437,0.81849563,0.0028171546,-1028.5846,-997.54346,-1012.9942
-110592,-131072,-1000.30676,0,0,0.8093048,0.19069523,0.0033683777,-1015.7803,-984.61884,-1000.30676
-106496,-131072,-985.2618,0.00020221085,0,1,0,0.004280091,-1000.8238,-965.60535,-985.2618
-102400,-131072,-963.2582,0.00505965,0,1,0,0.0065078735,-983.5164,-937.9385,-963.2582
-98304,-131072,-931.66534,0.017605292,0,1,0,0.008956909,-958.01086,-900.9196,-931.66534
-94208,-131072,-889.888,0.03909586,0,1,0,0.011434555,-921.93164,-854.1019,-889.888
-90112,-131072,-838.089,0.07028823,0,1,0,0.013853073,-875.2077,-797.8905,-838.089
-86016,-131072,-775.8623,0.11139202,0,1,0,0.016450882,-817.5639,-731.7025,-775.8623
-81920,-131072,-704.67285,0.16206038,0,1,0,0.018032074,-750.15314,-657.3493,-704.67285
-77824,-131072,-630.13055,0.22141585,0,1,0,0.0184021,-677.8169,-581.23944,-630.13055
-73728,-131072,-552.52026,0.28810567,0,1,0,0.019838333,-601.11554,-503.08994,-552.52026
-69632,-131072,-465.9279,0.36038652,0,1,0,0.022006989,-515.8399,-415.93414,-465.9279
-65536,-131072,-377.60944,0.43622723,0,1,0,0.020209312,-427.72122,-327.9171,-377.60944
-61440,-131072,-303.7196,0.51342815,0,1,0,0.016412735,-351.95737,-256.37256,-303.7196
-57344,-131072,-236.4141,0.5897468,0,1,0,0.017537594,-280.2364,-192.12677,-236.4141
-53248,-131072,-167.1633,0.663026,0,1,0,0.016156197,-208.73628,-125.85977,-167.1633
-49152,-131072,-105.04317,0.7313137,0,1,0,0.014051917,-143.99565,-67.20493,-105.04317
-45056,-131072,-37.11376,0.7929719,0.0031194359,0.9968806,0,0.033493996,-81.12172,46.50035,-37.11376
-40960,-131072,1412.801,0.8467655,0.61434066,0.38565934,0,0.5677265,572.3721,2183.434,1412.801
-36864,-131072,1837.7429,0.8919263,0.8800376,0.119962394,0,0.37237582,1127.9159,2461.3552,1837.7429
-32768,-131072,593.9226,0.9281875,0.944041,0.055958986,0,0.01711638,421.38928,1145.7949,593.9226
-28672,-131072,2529.093,0.9557851,0.9779235,0.022076488,0,0.5112309,1867.3457,2953.0596,2529.093
-24576,-131072,1770.9283,0.9754235,0.7660415,0.17649247,0.057466015,0.51408464,741.933,3028.8755,1770.9283
-20480,-131072,672.23157,0.98820513,0.0033098552,0,0.99669015,0.005389557,426.7775,863.13336,672.23157
-16384,-131072,718.44165,0.9955238,0,0,1,0.0017284788,613.9852,817.6059,718.44165
-12288,-131072,761.56433,0.9989265,0,0,1,0.0063563506,563.49176,878.4935,761.56433
-8192,-131072,387.03644,0.9999478,0,0.5337661,0.4662339,0.11816411,77.10001,811.22363,387.03644
-4096,-131072,139.30673,1,0,0.99223536,0.0077646375,0.011931899,110.079,257.57202,139.30673
0,-131072,125.97942,1,0,1,0,3.4385216E-06,118.6141,138.61633,125.97942
4096,-131072,130.7632,1,0,1,0,0.0017523766,123.65904,147.65424,130.7632
8192,-131072,135.547,1,0,1,0,2.7804144E-06,128.60558,152.78976,135.547
12288,-131072,132.78366,1,0,1,0,0.0010123389,125.5979,153.54979,132.78366
16384,-131072,130.02034,1,0,1,0,7.088694E-06,122.75111,151.07706,130.02034
20480,-131072,129.48386,1,0,1,0,0.00019652692,124.157585,137.58997,129.48386
24576,-131072,128.94736,1,0,1,0,4.720447E-06,124.31554,133.57921,128.94736
28672,-131072,125.036865,1,0,1,0,0.0014319436,120.40505,129.66869,125.036865
32768,-131072,121.12637,1,0,1,0,7.8822495E-06,116.49456,125.758194,121.12637
36864,-131072,135.93723,1,0,1,0,0.0054240227,131.3054,140.56906,135.93723
