x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
130816,36864,755.1475,1,0,0,1,0.0071275393,524.81256,850.08673,755.1475
130832,36864,755.2301,1,0,0,1,0.006887735,524.9802,850.0851,755.2301
130848,36864,755.3076,1,0,0,1,0.006654574,525.1368,850.08374,755.3076
130864,36864,755.3799,1,0,0,1,0.0064292355,525.28296,850.0825,755.3799
130880,36864,755.447,1,0,0,1,0.00621078,525.4186,850.0814,755.447
130896,36864,755.50903,1,0,0,1,0.005998276,525.5432,850.08057,755.50903
130912,36864,755.5657,1,0,0,1,0.005799665,525.65735,850.0798,755.5657
130928,36864,755.6172,1,0,0,1,0.0056105764,525.7606,850.07916,755.6172
130944,36864,755.66327,1,0,0,1,0.0054323557,525.8533,850.0786,755.66327
130960,36864,755.70416,1,0,0,1,0.0052724397,525.93506,850.0782,755.70416
130976,36864,755.7396,1,0,0,1,0.0051257643,526.0059,850.0779,755.7396
130992,36864,755.7698,1,0,0,1,0.0049985084,526.06616,850.07764,755.7698
131008,36864,755.79443,1,0,0,1,0.0048944103,526.1156,850.0774,755.79443
131024,36864,755.8137,1,0,0,1,0.004807928,526.1539,850.0773,755.8137
131040,36864,755.82745,1,0,0,1,0.0047442177,526.18115,850.0773,755.82745
131056,36864,755.83575,1,0,0,1,0.004704761,526.19775,850.0772,755.83575
131072,36864,755.8385,1,0,0,1,0.0046963496,526.20306,850.0772,755.8385
131088,36864,755.84216,1,0,0,1,0.0047139856,526.197,850.0829,755.84216
131104,36864,755.853,1,0,0,1,0.004775791,526.1785,850.10004,755.853
131120,36864,755.871,1,0,0,1,0.004879651,526.14764,850.1284,755.871
131136,36864,755.8961,1,0,0,1,0.00501447,526.10443,850.1681,755.8961
131152,36864,755.9282,1,0,0,1,0.0051872027,526.04926,850.2189,755.9282
131168,36864,755.9674,1,0,0,1,0.0053849868,525.98145,850.2808,755.9674
131184,36864,756.0134,1,0,0,1,0.0056037763,525.90155,850.35376,756.0134
131200,36864,756.0663,1,0,0,1,0.0058433604,525.8096,850.4376,756.0663
131216,36864,756.12585,1,0,0,1,0.006103183,525.70557,850.53235,756.12585
131232,36864,756.1922,1,0,0,1,0.0063789063,525.5891,850.6379,756.1922
131248,36864,756.26526,1,0,0,1,0.0066630654,525.4606,850.75415,756.26526
131264,36864,756.3448,1,0,0,1,0.006954639,525.32,850.88104,756.3448
131280,36864,756.4309,1,0,0,1,0.0072599133,525.1672,851.01855,756.4309
131296,36864,756.5235,1,0,0,1,0.0075665205,525.0025,851.16656,756.5235
131312,36864,756.62244,1,0,0,1,0.007878908,524.82587,851.32495,756.62244
131328,36864,756.7278,1,0,0,1,0.00819564,524.63696,851.4938,756.7278
130816,36880,755.08057,1,0,0,1,0.0064328164,526.3272,849.73303,755.08057
130832,36880,755.16327,1,0,0,1,0.0061655175,526.4946,849.7315,755.16327
130848,36880,755.24084,1,0,0,1,0.0059016524,526.6513,849.73016,755.24084
130864,36880,755.3132,1,0,0,1,0.0056458255,526.79736,849.72906,755.3132
130880,36880,755.3805,1,0,0,1,0.005396747,526.9326,849.7281,755.3805
130896,36880,755.4425,1,0,0,1,0.0051503005,527.05743,849.72723,755.4425
130912,36880,755.49927,1,0,0,1,0.0049135983,527.17163,849.7265,755.49927
130928,36880,755.5508,1,0,0,1,0.0046937163,527.2748,849.7259,755.5508
130944,36880,755.59705,1,0,0,1,0.0044786884,527.3673,849.7254,755.59705
