x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-1281.4261,0,0,1,0,1.0789593E-05,-1299.3081,-1263.684,-1281.4261
-126976,-131072,-1278.438,0,0,1,0,0.001449605,-1296.2961,-1260.7197,-1278.438
-122880,-131072,-1269.7517,0,0,0.4068957,0.5931043,0.0027885437,-1287.5402,-1252.1029,-1269.7517
-118784,-131072,-1255.8123,0,0,0,1,0.0040016193,-1273.4886,-1238.2756,-1255.8123
-114688,-131072,-1237.0963,0,0,0,1,0.0051116943,-1254.621,-1219.7114,-1237.0963
-110592,-131072,-1214.103,0,0,0,1,0.006095886,-1231.4393,-1196.9064,-1214.103
-106496,-131072,-1187.3446,0,0,0.3491249,0.6508751,0.0069580087,-1204.4591,-1170.3698,-1187.3446
-102400,-131072,-1157.3406,0,0,1,0,0.0076789856,-1174.2028,-1140.6179,-1157.3406
-98304,-131072,-1124.609,0,0,1,0,0.008277894,-1141.1915,-1108.166,-1124.609
-94208,-131072,-1089.6611,0,0,1,0,0.008762361,-1105.9398,-1073.5222,-1089.6611
-90112,-131072,-1052.9961,0,0,0.99932754,0.0006724596,0.009124756,-1068.9495,-1037.1825,-1052.9961
-86016,-131072,-1015.0948,0,0,0.17128313,0.8287169,0.009363174,-1030.7045,-999.62476,-1015.0948
-81920,-131072,-973.2356,0.0020470682,0,0,1,0.014034272,-991.6671,-945.3771,-973.2356
-77824,-131072,-886.1391,0.031050915,0,0.0028307438,0.99716926,0.027830126,-930.89386,-834.0328,-886.1391
-73728,-131072,-778.2735,0.09148716,0,0.5483688,0.4516312,0.022323616,-846.99304,-660.892,-778.2735
-69632,-131072,-681.8021,0.17819402,0,0.9735921,0.026407897,0.028831484,-734.09485,-599.8819,-681.8021
-65536,-131072,-554.2927,0.2846127,0,0.9994486,0.00055140257,0.032676697,-605.1889,-489.5124,-554.2927
-61440,-131072,-414.36475,0.4032759,0,1,0,0.035060883,-465.38892,-357.58463,-414.36475
-57344,-131072,-275.95932,0.526334,0,1,0,0.030966759,-325.15994,-228.61063,-275.95932
-53248,-131072,-161.34381,0.64608854,0,1,0,0.025198936,-206.44347,-117.87127,-161.34381
-49152,-131072,-65.627884,0.7555032,0,1,0,0.022271873,-105.12982,-28.29643,-65.627884
-45056,-131072,10.222321,0.84866637,0.00019377291,0.9998062,0,0.016327858,-23.581999,52.916893,10.222321
-40960,-131072,207.59131,0.9211762,0.12486312,0.87513685,0,0.11454201,17.378557,704.926,207.59131
-36864,-131072,1294.4412,0.97042704,0.6152518,0.38474822,0,0.38654327,468.34833,2583.7156,1294.4412
-32768,-131072,2213.144,0.99577564,0.8362517,0.16374832,0,0.0100554405,1050.024,2951.7097,2213.144
-28672,-131072,450.65472,1,0.7002783,0.29972172,0,0.49035597,155.71915,1847.7325,450.65472
-24576,-131072,174.91223,1,0.32565564,0.67434436,0,0.019950392,84.397545,305.90082,174.91223
-20480,-131072,232.01042,1,0.04188962,0.9581104,0,0.013289465,119.306114,546.07355,232.01042
-16384,-131072,148.87914,1,0.000105832994,0.99989414,0,4.707907E-05,143.68776,155.10982,148.87914
-12288,-131072,136.53525,1,0,1,0,0.0045137433,131.90343,141.16707,136.53525
