x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-1756.5247,0,0,0.5358176,0.46418238,3.8146973E-06,-1777.8568,-1735.3323,-1756.5247
-126976,-131072,-1749.551,0,0,0.8588213,0.14117873,0.0033645977,-1770.8364,-1728.405,-1749.551
-122880,-131072,-1729.3114,0,0,1,0,0.0064697275,-1750.4613,-1708.3011,-1729.3114
-118784,-131072,-1696.9398,0,0,1,0,0.009281159,-1717.871,-1676.1483,-1696.9398
-114688,-131072,-1653.6885,0,0,1,0,0.011779785,-1674.3237,-1633.1931,-1653.6885
-110592,-131072,-1600.8944,0,0,1,0,0.0139541635,-1621.1624,-1580.7662,-1600.8944
-106496,-131072,-1539.9473,0,0,0.99799985,0.002000153,0.01576233,-1559.7826,-1520.2517,-1539.9473
-102400,-131072,-1472.261,0,0,0.39003038,0.6099696,0.017230988,-1491.6042,-1453.0573,-1472.261
-98304,-131072,-1399.2461,0,0,0.010889769,0.98911023,0.018363953,-1418.0441,-1380.588,-1399.2461
-94208,-131072,-1322.2878,0,0,0.06299722,0.9370028,0.01915741,-1340.4928,-1304.2227,-1322.2878
-90112,-131072,-1242.7223,0,0,0.28391337,0.7160866,0.019638062,-1260.2926,-1225.2915,-1242.7223
-86016,-131072,-1161.8187,0,0,0.5582777,0.44172227,0.019813538,-1178.719,-1145.0582,-1161.8187
-81920,-131072,-1080.7635,0,0,0.67359203,0.32640797,0.019721985,-1096.9637,-1064.7029,-1080.7635
-77824,-131072,-1000.64484,0,0,0.27362394,0.72637606,0.01936531,-1016.1214,-984.9368,-1000.64484
-73728,-131072,-838.65906,0.050731134,0,0,1,0.06333351,-887.0805,-773.00684,-838.65906
-69632,-131072,-513.1881,0.21239193,0,0,1,0.081316,-598.1175,-391.28946,-513.1881
-65536,-131072,-164.0922,0.4388408,0,0,1,0.09162003,-270.5164,3.464191,-164.0922
-61440,-131072,83.599205,0.67816,1.7214543E-06,0,0.9999983,0.043232564,-45.248753,265.60657,83.599205
-57344,-131072,18.280409,0.87803,0.012566395,0.9870055,0.00042814016,0.032272875,-20.745367,96.01617,18.280409
-53248,-131072,188.13669,0.98966247,0.4053852,0.5946148,0,0.05742504,72.0273,368.68704,188.13669
-49152,-131072,384.5166,1,1,0,0,0.0005085374,277.76556,588.6219,384.5166
-45056,-131072,721.8307,1,1,0,0,0.6917134,368.60446,1950.718,721.8307
-40960,-131072,2046.876,1,1,0,0,0.001085092,1144.7288,2870.217,2046.876
-36864,-131072,1604.5342,1,1,0,0,0.3872078,431.9806,2222.8547,1604.5342
-32768,-131072,543.8475,1,1,0,0,0.0008808234,330.0134,1766.6818,543.8475
-28672,-131072,2338.618,1,1,0,0,0.8845916,1701.95,2909.09,2338.618
-24576,-131072,359.26807,1,1,0,0,4.546737E-05,288.03705,516.3874,359.26807
-20480,-131072,354.69513,1,1,0,0,0.0055148276,282.68442,554.71674,354.69513
-16384,-131072,383.72586,1,1,0,0,0.00049104507,284.2692,597.65533,383.72586
-12288,-131072,1662.3271,1,1,0,0,0.2690513,451.40735,2289.1953,1662.3271
-8192,-131072,2810.6025,1,1,0,0,0.001665324,2003.0847,2912.5635,2810.6025
-4096,-131072,994.0664,1,1,0,0,1.8193824,382.60712,2040.382,994.0664
0,-131072,320.5912,1,1,0,0,0.00028752926,285.5769,425.63428,320.5912
4096,-131072,391.27423,1,1,0,0,0.04128373,285.57663,620.86053,391.27423
8192,-131072,571.5734,1,1,0,0,0.0006849533,334.35306,1828.8999,571.5734
12288,-131072,1647.1084,1,0.98446935,0,0.015530646,0.019363789,363.91812,2438.8052,1647.1084
16384,-131072,698.4473,1,0.0013616235,0,0.9986384,0.0034961582,573.0986,890.6826,698.4473
20480,-131072,615.62537,1,0,0,1,0.014194637,423.5784,845.20984,615.62537
24576,-131072,599.50134,1,0,0.21662289,0.7833771,0.07040788,213.7644,1024.0471,599.50134
28672,-131072,329.01947,1,0,0.69043076,0.30956924,0.039599184,60.046146,773.0217,329.01947
32768,-131072,252.91924,1,0,0.85091007,0.14908993,0.00015260652,73.898186,711.27014,252.91924
36864,-131072,291.05078,1,0,0.6492375,0.3507625,0.02458939,56.343494,743.443,291.05078
40960,-131072,510.28537,1,0,0.09550923,0.90449077,0.0464573,166.29555,709.88934,510.28537
45056,-131072,732.4716,1,0,0,1,0.0037396196,515.67676,781.6656,732.4716
49152,-131072,393.55927,1,7.398738E-05,0,0.99992603,0.00015557466,308.46207,600.3223,393.55927
53248,-131072,1933.9023,1,0.8153438,0.004246851,0.18040936,1.0547912,895.79004,3195.1875,1933.9023
57344,-131072,1777.7179,0.9941344,0.9995904,0.0004090047,5.9843296E-07,0.024499055,490.9845,2475.3196,1777.7179
61440,-131072,1765.5513,0.9092147,0.91306835,0.086931646,0,0.6682665,1109.866,2571.2236,1765.5513
65536,-131072,33.31381,0.74792343,0.49377045,0.5062295,0,0.08060989,-94.21942,393.60892,33.31381
