 awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 03:57:55.2980	[Generic] [VoxelWorld] density.audit.closest level=1 chunk=0,0,-30 sample=24,2,-938 cellSize=32 side=0 cpu=-0.0012054443 cached=-0.0012054443 gpu=-0.0011444092 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=True inBounds=True	
2026/09/09 03:57:55.2980	[Generic] [VoxelWorld] density.audit.closest level=1 chunk=0,0,-30 sample=29,12,-939 cellSize=32 side=1 cpu=0.0013885498 cached=0.0013885498 gpu=0.0014343262 error=4.5776367E-05 latticeError=0 finite=True signMismatch=False nearZero=True inBounds=True	
2026/09/09 03:57:55.2980	[Generic] [VoxelWorld] density.audit.block level=1 chunk=0,0,-30 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=32 samples=125 readbackBytes=171500 maximumError=0.0004272461 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=1 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=125 elapsedMs=2.2571	
2026/09/09 03:57:55.2980	[Generic] [VoxelWorld] density.audit.closest level=0 chunk=0,0,-59 sample=33,-1,-1889 cellSize=16 side=1 cpu=4.076828 cached=4.076828 gpu=4.076889 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 03:57:55.2980	[Generic] [VoxelWorld] density.audit.block level=0 chunk=0,0,-59 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=16 samples=125 readbackBytes=171500 maximumError=0.00024414062 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=False airProbe=True pendingLevels=124 elapsedMs=1.5294	
2026/09/09 03:57:55.5494	[Generic] [VoxelWorld] density.audit.closest level=2 chunk=0,0,-14 sample=9,20,-449 cellSize=64 side=0 cpu=-0.019836426 cached=-0.019836426 gpu=-0.019897461 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=True inBounds=True	
2026/09/09 03:57:55.5494	[Generic] [VoxelWorld] density.audit.closest level=2 chunk=0,0,-14 sample=8,24,-449 cellSize=64 side=1 cpu=0.018005371 cached=0.018005371 gpu=0.018081665 error=7.6293945E-05 latticeError=0 finite=True signMismatch=False nearZero=True inBounds=True	
2026/09/09 03:57:55.5494	[Generic] [VoxelWorld] density.audit.block level=2 chunk=0,0,-14 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=64 samples=125 readbackBytes=171500 maximumError=0.0015830994 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=1 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=120 elapsedMs=1.7795	
2026/09/09 03:57:57.1718	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,-29, Face = NegativeX } index=9394 position=2032,288,-28768 cpu=-0.0011692047 gpu=-0.0015106201 error=0.0003414154 signMismatch=False nearZero=True	
2026/09/09 03:57:57.1718	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,-29, Face = NegativeX } index=4851 position=2064,400,-28688 cpu=0.009536743 gpu=0.009614944 error=7.8201294E-05 signMismatch=False nearZero=True	
2026/09/09 03:57:57.1718	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 2,0,-29, Face = NegativeX } generator=12 samples=127 readbackBytes=61556 maximumError=0.00060272217 nonFinite=0 signMismatches=0 nearZero=2 boundsFailures=0 solidProbe=True airProbe=True pendingFaces=68719476734 elapsedMs=1.3496	
2026/09/09 03:57:57.1874	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,2,-29, Face = NegativeY } index=14488 position=864,2016,-28960 cpu=-0.0066223145 gpu=-0.006668091 error=4.5776367E-05 signMismatch=False nearZero=True	
2026/09/09 03:57:57.1874	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 0,2,-29, Face = NegativeY } index=2332 position=528,2048,-28848 cpu=0.0002593994 gpu=0.0002593994 error=0 signMismatch=False nearZero=True	
