 awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 03:51:48.4657	[Generic] [VoxelWorld] density.audit.closest level=1 chunk=128,128,3 sample=4129,4096,95 cellSize=32 side=1 cpu=2910.6296 cached=2910.6296 gpu=2910.6296 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 03:51:48.4657	[Generic] [VoxelWorld] density.audit.block level=1 chunk=128,128,3 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=32 samples=125 readbackBytes=171500 maximumError=0 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=False airProbe=True pendingLevels=125 elapsedMs=2.867	
2026/09/09 03:51:48.7043	[Generic] [VoxelWorld] density.audit.closest level=2 chunk=64,64,1 sample=2081,2048,31 cellSize=64 side=1 cpu=1844.9077 cached=1844.9077 gpu=1844.9077 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 03:51:48.7043	[Generic] [VoxelWorld] density.audit.block level=2 chunk=64,64,1 generator=12 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.6, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, IsValid = True }" cellSize=64 samples=125 readbackBytes=171500 maximumError=0.00024414062 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=False airProbe=True pendingLevels=121 elapsedMs=1.8849	
2026/09/09 03:51:49.5164	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 130,128,4, Face = NegativeX } index=4694 position=133120,131072,4064 cpu=3925.9543 gpu=3925.9543 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.5164	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 130,128,4, Face = NegativeX } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476734 elapsedMs=2.106	
2026/09/09 03:51:49.5330	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,130,4, Face = NegativeY } index=0 position=132128,133120,4064 cpu=3936.004 gpu=3936.004 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.5330	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,130,4, Face = NegativeY } generator=12 samples=126 readbackBytes=61556 maximumError=0 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476730 elapsedMs=1.5981	
2026/09/09 03:51:49.5463	[Generic] [VoxelWorld] density.audit.transition.closest key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,128,6, Face = NegativeZ } index=15388 position=132096,131072,6112 cpu=5982.8374 gpu=5982.8374 error=0 signMismatch=False nearZero=False	
2026/09/09 03:51:49.5463	[Generic] [VoxelWorld] density.audit.transition key=GpuTransitionKey { FineLevel = 0, CoarseLevel = 1, CoarseCoordinate = 128,128,6, Face = NegativeZ } generator=12 samples=126 readbackBytes=61556 maximumError=0.00048828125 nonFinite=0 signMismatches=0 nearZero=0 boundsFailures=0 solidProbe=False airProbe=True pendingFaces=68719476714 elapsedMs=1.2122	
