x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-131072,-131072,-67.374146,0.79759556,0.002782786,0.87354445,0.12367278,0.16633344,-297.33722,894.5296,-67.374146,-67.374146,0,0,0
-126976,-131072,172.67363,0.81383306,0.03454481,0,0.9654552,0.4683575,-48.000004,1690.7107,172.67363,571.22253,0,0,0
-122880,-131072,717.4253,0.8305642,0.54565805,0,0.45434195,0.69674444,-91.51819,3670.1543,717.4253,1037.8676,0,0,0
-118784,-131072,1003.33813,0.84728646,0.7771269,0.19405422,0.028818876,0.29918152,-48.000004,3485.634,1003.33813,1121.4722,0,0,0
-114688,-131072,1156.0049,0.8635422,0.8172063,0.18279368,0,1.2965515,-48.000004,4071.0898,1156.0049,1629.9429,0,0,0
-110592,-131072,2062.0486,0.8789289,0.85249645,0.14750355,0,0.30593193,-48.000004,3968.4302,2062.0486,2073.012,0,0,0
-106496,-131072,2348.016,0.89311016,0.8824349,0.116835915,0.0007291809,0.07867473,-48.000004,4260.0254,2348.016,2348.016,0,0,0
-102400,-131072,2566.532,0.90581834,0.9069243,0.09300276,7.293373E-05,0.17162459,-48.000004,4183.6294,2566.532,2566.532,0,0,0
-98304,-131072,2783.6804,0.9168545,0.92623866,0.073761344,0,0.20643438,-48.000004,4432.141,2783.6804,2783.6804,0,0,0
-94208,-131072,2819.0525,0.926081,0.94089407,0.059105933,0,0.4205599,-48.000004,4322.369,2819.0525,2819.0525,0,0,0
-90112,-131072,2688.9263,0.93340796,0.95151085,0.048489153,0,0.38641933,-48.000004,4316.8955,2688.9263,2688.9263,0,0,0
-86016,-131072,2341.212,0.9387698,0.9586833,0.041316688,0,0.18811369,-48.000004,4188.581,2341.212,2341.212,0,0,0
-81920,-131072,20.569439,0.94209754,0,1,0,0.03625198,-48.000004,93.43442,20.569439,47.255806,0,0,0
-77824,-131072,47.702343,0.9432812,0,1,0,0.027934307,-48.000004,104.176834,47.702343,58.253387,0,0,0
-73728,-131072,14.776437,0.94334793,0,1,0,0.03958807,-48.000004,96.67456,14.776437,51.02249,0,0,0
-69632,-131072,33.080563,0.94354296,0,1,0,0.037021417,-48.000004,98.22492,33.080563,52.607883,0,0,0
-65536,-131072,10.184646,0.9438512,0,1,0,0.03738287,-48.000004,101.37646,10.184646,50.590908,0,0,0
-61440,-131072,37.95406,0.94425654,0,0.9999992,7.748604E-07,0.027933305,-48.000004,161.92279,37.95406,46.787598,0,0,0
-57344,-131072,224.67989,0.9447433,0,0.44029444,0.55970556,0.081942536,-92.91885,761.537,224.67989,224.67989,0,0,0
-53248,-131072,757.5354,0.9452955,0,0,1,0.50054246,-48.000004,1041.6539,757.5354,757.5354,0,0,0
-49152,-131072,883.5139,0.94589764,0,0,1,0.1882347,-48.000004,1043.4395,883.5139,883.5139,0,0,0
-45056,-131072,620.4164,0.9465338,0,0,1,0.03701735,-48.000004,908.5487,620.4164,620.4164,0,0,0
-40960,-131072,705.1041,0.94718903,0,0,1,0.23665208,-48.000004,947.34064,705.1041,705.1041,0,0,0
-36864,-131072,499.12967,0.94784814,0,0.30054057,0.69945943,0.49437365,-55.72284,988.3514,499.12967,499.12967,0,0,0
