startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-127806.24,-101445.27,0,-127690.414,-101318.92,0,36.881348,40.181667
-127690.414,-101318.92,0,-127554.39,-101203.36,0,40.181667,42.561806
-127554.39,-101203.36,0,-127417.22,-101085.195,0,42.561806,45.35545
-127417.22,-101085.195,0,-127299.39,-100949.836,0,45.35545,50.44528
-127299.39,-100949.836,0,-127210.48,-100791.055,0,50.44528,59.13467
-127210.48,-100791.055,0,-127142.555,-100615.945,0,59.13467,71.123055
-127142.555,-100615.945,0,-127073.62,-100442.31,0,71.123055,84.2451
-127073.62,-100442.31,0,-126979.51,-100289.59,0,84.2451,95.25314
-126979.51,-100289.59,0,-126847.68,-100168.414,0,95.25314,101.32882
-126847.68,-100168.414,0,-126684.87,-100074.66,0,101.32882,101.54141
-126684.87,-100074.66,0,-126514.7,-99991.42,0,101.54141,97.4213
-126514.7,-99991.42,0,-126366.17,-99897.67,0,97.4213,92.253525
-126366.17,-99897.67,0,-126259.98,-99778.7,0,92.253525,89.40121
-126259.98,-99778.7,0,-126200.2,-99632.44,0,89.40121,90.54965
-126200.2,-99632.44,0,-126176.03,-99468.19,0,90.54965,94.86815
-126176.03,-99468.19,0,-126171.86,-99298.88,0,94.86815,99.621254
-52158.496,-113213.64,0,-52289.254,-113458.195,0,318.7542,314.74005
-52057.83,-112952.34,0,-52158.496,-113213.64,0,324.3158,318.7542
-52000.79,-112666.79,0,-52057.83,-112952.34,0,348.26987,324.3158
-51966.81,-112368.41,0,-52000.79,-112666.79,0,396.53506,348.26987
-51909.387,-112083.06,0,-51966.81,-112368.41,0,453.16568,396.53506
-51781.457,-111836.93,0,-51909.387,-112083.06,0,487.14352,453.16568
-52294.48,-111677.54,0,-52445.867,-111809.76,0,506.3155,491.1109
-51563.246,-111641.02,0,-51781.457,-111836.93,0,473.67874,487.14352
-52118.707,-111570.64,0,-52294.48,-111677.54,0,521.5657,506.3155
-51276.21,-111483.375,0,-51563.246,-111641.02,0,414.22086,473.67874
-51919.375,-111488.18,0,-52118.707,-111570.64,0,510.76334,521.5657
