x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
-8192,-8192,272.64893,1,0.0165822,0.9834178,0,0.10038225,-225.58723,5469.428,272.64893,272.64893,0,0,0
-7936,-8192,292.0641,1,0.018640712,0.9813593,0,0.08977529,-225.58723,5469.428,292.0641,292.0641,0,0,0
-7680,-8192,312.3915,1,0.020868825,0.97913116,0,0.08330146,-225.58723,5469.428,312.3915,312.3915,0,0,0
-7424,-8192,333.53348,1,0.0232682,0.9767318,0,0.08456463,-225.58723,5469.428,333.53348,333.53348,0,0,0
-7168,-8192,355.3844,1,0.025839018,0.97416097,0,0.09554694,-225.58723,5469.428,355.3844,355.3844,0,0,0
-6912,-8192,377.82916,1,0.028579565,0.9714204,0,0.115336336,-225.58723,5469.428,377.82916,377.82916,0,0,0
-6656,-8192,400.74445,1,0.0314862,0.9685138,0,0.14159533,-225.58723,5469.428,400.74445,400.74445,0,0,0
-6400,-8192,423.9972,1,0.034552887,0.9654471,0,0.17230748,-225.58723,5469.428,423.9972,423.9972,0,0,0
-6144,-8192,447.45154,1,0.037772007,0.962228,0,0.20608543,-225.58723,5469.428,447.45154,447.45154,0,0,0
-5888,-8192,470.96533,1,0.041133646,0.95886636,0,0.24199952,-225.58723,5469.428,470.96533,470.96533,0,0,0
-5632,-8192,494.3877,1,0.044625085,0.9553749,0,0.27942273,-225.58723,5469.428,494.3877,494.3877,0,0,0
-5376,-8192,517.56836,1,0.048231896,0.9517681,0,0.31766012,-225.58723,5469.428,517.56836,517.56836,0,0,0
-5120,-8192,540.3868,1,0.05193751,0.94802946,3.3020973E-05,0.35618344,-225.58723,5469.428,540.3868,540.3868,0,0,0
-4864,-8192,563.0145,1,0.055722695,0.94364333,0.000633955,0.39347756,-225.58723,5469.428,563.0145,563.0145,0,0,0
-4608,-8192,585.938,1,0.05956693,0.9372382,0.0031948686,0.42782438,-225.58723,5469.428,585.938,585.938,0,0,0
-4352,-8192,609.77106,1,0.0634474,0.9270022,0.009550393,0.45863533,-225.58723,5469.428,609.77106,609.77106,0,0,0
-4096,-8192,635.0946,1,0.0673391,0.9111503,0.021510601,0.48397115,-225.58723,5469.428,635.0946,635.0946,0,0,0
-3840,-8192,662.4449,1,0.071216084,0.8882969,0.04048699,0.4899097,-225.58723,5469.428,662.4449,662.4449,0,0,0
-3584,-8192,691.54926,1,0.07505097,0.85770345,0.0672456,0.5303951,-225.58723,5469.428,691.54926,691.54926,0,0,0
-3328,-8192,722.6576,1,0.078814834,0.81939316,0.10179198,0.5487009,-225.58723,5469.428,722.6576,722.6576,0,0,0
