startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-11096.345,-21637.521,101.25,-11096.345,-21637.521,101.25,481.61017,481.61017
1127.4039,-19434.918,2284.5625,1127.4039,-19434.918,2284.5625,257.10568,257.10568
-11124.455,-9217.004,100.8125,-11124.455,-9217.004,100.8125,347.09348,347.09348
-3077.0195,956.73724,464,-3077.0195,956.73724,464,256,256
21502.996,-19679.875,1972.6875,21502.996,-19679.875,1972.6875,371.5753,371.5753
7199.1216,-3185.443,109.3125,7369.7837,-2982.742,109.3125,178.29941,187.68115
7369.7837,-2982.742,109.3125,7503.095,-2747.6438,109.3125,187.68115,207.03323
7503.095,-2747.6438,109.3125,7588.084,-2470.71,109.3125,207.03323,229.77663
7588.084,-2470.71,109.3125,7675.8564,-2196.1396,108.87269,229.77663,230.38553
7675.8564,-2196.1396,108.87269,7838.092,-1985.8993,107.77315,230.38553,200.41742
7838.092,-1985.8993,107.77315,8098.511,-1860.5282,106.34375,200.41742,170.17651
8098.511,-1860.5282,106.34375,8405.229,-1775.2416,104.91435,170.17651,177.72179
8405.229,-1775.2416,104.91435,8672.807,-1656.2697,103.81481,177.72179,221.89304
8672.807,-1656.2697,103.81481,8854.789,-1463.522,103.375,221.89304,264.0061
8854.789,-1463.522,103.375,8977.795,-1220.0366,103.375,264.0061,276.96362
8977.795,-1220.0366,103.375,9106.55,-981.7761,103.375,276.96362,273.50217
9106.55,-981.7761,103.375,9277.239,-780.04706,103.375,273.50217,276.9687
9277.239,-780.04706,103.375,9443.469,-612.6287,103.375,276.9687,273.89572
9443.469,-612.6287,103.375,9623.624,-459.2508,103.375,273.89572,257.09314
9623.624,-459.2508,103.375,9828.625,-330.91818,103.375,257.09314,231.97102
9828.625,-330.91818,103.375,10040.067,-209.07785,103.17593,231.97102,231.96141
10040.067,-209.07785,103.17593,10223.51,-59.01094,102.67824,231.96141,272.12296
10223.51,-59.01094,102.67824,10360.362,138.01857,102.03125,272.12296,319.25537
10360.362,138.01857,102.03125,10467.191,365.3161,101.38426,319.25537,326.8182
10467.191,365.3161,101.38426,10582.91,583.65063,100.88657,326.8182,290.6412
10582.91,583.65063,100.88657,10735.703,764.6123,100.6875,290.6412,250.50008
10735.703,764.6123,100.6875,10921.155,912.6521,100.6875,250.50008,238.17249
10921.155,912.6521,100.6875,11111.788,1055.4689,100.6875,238.17249,244.79797
11111.788,1055.4689,100.6875,11287.09,1213.7412,100.6875,244.79797,246.94597
11287.09,1213.7412,100.6875,11287.09,1213.7412,100.6875,395.11356,395.11356
-9459.953,9355.545,104.5,-9594.486,9504.119,104.5,173.72185,178.17488
-9594.486,9504.119,104.5,-9717.222,9664.487,104.5,178.17488,180.30785
-9717.222,9664.487,104.5,-9847.511,9817.305,104.5,180.30785,198.01408
-9847.511,9817.305,104.5,-10007.282,9940.638,104.03704,198.01408,236.399
-10007.282,9940.638,104.03704,-10196.266,10034.764,102.87963,236.399,268.63882
-10196.266,10034.764,102.87963,-10387.441,10126.691,101.375,268.63882,263.44388
-10387.441,10126.691,101.375,-10548.601,10248.638,99.87037,263.44388,227.16956
-10548.601,10248.638,99.87037,-10669.885,10410.459,98.71296,227.16956,200.54947
-10669.885,10410.459,98.71296,-10771.03,10592.421,98.25,200.54947,210.2307
-10771.03,10592.421,98.25,-10881.776,10764.78,98.25,210.2307,240.13974
-10881.776,10764.78,98.25,-11014.984,10914.678,98.25,240.13974,260.2832
-11014.984,10914.678,98.25,-11158.588,11054.181,98.25,260.2832,268.0138
-21637.521,11265.004,376.5,-21637.521,11265.004,376.5,287.9892,287.9892
-13252.769,11395.514,132.6875,-13079.929,11356.788,132.6875,162.49908,169.4924
-13079.929,11356.788,132.6875,-12906.442,11322.033,132.6875,169.4924,182.47632
-12906.442,11322.033,132.6875,-12726.081,11329.453,132.6875,182.47632,210.7833
-12726.081,11329.453,132.6875,-12538.434,11381.578,130.13657,210.7833,238.42769
-12538.434,11381.578,130.13657,-12350.991,11432.461,123.75926,238.42769,236.67503
-12350.991,11432.461,123.75926,-12173.164,11424.335,115.46875,236.67503,203.82242
-12173.164,11424.335,115.46875,-12007.82,11339.609,107.178246,203.82242,175.56133
-12007.82,11339.609,107.178246,-11848.536,11217.73,100.80093,175.56133,184.8333
-11848.536,11217.73,100.80093,-11685.274,11120.241,98.25,184.8333,222.68675
-11685.274,11120.241,98.25,-11513.044,11077.788,98.25,222.68675,253.75359
-11513.044,11077.788,98.25,-11335.199,11069.762,98.25,253.75359,263.24866
-11335.199,11069.762,98.25,-11158.588,11054.181,98.25,263.24866,268.0138
-11158.588,11054.181,98.25,-11158.588,11054.181,98.25,428.82208,428.82208
-7355.7334,11028.078,211.875,-7535.1714,10869.465,211.875,201.4797,197.39597
-7535.1714,10869.465,211.875,-7742.2036,10705.68,211.875,197.39597,183.65538
-7742.2036,10705.68,211.875,-7978.0845,10551.599,211.875,183.65538,170.55814
-7978.0845,10551.599,211.875,-8204.445,10372.242,203.9213,170.55814,180.62181
-8204.445,10372.242,203.9213,-8376.133,10124.1,184.03703,180.62181,213.42935
-8376.133,10124.1,184.03703,-8485.368,9810.685,158.1875,213.42935,237.91144
-8485.368,9810.685,158.1875,-8573.193,9496.925,132.33798,237.91144,227.91042
-8573.193,9496.925,132.33798,-8695.534,9266.477,112.4537,227.91042,194.02116
-8695.534,9266.477,112.4537,-8875.768,9162.049,104.5,194.02116,168.6734
-8875.768,9162.049,104.5,-9088.732,9165.282,104.5,168.6734,166.39084
-9088.732,9165.282,104.5,-9290.021,9233.604,104.5,166.39084,173.12764
-9290.021,9233.604,104.5,-9459.953,9355.545,104.5,173.12764,173.72185
21593.35,15425.255,110.125,21593.35,15425.255,110.125,479.30112,479.30112
