startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-137966.34,-129846.96,0,-138202.86,-129964.67,0,227.98349,220.1831
-137738.45,-129710.33,0,-137966.34,-129846.96,0,240.28618,227.98349
-137514.78,-129564.516,0,-137738.45,-129710.33,0,249.80247,240.28618
-137284.78,-129432.5,0,-137514.78,-129564.516,0,245.79953,249.80247
-137038.2,-129336.805,0,-137284.78,-129432.5,0,225.4475,245.79953
-136771.67,-129284.84,0,-137038.2,-129336.805,0,200.07411,225.4475
-136491.72,-129262.2,0,-136771.67,-129284.84,0,189.31425,200.07411
-136212.45,-129238.125,0,-136491.72,-129262.2,0,206.65112,189.31425
-135948.5,-129180.48,0,-136212.45,-129238.125,0,248.07043,206.65112
-135861.33,-129789.625,0,-135964.11,-129892.39,0,497.12103,504.41528
-135707.86,-129071.78,0,-135948.5,-129180.48,0,293.81036,248.07043
-135747.31,-129697.57,0,-135861.33,-129789.625,0,477.06567,497.12103
-135620.39,-129617.836,0,-135747.31,-129697.57,0,451.41965,477.06567
-135490.08,-129541.31,0,-135620.39,-129617.836,0,443.86816,451.41965
-135372.52,-129452.66,0,-135490.08,-129541.31,0,473.14938,443.86816
-135281.16,-129339.01,0,-135372.52,-129452.66,0,532.2685,473.14938
-135218.42,-129198.06,0,-135281.16,-129339.01,0,588.192,532.2685
-135173.1,-129040.49,0,-135218.42,-129198.06,0,604.2775,588.192
-135488.03,-128917.53,0,-135707.86,-129071.78,0,322.45932,293.81036
-135125.33,-128885.3,0,-135173.1,-129040.49,0,567.653,604.2775
-135277.92,-128742,0,-135488.03,-128917.53,0,326.08508,322.45932
-135064.2,-128574.34,0,-135277.92,-128742,0,314.07507,326.08508
-134309.08,-131987.89,0,-134293.58,-132239.56,0,227.96742,220.1831
-134351.86,-131736.67,0,-134309.08,-131987.89,0,240.34207,227.96742
-134408.53,-131485.67,0,-134351.86,-131736.67,0,250.13972,240.34207
-134446.38,-131234.36,0,-134408.53,-131485.67,0,246.52919,250.13972
-134432.66,-130982.21,0,-134446.38,-131234.36,0,226.37292,246.52919
-134355.92,-130729.02,0,-134432.66,-130982.21,0,200.71405,226.37292
-134235.95,-130475.125,0,-134355.92,-130729.02,0,189.19481,200.71405
-134116.39,-130221.234,0,-134235.95,-130475.125,0,205.65791,189.19481
-134043.64,-129968.11,0,-134116.39,-130221.234,0,246.57307,205.65791
-134043.62,-129716.19,0,-134043.64,-129968.11,0,292.43884,246.57307
-134109.48,-129465.34,0,-134043.62,-129716.19,0,321.69522,292.43884
-135056.22,-128750.414,0,-135125.33,-128885.3,0,498.94095,567.653
-134957.33,-128643.95,0,-135056.22,-128750.414,0,436.40244,498.94095
-134838.52,-128432.914,0,-135064.2,-128574.34,0,303.08017,314.07507
-134833.88,-128560.89,0,-134957.33,-128643.95,0,407.8962,436.40244
-134700.94,-128486.875,0,-134833.88,-128560.89,0,413.5616,407.8962
-134601.2,-128316.91,0,-134838.52,-128432.914,0,302.46167,303.08017
