startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-137966.34,-129846.96,0,-138202.86,-129964.67,0,274.83862,264.21973
-137738.45,-129710.33,0,-137966.34,-129846.96,0,294.39175,274.83862
-137514.78,-129564.516,0,-137738.45,-129710.33,0,314.33838,294.39175
-137284.78,-129432.5,0,-137514.78,-129564.516,0,318.4092,314.33838
-137038.2,-129336.805,0,-137284.78,-129432.5,0,295.35196,318.4092
-136771.67,-129284.84,0,-137038.2,-129336.805,0,250.08473,295.35196
-136491.72,-129262.2,0,-136771.67,-129284.84,0,204.20683,250.08473
-136212.45,-129238.125,0,-136491.72,-129262.2,0,184.18707,204.20683
-135948.5,-129180.48,0,-136212.45,-129238.125,0,204.71109,184.18707
-135861.33,-129789.625,0,-135964.11,-129892.39,0,609.7238,605.29834
-135707.86,-129071.78,0,-135948.5,-129180.48,0,258.78265,204.71109
-135747.31,-129697.57,0,-135861.33,-129789.625,0,631.3094,609.7238
-135620.39,-129617.836,0,-135747.31,-129697.57,0,646.8417,631.3094
-135490.08,-129541.31,0,-135620.39,-129617.836,0,622.90826,646.8417
-135372.52,-129452.66,0,-135490.08,-129541.31,0,545.88055,622.90826
-135281.16,-129339.01,0,-135372.52,-129452.66,0,439.2057,545.88055
-135218.42,-129198.06,0,-135281.16,-129339.01,0,353.10962,439.2057
-135173.1,-129040.49,0,-135218.42,-129198.06,0,332.88937,353.10962
-135488.03,-128917.53,0,-135707.86,-129071.78,0,321.8753,258.78265
-135125.33,-128885.3,0,-135173.1,-129040.49,0,388.5482,332.88937
-135277.92,-128742,0,-135488.03,-128917.53,0,367.5589,321.8753
-135064.2,-128574.34,0,-135277.92,-128742,0,383.72055,367.5589
-134309.08,-131987.89,0,-134293.58,-132239.56,0,268.65616,264.21973
-134351.86,-131736.67,0,-134309.08,-131987.89,0,274.43185,268.65616
-134408.53,-131485.67,0,-134351.86,-131736.67,0,290.31912,274.43185
-134446.38,-131234.36,0,-134408.53,-131485.67,0,320.94754,290.31912
-134432.66,-130982.21,0,-134446.38,-131234.36,0,363.08984,320.94754
-134355.92,-130729.02,0,-134432.66,-130982.21,0,405.99194,363.08984
-134235.95,-130475.125,0,-134355.92,-130729.02,0,435.88495,405.99194
-134116.39,-130221.234,0,-134235.95,-130475.125,0,442.54816,435.88495
-134043.64,-129968.11,0,-134116.39,-130221.234,0,424.56787,442.54816
-134043.62,-129716.19,0,-134043.64,-129968.11,0,390.45764,424.56787
-134109.48,-129465.34,0,-134043.62,-129716.19,0,354.88083,390.45764
-134207.06,-129215.016,0,-134109.48,-129465.34,0,331.77634,354.88083
-134294.58,-128964.52,0,-134207.06,-129215.016,0,327.88855,331.77634
-134345.14,-128713.44,0,-134294.58,-128964.52,0,340.0797,327.88855
-135056.22,-128750.414,0,-135125.33,-128885.3,0,487.91364,388.5482
-134957.33,-128643.95,0,-135056.22,-128750.414,0,578.1168,487.91364
-134833.88,-128560.89,0,-134957.33,-128643.95,0,619.5939,578.1168
-134359.12,-128461.73,0,-134345.14,-128713.44,0,357.8738,340.0797
-134700.94,-128486.875,0,-134833.88,-128560.89,0,608.20776,619.5939
-134838.52,-128432.914,0,-135064.2,-128574.34,0,377.99695,383.72055
-134574.34,-128406.83,0,-134700.94,-128486.875,0,570.8382,608.20776
-134601.2,-128316.91,0,-134838.52,-128432.914,0,368.92578,377.99695
