density.audit.armed awaiting normal unedited regular blocks and transition faces at each LOD	
2026/09/09 05:47:57.2333	[Generic] [VoxelWorld] density.audit.closest level=2 chunk=6,6,-8 sample=225,225,-246 cellSize=64 side=0 cpu=-137.20694 cached=-137.20694 gpu=-137.20694 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:47:57.2333	[Generic] [VoxelWorld] density.audit.block level=2 chunk=6,6,-8 generator=13 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.75, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, SeaLevel = 0, IsValid = True }" cellSize=64 samples=125 readbackBytes=171500 maximumErrorSample=225,225,-240 maximumErrorCpu=-189.83582 maximumErrorGpu=-189.8357 maximumError=0.00012207031 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=False pendingLevels=123 elapsedMs=3.2167	
2026/09/09 05:47:57.3153	[Generic] [VoxelWorld] density.audit.closest level=3 chunk=0,0,0 sample=-1,27,5 cellSize=128 side=0 cpu=-0.018188477 cached=-0.018188477 gpu=-0.018188477 error=0 latticeError=0 finite=True signMismatch=False nearZero=True inBounds=True	
2026/09/09 05:47:57.3153	[Generic] [VoxelWorld] density.audit.closest level=3 chunk=0,0,0 sample=23,4,5 cellSize=128 side=1 cpu=0.11694336 cached=0.11694336 gpu=0.11694336 error=0 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:47:57.3153	[Generic] [VoxelWorld] density.audit.block level=3 chunk=0,0,0 generator=13 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.75, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, SeaLevel = 0, IsValid = True }" cellSize=128 samples=125 readbackBytes=171500 maximumErrorSample=-1,-1,32 maximumErrorCpu=3511.422 maximumErrorGpu=3511.4224 maximumError=0.00024414062 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=115 elapsedMs=2.1076	
2026/09/09 05:47:59.5348	[Generic] [VoxelWorld] density.audit.closest level=4 chunk=0,0,0 sample=22,5,3 cellSize=256 side=0 cpu=-0.2421875 cached=-0.2421875 gpu=-0.24224854 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:47:59.5348	[Generic] [VoxelWorld] density.audit.closest level=4 chunk=0,0,0 sample=32,26,3 cellSize=256 side=1 cpu=0.29852295 cached=0.29852295 gpu=0.29858398 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:47:59.5348	[Generic] [VoxelWorld] density.audit.block level=4 chunk=0,0,0 generator=13 settings="ProceduralTerrainSettings { WorldSeed = 1337, LandAmount = 0.75, MountainAmount = 0.35, PlainsAmount = 0.6, ContinentalScale = 131072, MountainRegionScale = 32768, LocalLandformScale = 8192, ReliefHeight = 3072, Ruggedness = 0.45, SeaLevel = 0, IsValid = True }" cellSize=256 samples=125 readbackBytes=171500 maximumErrorSample=33,0,33 maximumErrorCpu=8250.625 maximumErrorGpu=8250.624 maximumError=0.0009765625 maximumLatticeError=0 nonFinite=0 densityMismatches=0 signMismatches=0 nearZero=0 boundsFailures=0 nearZeroSignMismatches=0 readbackNonFinite=0 solidProbe=True airProbe=True pendingLevels=99 elapsedMs=11.3592	
2026/09/09 05:48:00.9805	[Generic] [VoxelWorld] density.audit.closest level=5 chunk=0,0,0 sample=30,25,1 cellSize=512 side=0 cpu=-0.24029541 cached=-0.24029541 gpu=-0.24035645 error=6.1035156E-05 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
2026/09/09 05:48:00.9805	[Generic] [VoxelWorld] density.audit.closest level=5 chunk=0,0,0 sample=30,28,-1 cellSize=512 side=1 cpu=0.79261017 cached=0.79261017 gpu=0.7926197 error=9.536743E-06 latticeError=0 finite=True signMismatch=False nearZero=False inBounds=True	
